"UNL_DESC_RESPECT_LUCHA_3": "升级三秒压制据点后，你获得的所有声望额外增加 15%%。"
"UNL_DESC_NOTORIETY_DECKERS_1": "你的赛博帮恶名衰减速度略微加快"
"UNL_DESC_WEP_RC_VEHICLE_GUN": "用遥控夺取器控制民用载具，它现已可在你的据点武器库获取。"
"UNL_DOESNOTEXIST": "尚未开放"
"UNL_DESC_DLC_GAMEPLAY02_ALERT": "新的可下载内容技能与奖励等级现已开放！"
"UNL_DESC_UPGRADE_AMMO_SPECIAL_1": "可携带多 25%% 的特殊弹药"
"UNL_SAINTSHQ": "据点 - 圣徒顶层公寓"
"TUT_WHORED_D_IRONY": "讽刺"
"UNL_DESC_AMMO_MSTAR_1": "你的据点武器库可多储存 10%% 弹药。"
"UNL_DESC_DLC_ASSET01_OUTFITS03": "战士装备，性感与防护兼备。"
"UNL_UNLIMITED_AMMO_PISTOL": "弹药 - 手枪 4"
"UNL_DESC_DAMAGE_VEHICLE_2": "被载具撞击时受到的伤害减少 30%%"
"UNL_DESC_HOMIE_MAYOR_REYNOLDS": "伯特·雷诺兹市长可在你的手机“PHONE”菜单中找到。他会在战斗中协助圣徒。"
"TUT_WHORED_ROUND1": "欢迎！"
"TUT_WHORED_A_COYOTE": "丑陋土狼"
"TUT_RC_GUN_UPGRADE": "遥控夺取器已升级，现在可以控制军用载具。"
"UNL_DLC_ASSET01_OUTFITS04": "服装 - 星际战士"
"UNL_CRIB_POWDER": "据点 - 火药"
"HOMIES_OLEG": "奥列格"
"UNL_DESC_DLC_ASSET04_VEHICLES": "圣徒军用载具。"
"UNL_DESC_DLC_PREORDER03_ALERT": "你的据点衣橱与武器库新增了可下载内容。"
"UNL_UPGRADE_AMMO_EXPLOSIVE_3": "弹药 - 炸药 3"
"UNL_DESC_CLOTHING_SPACE_COSTUME": "太空服已加入你的据点衣橱。"
"UNL_VEHICLE_WATERCRAFT": "载具 - 水上载具"
"UNL_VEHICLE_HIND": "载具 - 武装直升机"
"UNL_CLOTHING_POLICE": "物品 - 警用服装"
"UNL_DESC_AUTO_COMPLETE_CTO": "自动完成城市接管"
"UNL_DESC_VEHICLES_HAVE_NITROUS": "你驾驶的每辆车都带有氮气加速"
"UNL_DLC_GAMEPLAY03_ALERT03": "奖励 - 摔跤手"
"UNL_INSTANT_RELOAD_PISTOL": "瞬间装填 - 手枪"
"DISTRICT_NORTH_EAST": "新科尔文"
"UNL_DESC_NG_CUSTOMIZATION": "钢埠警卫定制物品"
"UNL_UPGRADE_AMMO_RIFLE_2": "弹药 - 步枪 2"
"UNL_DAMAGE_BULLET_1": "伤害 - 子弹"
"UNL_CASH_LIMIT_DECKER_3": "转账上限"
"UNL_DLC_PREORDER01_ALERT": "欢乐时光！包"
"TUT_WHORED_Z_SUPER SIZED": "超大份"
"TUT_JUMP_CLIMB_SR3": "{JUMP_CLIMB_IMG} 跳跃/攀爬 \n {SPRINT_IMG} + {JUMP_CLIMB_IMG} 快速下扑 \n跳跃、攀爬与下扑能让你迅速脱离险境。"
"HASH_FB317EE1": "{ACTION_IMG} 投掷人盾"
"HOMIES_WEAPON_DESC": "让一名兄弟给你送一把随机武器。（已废弃）"
"HOMIES_GIANT_BALL": "巨型球"
"UNL_DESC_RESPECT_EURO_2": "升级火药据点后，你获得的所有声望额外增加 10%%"
"UNL_DESC_UPGRADE_AMMO_PISTOL_1": "可携带多 25%% 的手枪弹药"
"HOMIES_VIOLA": "薇奥拉"
"UNL_RESPECT_DECKER_1": "声望加成"
"UNL_DESC_CASH_LIMIT_EURO_1": "占领火药据点后，你的城市收入转账上限提升。"
"UNL_AMMO_MSTAR_1": "武器库弹药"
"UNL_AMMO_DECKER_1": "武器库弹药"
"HASH_84A3D8E3": "画质模式"
"HOOD_NE_04": "埃斯皮纳"
"UNL_DESC_CRIB_ZIMOS": "齐莫斯的宅子现在是圣徒据点。在这里可以存取武器库与衣服。"
"UNL_DESC_CRIB_ANGELS": "安吉尔的据点现在是圣徒据点。在这里可以存取武器库与衣服。"
"TUT_WHORED_DILDOBAT": "斗鸡"
"TUT_COLLECTION": "违禁包裹、成堆现金与充气道具散落于钢埠各处。找到它们后它们会显示在你的地图上。\n全部找齐吧！"
"HOMIES_GANG_NOTORIETY_DESC": "清除你当前的帮派恶名。"
"UNL_DESC_FOLLOWER1": "招募一名圣徒帮派成员作为随从。"
"UNL_DESC_VEHICLE_HIND": "你的据点车库现在提供这架直升机"
"UNL_UNLIMITED_AMMO_GRENADE": "弹药 - 手雷 4"
"UNL_DAMAGE_FALL_4": "伤害 - 坠落 4"
"UNL_SNATCH": "拐人救美"
"UNL_DESC_GANG_NPC_DECKER": "你的帮派现在可以收纳赛博帮成员。"
"UNL_DESC_DLC_ASSET01_ALERT": "你的据点衣橱新增了可下载服装。"
"UNL_DESC_GANG_WEAPONS_SMG": "升级你的帮派成员以携带冲锋枪"
"UNL_DESC_HEALTH_REGEN_4": "生命回复速度极快"
"UNL_DESC_WEEKLY_PAYMENTS_2": "每小时城市收入 $1,000"
"TUT_TITLE_STORE_INTRO_JEWELRY": "珠宝店"
"UNL_DESC_INCOME_MSTAR_1": "你从新科尔文区域获得的每小时城市收入额外增加 5%%"
"UNL_HOMIE_HP_INCREASE_1": "兄弟 - 生命提升 1"
"UNL_DAMAGE_EXPLOSIVE_2": "伤害 - 爆炸 2"
"UNL_NOTORIETY_LUCHA_1": "恶名 - 摔跤手帮"
"UNL_DESC_HOMIE_ANGEL": "安吉尔可在你的手机“PHONE”菜单中找到。他会在战斗中协助圣徒。"
"HOMIES_ANGEL_DESC": "和安吉尔组队作战。"
"ACHIEVE_SR3_COWBOY_UP": "牛仔上身"
"HASH_E703EAEC": "连接缓慢"
"UNL_DESC_MUSCLES_3": "近战击退敌人时把他们甩得很远"
"UNL_DESC_UPGRADE_AMMO_SHOTGUN_1": "可携带多 25%% 的霰弹枪弹药"
"UNL_DESC_NOTORIETY_COPS_3": "你的警方恶名衰减速度大幅加快"
"UNL_DESC_VEHICLE_JET_BIKE": "你的据点车库现在提供原型喷射摩托"
"UNL_DESC_STAG_CUSTOMIZATION": "STAG 定制物品"
"HOMIES_EMERGENCY": "救护车"
"UNL_INCOME_EURO_2": "区域每小时现金"
"UNL_DLC_ASSET01_OUTFITS02": "服装 - 歌舞伎战士"
"UNL_DBNO_EXTRA_TIME_3": "帮派 - 复活计时 3"
"UNL_DESC_DAMAGE_EXPLOSIVE_1": "从爆炸受到的伤害减少 5%%"
"UNL_DESC_AMMO_EURO_1": "你的据点武器库可多储存 10%% 弹药。"
"UNL_DLC_ASSET02_OUTFITS02": "服装 - 祭坛侍者"
"UNL_DESC_DLC_PREORDER02_WEAPONS": "用这把武器每次击杀都能额外捞到声望。"
"UNL_INSTANT_RELOAD_SHOTGUN": "瞬间装填 - 霰弹枪"
"HOOD_NW_04": "布里斯顿区"
"UNL_UPGRADE_AMMO_EXPLOSIVE_1": "弹药 - 炸药"
"PLAYER_CHOICE_M21_OPTION2_TITLE": "[format][color:green]放过杀霸[/format]"
"HOMIES_HELICOPTER_DESC": "让一名兄弟送一架直升机来。"
"HOMIES_TANK": "坦克"
"HOMIES_JOSH": "乔什"
"HOMIES_WEAPON_HOMIE": "武器兄弟"
"UNL_DLC_GAMEPLAY03_ALERT01": "奖励 - 晨星帮"
"TUT_WHORED_DRUNKEN_BOXING": "醉拳"
"UNL_DESC_HOMIE_HP_INCREASE_2": "兄弟们获得中等生命提升"
"UNL_DAMAGE_BULLET_3": "伤害 - 子弹 3"
"TUT_WHORED_COMM_SERVICE": "社区服务"
"UNL_DESC_DLC_ASSET02_OUTFITS01": "官方夜刃猩红炮台服装。"
"UNL_DESC_UPGRADE_AMMO_SPECIAL_3": "可携带多 75%% 的特殊弹药"
"UNL_DESC_VEHICLE_DELIVERY": "把你的载具直接送到你面前"
"HOMIES_ZIMOS_DESC": "和齐莫斯一起行动。 "
"UNL_DESC_PROFGENKI": "你解锁了更多元气博士活动。\n在地图上查看地点。"
"UNL_DESC_GANG_VEHICLES_LUCHA": "你的帮派现在可以使用摔跤手帮载具。"
"UNL_DESC_DLC_ASSET01_OUTFITS01": "全套中世纪风格盔甲。"
"UNL_DESC_DLC_PREORDER01_ALERT": "你的据点衣橱、武器库与车库新增了可下载内容。"
"TUT_WHORED_D_ROMEROS_REVENGE": "罗梅罗的复仇"
"UNL_DESC_DTL_STRONGHOLD_02_CUSTOMIZATION": "这个根据地归你了！\n在暗号据点进行自定义与升级，拓展圣徒的势力范围并获取丰厚升级奖励。"
"UNL_DESC_RESPECT_DECKER_2": "升级伯恩斯山核反应堆据点后，你获得的所有声望额外增加 10%%"
"UNL_DAMAGE_EXPLOSIVE_NO_RAGDOLL": "爆炸 - 不被击飞"
"UNL_DESC_DLC_MEDIA01_ALERT": "你的据点衣橱、武器库与车库新增了可下载内容。"
"UNL_INSTANT_RELOAD_SMG": "瞬间装填 - 冲锋枪"
"HOMIES_MAYOR_NOTORIETY_WIPE_DESC": "向雷诺兹市长欠个人情，清除你当前的恶名。"
"UNL_DESC_GANG_NPC_NG": "你的帮派现在可以收纳警卫。"
"TUT_WHORED_MINICANS": "迷你罐"
"UNL_DESC_UPGRADE_AMMO_SMG_1": "可携带多 25%% 的冲锋枪弹药"
"UNL_UNLIMITED_SPRINT": "冲刺 - 提升 5"
"TUT_SECRET_LOCATIONS": "你发现了一处秘密地点！钢埠各处散布着许多秘密地点，把它们全部找出来吧！"
"UNL_DESC_DLC_CUST01_ALERT": "你的衣橱、武器库和/或车库新增了内容。"
"UNL_UPGRADE_AMMO_PISTOL_2": "弹药 - 手枪 2"
"UNL_DESC_SPRINT_1": "冲刺距离延长 25%%"
"TUT_WHORED_WEAKSAUCE": "弱爆了"
"UNL_DESC_GANG_VEHICLES_MSTAR": "你的帮派现在可以使用晨星帮载具。"
"UNL_DESC_AMMO_LUCHA_2": "你的据点武器库可多储存 10%% 弹药。"
"UNL_DESC_DLC_ASSET05_ALERT": "你的据点衣橱新增了可下载内容。"
"UNL_DESC_NOTORIETY_DECKERS_3": "你的赛博帮恶名衰减速度大幅加快"
"UNL_HOMIE_OLEG": "兄弟 - 奥列格"
"UNL_DLC_PREORDER02_OUTFITS": "服装 - Z 风格"
"UNL_DESC_CLOTHING_POLICE": "警用服装现已可购买"
"UNL_DESC_DAMAGE_FIRE_1": "从火焰受到的伤害减少 10%%"
"TUT_WHORED_Z_ROLL_OVER": "翻身"
"TUT_TITLE_ESCORT_REMOTE": "迷你游戏"
"PC_ACT_ESCORT_TOUCH_MINIGAME_MSG": "找到那个特殊的位置。然后击中它。"
"UNL_DESC_GIANT_BALL_HOMIE": "巨型球可在你的手机“PHONE”菜单中找到。碾碎一切！"
"UNL_UPGRADE_AMMO_SMG_2": "弹药 - 冲锋枪 2"
"UNL_DESC_DAMAGE_BULLET_1": "从子弹受到的伤害减少 5%%"
"PAUSE_ACT_CHOP_ADD_HUD": "添加到 HUD"
"ACHIEVE_SR3_HAVE_A_REALITY_CLIMAX": "来一场真人秀狂欢"
"STRONGHOLD_ICASE": "根据地"

"TUT_TITLE_RECRUITING": "招募兄弟"
"dildo_bat": "穿透者"
"PAUSE_ACT_CHOP_REMOVE_HUD": "从 HUD 中移除"
"ACHIEVE_SR3_WERE_TAKIN_OVER": "这地盘我们接管了"
"HUD_DIVERSION_RESPECT": "声望 "
"TUT_TITLE_GANG_VEHICLE_CUSTOMIZE": "帮派载具改装"
"HUD_START_QTE_MESSAGE": "痛揍壮汉"
"HUD_NEW_MISSION_AVAILABLE": "新任务已开放"
"TUT_WHORED_D_LEAGUE_OF_OWN": "自成一派"
"TUT_NAG_CHANGE_CLOTHES": "记住：购买并更换服装可获得声望"
"TUT_TITLE_STORE_INTRO_MECHANIC": "边缘工坊"
"TUT_GENERAL_SMOKED": "你被干掉了！  \n生命值耗尽后，会扣掉一小笔现金，然后你会在医院复活。"
"TUT_CRIB_WEAPONS": "这是你的武器库。  \n在这里武装自己。"
"WPN_RIFLEGANG_DESCRIPT": "工薪阶层的突击步枪。"
"CONFIRM_RESTART_TITLE": "确认重启"
"TUT_DLC_MONEYSHOT": "这是一把特殊狙击步枪。"
"ACHIEVE_SR3_LIFE_OF_THE_PARTY": "派对之王"
"WPN_GRENADELAUNCHER_DESCRIPT": "一口气射出海量榴弹，把爆炸效果拉满。"
"HUD_FEET": "英尺"
"WPN_URINAL": "小便池"
"RPG_AMMO": "RPG 弹药"
"HUD_TRIGGER_VEHICLE_REPAIR_NSF": "修理载具需要 $%d"
"TUT_VEHICLE_ENTRY": "{ACTION_IMG} 抢夺载具 \n{SPRINT_IMG} + {ACTION_IMG} 快速抢夺载具"
"TUT_THROW_KILL": "{ACTION_IMG} 扔出人盾"
"ACHIEVE_SR3_YOUR_BACKSEAT_SMELLS_FUNNY": "你后座的味道不对劲"
"HUD_UNLOCKED_SHORTCUT": "GPS 快捷路线已解锁！"
"PAUSE_ACT_HITMAN_REMOVE_HUD": "从 HUD 中移除"
"UNL_DESC_RESPECT_BONUS_PURCHASE4": "所有声望收益提高 20%%"
"UNL_WEEKLY_PAYMENTS_2": "奖励 - 城市每小时收入 2"
"TUT_FINEAIM_1": "精准瞄准模式可提升准度，但会降低速度"
"TUT_TITLE_ACT_GUARDIAN": "天使护卫"
"HYDRAULICS_ON": "液压悬挂开启"
"UNL_DESC_DBNO_EXTRA_TIME_3": "所有同伴流血死亡时间延长 30 秒"
"TUT_WHORED_MINI_HAMMER": "迷你锤"
"TUT_TITLE_AIRSTRIKE": "空袭武器"
"PLAYER_CHOICE_M13_OPTION1_TITLE": "[format][color:blue]把乔什交还给 STAG[/format]"
"TUT_SATCHEL_CHARGES": "{DETONATE_CHARGES_IMG} 引爆已投掷的炸药包"
"WPN_SHOTGUNGANG_DESCRIPT": "老派霰弹枪，配上圣徒新风格。"
"HUD_RESPECT_RANK_003": "街头混混"
"TUT_WHORED_Z_THEME_PARK": "游乐园大混战"
"TUT_AIRPLANE_CONTROL": "{PLANE_ACCELERATE_IMG} 加速 \n{PLANE_BRAKE_REVERSE_IMG} 刹车 + 倒退 \n用 {ANALOG_LS_IMG} 控制滚转和俯仰，让飞机转向。"
"HUD_FLIP_VEHICLE_INSTRUCTIONS": "按 {ACTION_IMG} 翻正载具"
"SATELLITE_FIRE_MISSILES": "发射非制导导弹"
"HUD_RESPECT_RANK_009": "老哥"
"USE_TRIGGER_GANG_CUSTOMIZE": "自定义你的帮派"
"HUD_DIVERSION_POINTS": "点数 "
"TUT_TITLE_NEW_MISSIONS": "新任务"
"THEATER_STRONGHOLD": "根据地"
"HUD_PRESS_BACK_CANCEL_ACTIVITY": "长按 %ls 退出活动"
"TUT_TITLE_HYDRAULICS": "液压悬挂"
"TUT_GENERAL_BUSTED": "你被抓了！  \n被捕后会扣掉一小笔现金，然后你会在警察局门外被释放。"
"PLAYER_CHOICE_M22_OPTION1_TITLE": "[format][color:red]前往机场[/format]"
"PLAYER_CHOICE_M09_OPTION2_TITLE": "[format][color:Purple]把女孩们留给圣徒[/format]"
"PLAYER_CHOICE_M06_OPTION1_TITLE": "[format][color:red]炸掉大楼[/format]"
"TUT_TITLE_ACT_INTRO_HELI_ASSAULT": "武直突击"
"HUD_HELIPORT_NEED_VEHICLES": "添加直升机以使用停机坪"
"UNL_DESC_HOMIE_PIERCE": "在你手机的“电话”菜单中可以找到皮尔斯。他会在战斗中帮助圣徒。"
"TUT_CRIB_CARSTORAGE_1": "这是你的车库。  \n在这里可以存放或取出你拥有的载具。"
"UNL_DESC_INSTANT_RELOAD_SHOTGUN": "霰弹枪瞬间完成装填"
"TUT_TITLE_DLC_MONEYSHOT": "TOGO-13"
"TUT_NAG_FINE_AIM": "记住：使用精准瞄准 {ANALOG_RS_IMG} 助你瞄准远处的敌人"
"PLAYER_CHOICE_M13_OPTION2_BODY": "奖励：夜刃成为兄弟"
"TUT_TITLE_UNDERCOVER": "卧底行动"
"TUT_COMBAT_WEAPONS_1": "{PICKUP_RELOAD_IMG} 换弹"
"TUT_TITLE_NP_MOTORCYCLE_CONTROLS": "摩托车操作"
"HUD_RESPECT_RANK_007": "珠光宝气"
"PLAYER_CHOICE_M19_OPTION1_TITLE": "[format][color:blue]把丧尸病毒还给奥列格[/format]"
"PLAYER_CHOICE_M16_OPTION2_TITLE": "[format][color:blue]接管一家武器制造商[/format]"
"TUT_TITLE_ACT_INTRO_ESCORT": "护花使者"
"TUT_STORE_INTRO_WEAPONS": "你可以在队友火力枪店购买武器和弹药，还能升级武器和手榴弹。"
"RESPECT_UPGRADE": "升级"
"EXPLOSIVE_ROCKETLAUNCHER": "歼灭者"
"SHOTGUN_POLICE": "AS3 终极者"
"OVL_IN_USE": "使用中"
"TUT_SPRINT_RECHARGE": "冲刺槽耗尽后，等它重新充满再继续冲刺。"
"GARAGE_TOO_SMALL": "车库太小，放不下这辆载具"
"MAP_HIDDENNAME_STORE": "商店"
"UNL_DESC_CRIB_POWDER": "火药现在是一座圣徒据点。在这里可以访问武器库和服装，并自定义你的帮派。"
"TL_MIS_21_RIDE_KILLBANE": "{ANALOG_LS_IMG} 转向 \n{ATTACK_PRIMARY_IMG} 出拳 \n出拳揍杀霸，让他朝你转向的方向移动。"
"HUD_METERS_ABR": "米"
"TUT_TITLE_STORE_INTRO_CLOTHES": "服装店"
"ACHIEVE_SR3_A_BETTER_PERSON": "更好的自己  "
"HUD_AMT_POINTS": "+{0}点数"
"TUT_ACT_INTRO_SNATCH_KINZIE": "把联系人从赛博帮手里安全带回来。"
"ACHIEVE_SR3_THIRD_AND_30": "三档30码"
"COOP_WAITING_ON_PLAYER": "正在等待其他玩家……"
"WPN_AIR_STRIKE_DESCRIPT": "用激光“标记”目标，然后看着死亡之雨砸向那片区域。  最好退远一点……"
"TUT_COMBAT_MELEE_1": "{MELEE_POWER_ATTACK_IMG} 重击 \n{ATTACK_PRIMARY_IMG} 轻击"
"COOP_KICK_PLAYER_CONFIRM": "你确定要把 %ls 踢出游戏吗？\n未保存的任务或活动进度将会丢失"
"UNL_DESC_HOMIE_SHAUNDI": "在你手机的“电话”菜单中可以找到肖恩蒂。她会在战斗中帮助圣徒。"
"HUD_HOLD_BACK_CANCEL_TAGGING": "退出涂鸦"
"HYDRAULICS_TOGGLE": "按 %ls 切换"
"TUT_TITLE_LOW_AMMO": "弹药不足"
"PLAYER_CHOICE_M19_OPTION1_BODY": "奖励：丧尸兄弟"
"TUT_TITLE_ACT_INTRO_DRUG_TRAFFICKING": "黑货押运"
"TUT_DIV_INTRO_HOSTAGE": "高速行驶甩开警察，直到人质崩溃掏钱。  一旦减速，人质就会逃跑。"
"ACHIEVE_SR3_GOTTA_BREAK_EM_IN": "总得先磨合磨合"
"HUD_RESPECT_RANK_001": "新血"
"TUT_WHORED_A_LITTLE_NIKITA": "小尼基塔"
"TUT_WHORED_ZOMBIE_SLAYER": "丧尸杀手"
"TUT_WHORED_BIG": "东京告急！"
"WPN_SONIC_WAVE_GUN_DESCRIPT": "聚焦声波能震倒你面前的大多数东西。  蓄力之后，看看会发生什么！"
"WPN_SMGCYBER_DESCRIPT": "从赛博帮网络里扒来的赛博帮冲锋枪，真的能用。"
"RESTRICTED_ZONE_ENTER": "正在进入禁区"
"UNL_DESC_NOTORIETY_LUCHA_3": "你的摔跤手帮恶名消退速度会大幅加快"
"TUT_TITLE_HOMIE_REVIVE": "救起同伴"
"Flashbang": "闪光弹"
"TUT_WHORED_Z_BRUTE_ACTION": "壮汉手办"
"ACHIEVE_SR3_KILL_DECKERS_EXE": "干掉赛博帮.EXE"
"PISTOL_POLICE": "KA-1 眼镜蛇"
"TUT_NP_TANK_CONTROLS": "{ANALOG_LS_IMG} 移动 \n{ANALOG_RS_IMG} 瞄准 \n{TANK_FIRE_SECONDARY_IMG} 发射主武器 \n{TANK_FIRE_PRIMARY_IMG} 发射副武器"
"PLAYER_ALL_HEALED": "满血复活！"
"TUT_WHORED_A_KEEP_AWAY": "休想拿走"
"TUT_WHORED_BRUTES": "奥列格家族大团圆"
"HUD_TARGET_ELIMINATED": "目标已消灭"
"UNL_DESC_CASH_FOR_RESPECT_1": "支付现金购买 4,000 点声望"
"TUT_TITLE_STORE_INTRO_TATTOO": "纹身店"
"CS_TITLE_SYNDICATE_JET": "辛迪加喷气机"
"USE_TRIGGER_PENTHOUSE": "前往顶层公寓"
"RADIO_OFF": "关"
"UNL_DESC_WEP_AIRSTRIKE": "在据点的武器库装备 SA3 空袭指示器。"
"USE_TRIGGER_GARAGE": "前往车库"
"WPN_EGRENADE_DESCRIPT": "造成电击伤害，还能麻倒你周围的敌人。"
"WPN_VTOL_MISSILES": "蜂群导弹"
"USE_TRIGGER_DROP_HELI": "放下直升机"
"UNL_DESC_POLICE_CUSTOMIZATION": "警察主题自定义物品"
"EXPLOSIVE_GENKI": "软体动物发射器"
"ACT_CANCEL_TEXT": "你确定要离开当前活动吗？\n开始活动以来的所有进度都会丢失。"
"SATELLITE_SLOW_DOWN": "减速"
"SATLLITE_SPEED_UP": "加速"
"ACT_CANCEL_TITLE": "重试还是退出活动？"
"UNL_WEAPON_KILLBANES_GLOVES": "武器 - 末日神拳"
"ACHIEVE_SR3_FLASH_THE_PAN": "一锅端"
"WPN_SNIPER_DESCRIPT": "专治讲究精准的远距离一击。"
"UNL_SPRINT_1": "冲刺 - 提速"
"TUT_NAG_TAUNTING": "记住：一边杀敌一边用 {MENU_DP_LEFT_IMG} 嘲讽他们，可获得额外声望"
"UNL_DAMAGE_FIRE_2": "伤害 - 火焰 2"
"TUT_PAUSE_MAP": "{MAP_MENU_IMG} 打开手机地图\n现在就打开手机地图，设定一条通往队友火力枪店的 GPS 路线。"
"TUT_WHORED_MINI_SAMURAI": "迷你武士"
"ACHIEVE_SR3_YOURE_THE_BEST": "你是最棒的……"
"WPN_STUNGUN_DESCRIPT": "快速撂倒你的目标。"
"RIFLE_AMMO": "步枪弹药"
"PISTOL_AMMO": "手枪弹药"
"CS_TITLE_SYNDICATE_BOARDROOM": "辛迪加会议室"
"ACHIEVE_SR3_PIMPED_OUT_PAD": "爆改据点"
"TEMP_SHIELD": "防暴盾牌"
"TUT_WHORED_SWAG_BAG": "战利品袋"
"USE_TRIGGER_HE_CRIB_ENTER": "乘电梯上楼"
"HUD_ACT_CONTINUE": "%ls 继续活动"
"ACHIEVE_SR3_DEAD_PRESIDENTS": "钞能力"
"WPN_PISTOLPOLICE_DESCRIPT": "警察赶到时，你通常忙着躲的就是这玩意。"
"SPECIAL_SNIPERRIFLE": "麦克马纳斯 2015"
"HUD_UNLOAD_VEHICLE_MESSAGE": "按 %ls 卸下载具"
"TUT_CHALLENGES": "挑战会为完成艰难任务提供奖励。在圣徒簿 {MAP_MENU_IMG} 中追踪你的进度。"
"HUD_FEAR": "恐惧"
"STRONGHOLD_COOP_TITLE": "合作根据地"
"S_FOUND_A_COLLECTIBLE_YOU_MISSED": "%ls 找到了你错过的收集品"
"TUT_HELICOPTER_ENTRY": "{HELI_UP_IMG} 上升\n{HELI_DOWN_IMG} 下降\n{HELI_STRAFE_LEFT_IMG}/{HELI_STRAFE_RIGHT_IMG} 快速转向"
"SATELLITE_RC_MODE_DESTRUCT": "自爆"
"HOOD_OWNED_FRACTION": "已占领 %d/%d"
"HUD_LOAD_VEHICLE_MESSAGE": "%ls 装载载具"
"UNL_UPGRADE_AMMO_SHOTGUN_3": "弹药 - 霰弹枪 3"
"TUT_NAG_IMPROV_WEAPONS": "记住：用 {PICKUP_RELOAD_IMG} 拾取场景里的物件，把它们当临时武器用"
"TUT_WHORED_SAUSAGEFEST": "香肠派对"
"SATELLITE_EXIT_RC_MODE": "退出遥控模式"
"HOMIES_HOSPITAL_BILL": "%ls 的住院费花了 %ls"
"HUD_RESPECT_RANK_005": "兄弟"
"GENERAL_LIGHT": "轻伤"
"PLAYER_CHOICE_M06_OPTION1_BODY": "奖励：永久声望加成"
"TUT_TITLE_BARNSTORMING_NEW": "低空穿越"
"ACHIEVE_SR3_I_HEART_NYTE_BLAYDE": "我爱夜刃"
"SHOTGUN_GANG": "掘墓人"
"HUD_DOWNED_REVIVE": "复活"
"UNL_DESC_RESPECT_BONUS_PURCHASE2": "所有声望收益提高 10%%"
"UNL_WEEKLY_PAYMENTS_4": "奖励 - 城市每小时收入 VIP"
"TUT_TITLE_GANG_CUSTOMIZE": "帮派自定义"
"TUT_CITY_TAKEOVER": "{MAP_MENU_IMG} 打开地图 \n查看地图，找到城市接管玩法，提升你的每小时收入。"
"TUT_TITLE_STORE_OWNERSHIP": "地产所有权"
"HUD_HANGAR_NEED_VEHICLES": "添加飞机以使用机库"
"WPN_MOLOTOV_DESCRIPT": "放火好帮手。"
"TUT_SHORTCUT_SPLINES": "每发现一条捷径，GPS 就会更新出更新、更短的路线。"
"GARAGE_WATERCRAFT_ONLY": "此处只能存放水上载具"
"UNL_DAMAGE_VEHICLE_4": "伤害 - 载具 4"
"FLAME_AMMO": "燃烧弹药"
"HUD_TAUNT": "嘲讽"
"TUT_WHORED_A_T_BIRD": "T BIRD 的浪潮"
"TUT_TITLE_RANK_UP": "升级"
"TUT_TITLE_GENERAL_BUSTED": "被捕"
"TUT_TITLE_THROW_KILL": "人盾 - 扔出"
"TUT_ACT_TANK_MAYHEM": "消灭钢埠各处的辛迪加高价值目标。"
"TUT_TITLE_STRONGHOLD_RESPECT": "声望不足！"
"TUT_WHORED_HUMANTORCH": "给我烧起来"
"HUD_CRUISE_CONTROL_ACTIVE": "定速巡航已开启"
"COOP_PLAYER_KICKED": "%ls 已被踢出游戏"
"CANT_STORE_PARTNERS_CAR": "无法存放队友的载具"
"TUT_WHORED_PICKUPS_BODY": "在关卡各处寻找补给包，获取新武器、升级件和弹药。"
"TUT_TITLE_OLEG_FOLLOW": "正在离开奥列格"
"FORMAT_TIME_MINS": "{0} 分钟"
"HUD_TRIGGER_DISABLED_OTHER": "现在不能来这里"
"WEP_HELI_FIGHTER_01": "机枪/火箭弹"
"HUD_TAP_BUTTON": "连点"
"HUD_HOLD_BUTTON": "长按"
"HUD_PRESS_BACK_CANCEL_DIVERSION": "再按一次 %ls 取消即时挑战"
"UNL_DESC_HOMIE_VTOL": "在你手机的“电话”菜单中可以呼叫 VTOL 兄弟。他会在战斗中给你送来一架 VTOL。"
"UNLOCKABLE_VIEW_MAP_TEXT": "游戏中按 %s 查看地图。"
"TUT_M16_CHARGE_CYBERCANNON": "{ATTACK_PRIMARY_IMG} 长按扳机蓄力"
"TUT_RECIEVE_CRIB": "你现在拥有自己的据点了 {MAP_IMG_CRIB}。\n在据点可以存放武器和服装，并进行帮派形象定制。"
"HUD_CANCEL_ACTIVITY": "重试或退出活动"
"HUD_METERS": "米"
"UNL_DEPRECATED_SR2": "我的文本来自二代，早就过时了，这个奖励已失效，我不该在游戏里出现"
"TUT_TITLE_ACT_INTRO_ESCORT_TIGER": "老虎护驾"
"TUT_OLEG_FOLLOW": "把奥列格甩在身后他自己会追上来，不用等他。"
"TUT_RECRUITING": "有兄弟加入后，屏幕右上角会显示他的图标。随着等级提升，你可以用 {RECRUIT_DISMISS_IMG} 招募更多兄弟。"
"WPNCAT_SHOTGUN": "霰弹枪"
"MAP_HIDDENNAME_PROPERTY": "地产"
"UNL_WEP_DILDO_BAT": "武器 - 穿透者"
"TUT_COMBAT_GRENADES": "{ATTACK_SECONDARY_IMG} 投掷手榴弹 \n{WEAPON_MENU_IMG} + {DPAD_IMG} 切换装备的手榴弹"
"PLAYER_HAS_FULL_HEALTH": "你已恢复满血"
"TUT_TITLE_COMBAT_RANGED": "远程战斗"
"WPNCAT_SPECIAL": "特殊武器"
"TUT_TITLE_ACT_FRAUD_ADRENALINE": "肾上腺素模式"
"TUT_TITLE_CRIB_CASH": "现金储藏室"
