// extra_dumps ref: activity - JP/CZ reference for keys in extra_activity_us.txt
"CHOPSHOP_VIEW_DETAILS": "JP: 詳細を見る || CZ: PODROBNOSTI"
"ACT_CHOP_SHOP_VEHICLE_COUNT": "JP: 残り台数：%i || CZ: ZBÝVAJÍCÍ AUTA: %i"
"ACT_ZOMBIE_LIMITED_USES": "JP: 武器は有効に使え。使用回数には制限がある || CZ: Používej své zbraně rozumně. Máš pouze omezený počet nábojů."
"ACT_VANDAL_BONUS_VEHICLE": "JP: 車両ボーナス || CZ: BONUS ZA VŮZ"
"ACT_PIMPING_FAIL_KILLED_HO": "JP: 調達したエステティシャンを始末してしまった || CZ: ZABIL JSI VLASTNÍ ŠLAPKU"
"ACT_FRAUD_MESSAGE_COPS_MULT_TYPE": "JP: 保険金詐欺警官目撃記録 || CZ: REKORD PODVODU 'POLICEJNÍ SVĚDEK': %.0.F POLICAJTŮ"
"ACT_TORCH_TIME_ACCRUED": "JP: ボーナス || CZ: BONUS:"
"ACT_HELI_DIVIDER_TEXT": "JP: ／ || CZ: /"
"ACT_ESCORT_COMPLETE_MSG": "JP: よくやった！ || CZ: VÝBORNĚ"
"ACT_PIMPING_TITLE": "JP: スカウトレベル選択 || CZ: VÝBĚR ÚROVNĚ SOUBOJE PASÁKŮ"
"ACT_VANDAL_BONUS_MULTIPLIER": "JP: ボーナス倍数： || CZ: NÁSOBEK BONUSU: "
"ACT_VANDAL_BAT_MSG": "JP: バット || CZ: BASEBALLOVÁ PÁLKA"
"ACT_ESCORT_GETBACK_MSG": "JP: [format][color:yellow]車[/format]に戻れ || CZ: VRAŤ SE DO [format][color:yellow]AUTA[/format]"
"ACT_PIMPING_DRIVE_TO_CONTACT_LOCATION": "JP: [format][color:green]協力者[/format]を救出し、連れ戻せ || CZ: ZACHRAŇ [format][color:green]INFORMÁTORY[/format] A DOVEZ JE ZPÁTKY"
"ACT_ESCORT_SATISFIED_MSG": "JP: [format][color:green]客[/format]を降ろせ || CZ: VYSAĎ [format][color:green]KLIENTA[/format]"
"ACT_HOSTAGE_START": "JP: 人質を開始 || CZ: SPUSTIT RUKOJMÍ"
"ACT_VANDAL_COP_CAR_OLD_4_DOOR_MSG": "JP: パトカー || CZ: POLICEJNÍ VŮZ"
"ACT_FRAUD_GO_TO_SCORING_AREA": "JP: スコアリングエリアに行け || CZ: JDI NA BODOVACÍ ÚZEMÍ"
"ACT_CHOP_BRING_CAR": "JP: 車に乗って来い || CZ: Vrať se s autem."
"ACT_VANDAL_POLICE_MSG": "JP: 警察 || CZ: POLICIE"
"ACT_VANDAL_STATIC_BONUS_STANDARD_CAR_MSG": "JP: 標準車ボーナス || CZ: BONUS ZA STANDARDNÍ AUTA"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_3SEC": "JP: 3... || CZ: 3..."
"ACT_FRAUD_MESSAGE_VEHICLE_MULT_TYPE": "JP: 保険金詐欺車両記録 || CZ: REKORD PODVODU 'ZÁSAH VOZU'"
"ACT_CHOP_SHOP_FAIL_CARS_MSG": "JP: 車を失い過ぎだ || CZ: Přišel jsi o příliš mnoho aut."
"ACT_GUARDIAN_ANGEL_ZOOM_HELP_TEXT": "JP: {SHOULDER_CAM_IMG}を押すとエイムモードになる。{ZOOM_IN_IMG}／{ZOOM_OUT_IMG}でズームイン／ズームアウト || CZ: Stisknutím {SHOULDER_CAM_IMG} zapneš zaměřování. {ZOOM_IN_IMG}/{ZOOM_OUT_IMG} slouží k přiblížení a oddálení pohledu"
"ACT_ESCORT_STRIPPER_MSG": "JP: ダンサーが車に乗るまで待て || CZ: POČKEJ, NEŽ STRIPTÉRKA NASTOUPÍ DO AUTA"
"ACT_ESCORT_GETBACK_COUNT_MSG": "JP: %d秒以内に[format][color:yellow]車[/format]に戻れ || CZ: MÁŠ %d SEKUND NA NÁVRAT DO [format][color:yellow]AUTA[/format]"
"ACT_TRAFFIC_POLICE_STING_START": "JP: はめられた！警察から[format][color:green]ディーラー[/format]を救出しろ！ || CZ: TAJNÝ ZÁTAH! ZACHRAŇ [format][color:green]DEALERA[/format] PŘED POLICAJTY!"
"ACT_TRAFFIC_OBJECTIVE_1_DRIVER": "JP: [format][color:green]ディーラー[/format]を客の元へ連れて行け || CZ: ODVEZ [format][color:green]DEALERA[/format] ZA KLIENTY"
"ACT_HELI_TIMER_TEXT": "JP: 残り時間 || CZ: ZBÝVAJÍCÍ ČAS"
"ACT_ESCORT_FAIL_STRIPPER_DEAD": "JP: ダンサーが死んでしまった || CZ: STRIPTÉRKA ZAHYNULA"
"CHOP_STYLISH_RIMS": "JP: スタイリッシュリム || CZ: STYLOVÉ RÁFKY"
"ACT_VANDAL_VEHICLE_PENALTY_MSG": "JP: 破壊ボーナス対象外：[format][color:red]%ls[/format] || CZ: ZA ZNIČENÍ CÍLE ([format][color:red]%ls[/format]) ŽÁDNÝ BONUS NEDOSTANEŠ."
"ACT_ZOMBIE_NAME": "JP: ゾンビの反乱 || CZ: VZPOURA ZOMBIÍ"
"ACT_VANDAL_VAN_MINIVAN_MSG": "JP: バン || CZ: DODÁVKY"
"ACT_TRAFFIC_BUYER_ATTACK": "JP: バイヤーが攻撃を受けている || CZ: ZÁKAZNÍK BYL NAPADEN"
"ACT_HELI_NAME": "JP: ヘリアサルト || CZ: ÚTOK ZE VZDUCHU"
"ACT_HELI_CONVOY_BASE_MESSAGE": "JP: %sに到着する前に車列を止めろ || CZ: ZASTAV KONVOJ, NEŽ SE DOSTANE DO OBLASTI: %s"
"ACT_FRAUD_ADRENALINE_TAG": "JP: アドレナリン： || CZ: ADRENALIN:"
"ACT_VANDAL_SUV_MSG": "JP: SUV || CZ: SUVČKA"
"ACT_GUARDIAN_ANGEL_HUD_TIMER_MESSAGE": "JP: 時間 || CZ: ČAS"
"CHOP_STYLISH_HOOD": "JP: スタイリッシュボンネット || CZ: STYLOVÁ KAPOTA"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_1SEC": "JP: 1... || CZ: 1..."
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED": "JP: ディーラーが逮捕された || CZ: DEALER BYL ZATČEN"
"ACT_PIMPING_TRAP_ATTACK_KILL_DECKERS": "JP: 罠だ！[format][color:red]デッカー[/format]を全員始末してから[format][color:green]協力者[/format]たちをスカウトしろ || CZ: ODHALIL JSI PAST! NEJDŘÍV ZABIJ VŠECHNY [format][color:red]DECKERY[/format] A PAK NAVERBUJ [format][color:green]INFORMÁTORY[/format]."
"ACT_PIMPING_CAPTURED_HO_DIED": "JP: エステティシャンの1人が死んだ。\n新しいエステティシャンが必要だ || CZ: JEDNA Z TVÝCH ŠLAPEK ZEMŘELA, POTŘEBUJEŠ DALŠÍ"
"ACT_FRAUD_BONUS_DISTANCE": "JP: 直線距離ボーナス || CZ: BONUS ZA SKOK DO DÁLKY"
"ACT_HELI_DISH_HUD_TEXT": "JP: 破壊した衛星アンテナ || CZ: SATELITNÍ ANTÉNY ZNIČENY"
"ACT_FRAUD_FIRST_VISIT_BONUS_STRING": "JP: ボーナスエリア内で負傷すると\nアドレナリンを多く獲得できる || CZ: ZA ZRANĚNÍ ZÍSKÁŠ V TÉTO BONUSOVÉ OBLASTI ADRENALINOVÝ BONUS"
"ACT_CHOP_SHOP_SEEK_CARS_MSG": "JP: 必要な車を[format][color:green]ヤミ改造工場[/format]に引き渡して現金化しろ || CZ: Za dovezení požadovaných aut do [format][color:green]dílny[/format] získáš peníze."
"ACT_ESCORT_TITLE": "JP: エスコートレベル選択 || CZ: VÝBĚR ÚROVNĚ ESKORTY"
"ACT_VANDAL_PISTOL_MSG": "JP: ピストル || CZ: PISTOLE"
"ACT_CHOP_SHOP_APPROACH_CAR_MSG": "JP: その車を押さえて盗め || CZ: Dožeň tohle auto a ukradni ho."
"ACT_VANDAL_STATIC_BONUS_LUXURY_CAR_MSG": "JP: 高級車ボーナス || CZ: BONUS ZA LUXUSNÍ AUTA"
"ACT_ESCORT_OBJECTIVE_TEXT_02": "JP: 報道陣をまけ || CZ: VYHNI SE TISKU"
"ACT_PIMPING_TRAP_ATTACK_GET_CONTACTS": "JP: 罠だ！[format][color:green]協力者[/format]たちをスカウトして脱出しろ || CZ: ODHALIL JSI PAST!  NAVERBUJ [format][color:green]INFORMÁTORY[/format] A VYPADNI."
"ACT_HELI_TARGETS_TEXT": "JP: 目標達成 || CZ: SPLNĚNÉ ÚKOLY"
"ACT_VANDAL_BOAT_MSG": "JP: ボート || CZ: LODĚ"
"ACT_PIMPING_HOS_COLON": "JP: エステティシャン： || CZ: ŠLAPKY:"
"ACT_FRAUD_KILLED": "JP: 人を殺したため信用がなくなった || CZ: Ztratil jsi na důvěryhodnosti, protože jsi někoho zabil."
"ACT_TRAFFICKING_START": "JP: デリバリーを開始 || CZ: ZAČÍT KŠEFTOVAT"
"ACT_VANDAL_CAR_COMPACT_MSG": "JP: コンパクトカー || CZ: KOMPAKTNÍ AUTA"
"ACT_VANDAL_STATIC_BONUS_VAN_MSG": "JP: バンボーナス || CZ: BONUS ZA DODÁVKY"
"ACT_FRAUD_BONUS_DISTRICT": "JP: 地区ボーナス || CZ: BONUS ZA MÍSTO PROVEDENÍ"
