"HASH_1B09B600": "A doprdele." 
"HASH_642292DF": "Netahej mě za nos."
"HASH_A0D150DF": "Promiň, nebylo ti rozumět."
"HASH_527A4EDF": "Jak moc chceš toho chlapa, kterej zranil Johnyho Gata?"
"HASH_3CDE76DF": "Možná ti nerozuměli..."
"HASH_A4CFFEDF": "To vážně ne."
"HASH_CD68E4DF": "Lituji, pánové, ale budu vás muset požádat, abyste se vrátili do čekárny."
"HASH_594A7AE0": "Jo. Zdá se, že se to hezky zacelilo."
"HASH_32276AE0": "Takže mám práci?"
"HASH_559662E0": "Vstávej, musíme se pohnout."
"HASH_9AE156E0": "Shaundi, ty máš na starosti Syny Samediho."
"HASH_C25368E0": "Tak sakra zavři tlamu."
"HASH_52C880E0": "Okej, to se mi bude hodit. Pojďme ke mně do skrýše."
"HASH_4BBDD6E1": "Kolik aut jsi říkal, že potřebuješ?"
"HASH_413F94E1": "Ustup."
"HASH_20FB30E1": "Vstávej, musíme se hnout."
"HASH_E74940E1": "Víc už souhlasit nemůžu."
"HASH_EB2486E1": "Co chceš?"
"WMDR_FRAUD_FACTORIES_2": "Ten tvůj kaskadérský kousek ho dostal do basy."
"HASH_536FFAE2": "Řekl jsi chlapům, ať se o to postarají?"
"HASH_56D726E2": "Známe se?"
"HASH_0DAB70E2": "Jsem rád, žes přišla."
"WMPLAYER_SNATCH_DTOWN_5": "Ne, já jen-"
"HASH_82C18CE2": "Ale no tak, jsem jenom chudák oběť, kterou chtěj ukřižovat."
"HASH_0518D6E2": "Když se do toho zamíchal Ultor."
"KATIE_FUZZ_SUBURBS_2": "No, to je takhle. Skoro dva roky jsem šéfovi dělala akorát tak poskoka, ale teď mi konečně dovolil vybrat obsah pro dnešní epizodu pořadu Velký poliš."
"HASH_29173AE2": "Nevíš, co plácáš."
"JANE_MAYHEM_SHANTY_1": "Díkybohu že jsi tady. Každá sekunda, kterou spolu mluvíme, je další sekundou vysílacího času, kterou mi Zach Johnson krade."
"HASH_6C7EB4E3": "Musíme si najít novej flek?"
"WMPLAYER_FRAUD_FACTORIES_3": "Copak jsi zrovna neřekl, že Gonzalese zabásli? Proč bys chtěl zkoušet stejnou věc?"
"HASH_1DE508E3": "Už nepůjčuješ prachy?"
"HASH_78C622E3": "Jsem rád, žes přišla."
"HASH_8FB542E3": "Jsi na tohle připravenej, Wongu?"
"HASH_3340F0E3": "Aishe je stejně jedno, jestli přijdu nebo ne, že jo?"
"HASH_49AC48E3": "Nějaký problém?"
"HASH_672FE8E3": "No dobře, nebudeme to uspěchávat. Jsi rozrušený a frustrovaný..."
"HASH_273046E4": "Posluž si."
"HASH_BC9FA4E4": "Buď fér, jsem jenom oběť atentátu."
"HASH_53B6BAE4": "Ne."
"BFPLAYER_MAYHEM_NUKE_6": "Tak co potřebuješ, abych udělal?"
"WMPLAYER_FRAUD_MUSEUM_3": "Dobře..."
"HASH_8CFEAAE4": "O tom to bylo."
"HASH_23E4AAE5": "Určitě. Uvidíme se doma."
"HASH_525D14E5": "Posluž si."
"HFPLAYER_FRAUD_FACTORIES_3": "Copak jsi zrovna neřekl, že Gonzalese zabásli? Proč bys chtěl zkoušet stejnou věc?"
"HASH_957792E5": "Carlosi, žádný strachy, udělám z tebe bouchače, i kdyby mě to mělo zabít."
"HASH_AA9D34E5": "Na tom nezáleží, plán je takový: Pierce a Shaundi vyrazí do ulic a zničí co nejvíc věcí Ultoru. Jestli po nás chce Ultor jít, tak fajn, ale bude je to stát pěknej balík. Gat půjde se mnou do pyramidy."
"HASH_185D80E5": "Začíná to být čím dál lepší."
"HASH_C1990CE5": "Až tě najdu, tak-"
"BMPLAYER_MAYHEM_SHANTY_1": "Kdo?"
"HASH_F4A5D4E5": "Bacha na jazyk, Vogele."
"HASH_9A01ECE5": "Nemusíš trvat na svých chybách - stejně už nebudeš žít, aby ses z nich mohl poučit."
"HASH_129930E5": "Vstávej."
"HELMERS_SNATCH_DTOWN_4": "Co to na mě zkoušíš?"
"HASH_EDEB32E5": "Nedá se mu dovolat... pořád mu teď volají nějací novináři..."
"HASH_400D7AE6": "Shaundi, jsi ok?"
"HASH_402046E6": "To si ze mě snad děláš srandu."
"WMPLAYER_SWEEP_SUBURBS_1": "Co chceš, abych s tím udělal?"
"HASH_D3C962E6": "Udělej pro mě něco: až otevřeš ten kufr, tak si jenom pamatuj, žes mi měl udělat lepší nabídku než 20 procent."
"HASH_891982E6": "Je to síla, co?"
"HASH_00C95EE6": "Nevím. Shaundi to dělala se spoustou chlapů."
"HASH_48769CE6": "Tak jak... Hele, nemůžeš toho nechat? Docela mě tim děsíš. Jak se mohli o tý farmě dozvědět?"
"HASH_A9A83AE6": "Kurva!"
"HASH_356028E7": "Shaundi... Jsi ok?"
"HASH_41E6D4E7": "Znáš Akudžiho?"
"HASH_547D38E7": "Drž se plánů, Shaundi... tenhle rozhovor skončil."
"BFPLAYER_FIGHT_UNIV_5": "Fakt? Tak proč nepopoběhneš a nestihneš to?"
"HASH_FC9520E7": "Víš to určitě?"
"HASH_F3170AE7": "Chceš se přidat k uvítacímu výboru stilwaterskýho lapáku?"
"HASH_5E33D8E7": "Už dvakrát jsem ho zmáčknul, takže vsadím boty, že už je ze hry, ne-li rovnou mrtvej."
"HASH_82758AE8": "Já se na to díval."
"HASH_9AC62AE8": "Za nás to byla klasika."
"HASH_A22434E8": "Ticho, jsme v televizi..."
"HASH_2E8860E8": "Carlosi, líbíš se mi. Vážně. Ale ještě se máš hodně co učit, než budeš opravdu mým poručíkem."
"HASH_9D241AE8": "Naštěstí pro mě za pár minut shoříš."
"HASH_88BFF6E8": "Já nikam nespěchám."
"HMPLAYER_MAYHEM_NUKE_2": "Tak proč seš ve skafandru?"
"HASH_EFD522E8": "Že jsem to tady už vybral, neznamená, že můžeš mít takový blbý kecy..."
"HASH_30A4A0E8": "Je mrtvý. Shogo. Jyunichi je mrtvý. Teď už jsi zůstal jedině ty."
"HASH_A4E236E8": "Tady je fakt spousta místa."
"HASH_8ED16AE8": "Kulový. Feed Dogs jsou zatraceně dobrý."
"AMYNG_ESCORT_SUBURBS_4": "To, že nedělám na ulici jako ten zkurvysyn Helmers, ještě neznamená, že nemám žádný holky. Všechno mám zorganizovaný přes Megin seznam. Potřebuju jen řidiče, co by vozil holky ke kunčaftům."
"HASH_5E014AE9": "To dává smysl."
"HASH_9259F2E9": "Řekl jsi chlapům, ať se o to postarají?"
"HASH_E84948E9": "Naštěstí pro mě už za pár minut shoříš v plamenech."
"HASH_FDD2A4E9": "Nikam nespěchám..."
"HASH_499A1AE9": "O čem to mluvíš?"
"WMPLAYER_MAYHEM_NUKE_2": "Tak proč máš na sobě ochranný oblek?"
"HASH_D74966E9": "Ticho, jsme v televizi..."
"HASH_5BE532E9": "Carlosi, líbíš se mi. Vážně. Ale ještě se máš hodně co učit, než budeš opravdu mým poručíkem."
"HASH_9CCFB4E9": "Co se děje?"
"HASH_032C36E9": "Ou, to vyznělo blbě..."
"HASH_71990EE9": "Poslala jsem ho pro něco do obchodu, za chvíli je zpě-"
"HASH_A6A52CEA": "S tímhle Richiem jsem kdysi chodila, když dělal nosiče ve Warkill. Pak jsem se doslechla, že přechovává drogy, tak jsem se stavila, abych ho pozdravila a něco jsme vykouřili. Stejně se pak ukázalo, že se v noci na chvíli ulil a náhodou vyslechl, jak Maero mluví o nějakým obrovským kšeftu, do kterýho jsou zapletení nějací šílení maníci z Evropy. Ať už se děje cokoliv, lítaj v tom pěkný prachy, takže jestli se do toho hangáru dostaneš ještě předtím, než dokončí ten kšeft, budeme na tom pořádně profitovat, to si piš. A kdyby ti to všecko moc lezlo na mozek, tak můžeš zlikvidovat Bratrstvo a všechny, kteří s nimi mají co do činění.\n\n38000"
"HASH_22AF64EA": "To se nebojíš vylézt jen tak ven?"
"HASH_9EE49CEA": "Počkat, jsou ochotní za-"
"HFPLAYER_ESCORT_SUBURBS_2": "No co, žádná tě ještě nenechala popást?"
"HASH_80099CEA": "Ustup."
"HASH_FA1926EA": "Co je, Pierci?"
"HASH_265AFEEA": "To je dobrý - co to je?"
"HASH_6DDC2CEA": "Co se děje?"
"HASH_11E04CEB": "Přišli jsme opravit počítače v monitorovací stanici."
"HASH_1DC274EB": "No jo."
"HASH_084BFAEB": "Skoro."
"HASH_5337ACEB": "To je dobrý. Co to je?"
"HASH_8F7474EB": "Co se děje, Pierci?"
"HASH_13A8AAEB": "Co se s tebou stalo?"
"HFPLAYER_FIGHT_UNIV_5": "Fakt? Tak proč nepopoběhneš a nestihneš to?"
"HASH_A404ECEC": "Určitě přijdeš na to, co do toho Synové dávají?"
"HASH_9F05D0EC": "Už dvakrát jsem ho zmáčknul, takže vsadím boty, že už je ze hry, ne-li rovnou mrtvej."
"HASH_888014EC": "Zabití vyslanců nebude problém."
"HASH_AA3908EC": "Meč."
"HASH_BADDF6EC": "To si kurva děláš prdel."
"HASH_1D5CB0EC": "Vyhoď ho..."
"HASH_6C0794EC": "Byl jste povýšen, pane Vogel?"
"HASH_A78066ED": "Co je to?"
"HASH_FBF27CED": "Když budu potřebovat nějaký sluneční brýle od Ultoru, tak je ukradnu."
"HASH_B05992ED": "Vypadni kurva z mýho auta."
"HASH_FDED46ED": "Zabít velvyslance nebude problém."
"HASH_7C1144ED": "Tady je ta limuzína!"
"HASH_6AF91AED": "A k tomu -"
"HASH_12FF6AED": "Udělej pro mě něco: až otevřeš ten kufr, tak si jenom pamatuj, žes mi měl udělat lepší nabídku než 20 procent."
"HASH_9C7BE8ED": "Musíme to tu vyčistit."
"HASH_168C6EED": "Prosím, přestaň!"
"HASH_3205FEED": "Nech ho jít."
"AFMID_SNATCH_CTOWN_1": "Klidně zas můžeš jít. Máme zavřeno."
"HASH_6BFCF4EE": "Ehm, můžeš si je vzít, že?"
"HASH_E6641EEE": "Nechápu, co-"
"HASH_FC39FEEE": "Bude to fungovat, ne?"
"HASH_A209FCEE": "Snaž se víc."
"HASH_00AF04EE": "Až tě najdu, tak-"
"HASH_A95784EE": "Přepoj ho."
"HASH_93094CEF": "Nechápu, co-"
"HASH_1E91A6EF": "Ehm, můžeš si je vzít, že?"
"HFPLAYER_FRAUD_MUSEUM_6": "Chtěl jsem to jen vědět."
"HFPLAYER_FUZZ_SUBURBS_2": "Pořád tomu nerozumím..."
"HFPLAYER_SWEEP_REDLIGHT_2": "Je fajn, že o smrti svýho manžela dokážeš žertovat."
"HASH_B65482EF": "Co se děje?"
"BMPLAYER_DRUG_AIRPORT_2": "Tak co mám udělat?"
"HASH_6FB9D4EF": "Maerova přítelkyně právě vešla do banky s kufrem plným peněz."
"HASH_0BABB6EF": "Ježišmarjá, to se chceš nechat zabít?"
"HASH_D6CD5EEF": "A drahý."
"HASH_16EA40EF": "Jdi do prdele, čéče."
"HASH_183E92EF": "Slečno Valdera-"
"HFPLAYER_SNATCH_DTOWN_4": "To jen zna-"
"HASH_596C8EF0": "Měli tě poslechnout."
"HASH_953436F0": "Nechceš si sednout?"
"HASH_EF248CF0": "Ne."
"HASH_4EF7DEF0": "To je ta ulice?"
"WMPLAYER_MAYHEM_NUKE_6": "Tak co potřebuješ, abych udělal?"
"HASH_5C88F6F0": "Carlosi, žádný strachy, udělám z tebe bouchače, i kdyby mě to mělo zabít."
"HMPLAYER_TORCH_APTS_4": "Jojo."
"HASH_9BA270F0": "Posluž si."
"HASH_55173CF0": "Je mi to líto."
"HASH_76F4CAF0": "Bys měl."
"HFPLAYER_SNATCH_CTOWN_1": "To jako pro dnešek končíš?"
"HASH_9DABEEF1": "Teď velím Svatým..."
"HASH_29E5A4F1": "Carlosi, žádný strachy, udělám z tebe bouchače, i kdyby mě to mělo zabít."
"HASH_9A49DEF1": "Ne."
"HMPLAYER_MAYHEM_NUKE_6": "Tak co mám udělat?"
"HASH_E8B8E6F1": "Moment, oni tě chtěj za-"
"HASH_311A20F1": "O Sadie nežertuju."
"HASH_9977C6F2": "Co se děje?"
"HASH_1AAFB0F2": "Tak do hajzlu říkáš?"
"HASH_974820F2": "Je to pěkná díra."
"HASH_8819B0F2": "Ty znáš Akudžiho?"
"HASH_9D825CF2": "Drž se taktiky, Shaundi. Tím to hasne."
"HASH_14C56EF2": "Copak to nechápeš? Svatí nevyřešili ani hovno. Drogy se pořád prodávaly, nevinní lidé pořád umírali. Neudělali jsme nic jinýho, než že jsme se změnili v krále neřesti oblečený v purpuru..."
"HASH_25C2A0F3": "Předpokládám, že dostanu 80."
"HASH_998958F3": "Že jsem to tady už vybral, neznamená, že můžeš mít takový blbý kecy."
"HFPLAYER_ESCORT_SUBURBS_6": "Takhle se mluví se zaměstnancem?"
"HASH_876458F3": "Tvoji kamarádi se měli víc snažit."
"HASH_FD74E2F3": "Znáš Akudžiho?"
"HASH_E8EF0EF3": "Drž se plánů, Shaundi... tenhle rozhovor skončil."
"HASH_06F4D2F3": "Jak to, že jsi šel k Roninům a ne k nám?"
"HASH_89F21EF3": "Shaundi, jsi v pohodě?"
"HASH_871156F3": "To není vtip - silnice jsou zablokovaný."
"HASH_16119CF3": "Já nejsem Shaundi, já totiž musím makat doopravdy."
"HASH_7EC15EF4": "Tak zavři zobák."
"HASH_A0EDA2F4": "Jo."
"HASH_E90454F4": "Vstávej, musíme se pohnout."
"HASH_6EF0DAF4": "Radím ti zavřít klapačku, než..."
"HASH_9B162CF4": "Carlos mi pomohl zdrhnout z lapáku, vypadá jako dobrej kluk, ale budeme potřebovat víc lidí... co říkáš?"
"HASH_11E1AAF4": "Ne, prosím ne!"
"HASH_0BAC0CF5": "Tak zavři zobák."
"HFPLAYER_FIGHT_UNIV_1": "Co se děje?"
"HASH_36A146F5": "O čem to mluvíme? Zbraně? Drogy?"
"HASH_FD592AF5": "Překvapuje mě, že máš odvahu přijít sám..."
"HASH_986814F5": "Pěkný, Shaundi."
"PHIL_HIJACKING_DOCKS_4": "To sakra jo. Válce jsou mimo provoz, takže jsem nemohl rozjet zámořský kšefty - pojízdný auta se hodí vždycky."
"HASH_AD54CCF5": "Můj otec se o tom kasinu nic nedozví."
"HASH_1A3174F5": "Je to smůla, ale Ultor je obchod a z tohohle nekouká žádný zisk. O ty dveře se ale neboj, o to se postarám."
"HASH_464A26F6": "Jsi na Wonga připravený?"
"HASH_FABF94F6": "Aishe je stejně jedno, jestli přijdu nebo ne, že jo?"
"HFPLAYER_FRAUD_MUSEUM_2": "Možná se s ničím nepářu, ale neřekl bych, že dokážu změnit, co si celá branže myslí o pohlaví."
"HFPLAYER_SWEEP_REDLIGHT_6": "Potřebuju jméno vodhospodářský společnosti, co s ní má město smlouvu..."
"HASH_B13946F6": "Jsem rád, žes přišla."
"HASH_E13C42F6": "Dobrá, vy dva o tom místě zjistíte, co se dá. Chci ty zmetky dostat."
"HASH_B1F142F6": "A proto jsme se rozhodli shodit nějaký léky z nákladu přímo uprostřed letu."
"HASH_68D410F6": "Hele, je mi to..."
"HASH_D0E89AF6": "Myslíš, že se bo-"
"HASH_118784F6": "Tady je dnešní výnos."
"HASH_332774F7": "Jsi na Wonga připravený?"
"HASH_8FD2C6F7": "Aishe je stejně jedno, jestli přijdu nebo ne, že jo?"
"HASH_A56438F7": "Proč se díváš jinam?"
"HASH_A3AA4CF7": "Naše jízda."
"HASH_7C1246F7": "Potřebuju ho!"
"HASH_07C2C0F7": "Jessico, jak se ti líbí Maerovo nový tetování?"
"HASH_8BA8F6F7": "Maero! Kdo mi to auto opraví?"
"HASH_E58D20F7": "Kdybysme se drželi plánu, tak bysme o tom ještě pořád jenom kecali."
"HASH_AE3A40F7": "Ti tví \"klienti\" jsou banda zločinců."
"HASH_465250F8": "Tvoji kamarádi se měli víc snažit."
"HASH_1896DAF8": "Určitě přijdeš na to, co do toho Synové dávají?"
"HASH_320D18F8": "Jestli potřebuju nějaký jedinečný sluneční brejle od Ultoru, tak je ukradnu."
"HASH_1A22CEF8": "Najdem si novej domov?"
"BMPLAYER_FIGHT_PRISON_4": "Manželství s hlídačovou dcerou?"
"HASH_E02484F8": "Vy všichni teďka půjdete a ukradnete Svatým drogy."
"HASH_D72072F8": "Poslouchej, dámo, vy dva jste se potkali na jednom z mých koncertů, takže o tom nechci nic slyšet..."
"HASH_EC4942F8": "Ten frája toho nikdy nenechá."
"HASH_690E12F9": "Vidím do tebe."
"HASH_417F70F9": "Zabít velvyslance nebude problém."
"HASH_47604AF9": "Když budu potřebovat nějaký sluneční brýle od Ultoru, tak je ukradnu."
"HASH_6DFB88F9": "Takže ty tvrdíš, že můžeš zjistit, s čímpak to naši Synáčkové kšeftujou?"
"HASH_9D8C92F9": "A kde ty chlapy sebereš?"
"HASH_40ABC8FA": "Bude to fungovat, ne?"
"WMPLAYER_SNATCH_CTOWN_4": "Něco pro tebe najdu a co nevidět budeš zpátky v kšeftu."
"HASH_1A88CCFA": "Miluju šoubyznys."
"HASH_7FABE6FA": "Co je?"
"HASH_D76EC2FA": "Takže ty je zmákneš, jo?"
"HASH_54023EFB": "Nechceš si sednout?"
"HASH_C9D4FCFB": "Kde najdu ostatní Svatý?"
"HASH_51BAE2FB": "To jen dokazuje, že jsi dost pitomej, aby sis nechal vrazit kudlu do zad..."
"HASH_0AC6B4FB": "Co se děje?"
"WMPLAYER_SNATCH_DTOWN_1": "Překvapuje mě, že pořád ještě neděláš z přívěsu Helmers..."
"HASH_35C69AFB": "Bude to fungovat, že jo?"
"BMPLAYER_PIRACY_SROW_2": "Nechápu, co tím-"
"BMPLAYER_TORCH_APTS_4": "Jojo."
"HASH_F274EAFB": "Myslíš, že tohle mě zastaví?"
"HASH_DE497EFB": "Hotovo."
"HASH_450262FB": "Jen pojď dál."
"HASH_027512FB": "Bez vůdce se Svatí rozpadli. Jakmile přišlo Bratrstvo, Roninové a Samedijci, těch pár zbylých stáhlo ocasy, protože jinak by přišli o kejhák."
"HASH_5530D0FC": "Co se děje?"
"HASH_1EB602FC": "Ticho, jsme v televizi..."
"HASH_921A56FC": "Carlosi, líbíš se mi. Vážně. Ale ještě se máš hodně co učit, než budeš opravdu mým poručíkem."
"HASH_C6F4C8FC": "Jessico, jak se ti líbí Maerovo nový tetování?"
"HASH_F3C810FC": "Mám domluvenou schůzku s Danem Vogelem, chce záruky, že svatí-"
"HASH_19D82CFC": "O to se nestarej, já vím, jak ji vysvobodit. Samsone, pojď sem!"
"HASH_6E350AFC": "Na to vsadím krk."
"HASH_2418A2FC": "Fajn, já to zařídím."
"HASH_8D0938FC": "Samozřejmě."
"HASH_15F4F4FC": "A to jí přivede zase k životu, co?"
"HASH_205D82FD": "Co se děje?"
"WFPLAYER_SWEEP_SUBURBS_1": "Co chceš, abych s tím udělal?"
"HASH_661F60FD": "Do hajzlu, jestli vím."
"HASH_54DB7EFD": "Naštěstí pro mě už za pár minut shoříš v plamenech."
"HASH_414092FD": "Nikam nespěchám..."
"BFPLAYER_MAYHEM_NUKE_2": "Tak proč máš na sobě ochranný oblek?"
"WMPLAYER_FUZZ_SUBURBS_3": "Takže se po mně chce, abych se na národní televizi vydával za poldu?"
"HASH_447190FD": "Jestli nezlikvidujete svatý, tak budete mít jiný starosti než to, jestli vás vylejou nebo ne."
"HASH_0A67BCFD": "To je roztomilý."
"HASH_8B936EFD": "To je všechno?"
"HASH_D14E1AFE": "Co se děje?"
"HASH_468B10FE": "Co je, Pierci?"
"HASH_674A50FE": "Dobře. (mluví k přítomným) Až tady skončíme, tak si promluvte s jedním z těchhle... dají vám nějakou práci. Přišel náš čas... tak se do toho kurva dejte."
"BFPLAYER_MAYHEM_SHANTY_1": "Kdo?"
"BFPLAYER_FIGHT_UNIV_1": "Co se děje?"
"HASH_595E1CFE": "Pěkný, Shaundi."
"BMPLAYER_FRAUD_FACTORIES_1": "Jak to jde, doktore?"
"HASH_B98396FE": "Drž se dál!"
"HASH_60B390FE": "Slyším odtamtud hlasy!"
"HASH_A42348FF": "Co se děje?"
"HASH_EFA59AFF": "To je dobrý... co to je?"
"HASH_474D82FF": "Většina lidí jenom hulí trávu."
"HASH_0D602AFF": "Hej, Shaundi?"
"HASH_AFC6D2FF": "Radím ti zavřít klapačku, než..."
"HASH_8E7446FF": "No tak, čekala jsi snad něco jinýho?"
"HASH_8F3C46FF": "Vím, že to dáš do pořádku."
"HASH_07A49AFF": "Byl to kurevskej zrádce."
"HASH_4F1B58FF": "Netuším, jak na to přišli, ale něco mě napadá."
"HASH_AEC5FEFF": "Nemyslíš, že už jsi potetovaný až dost?"
"HASH_1CA4B0FF": "Hej Shaundi, mám tu bombu, cos chtě-"
"HASH_E77C5700": "A to?"
"BFPLAYER_ESCORT_SUBURBS_2": "No co, žádná tě ještě nenechala popást?"
"HASH_DC89E300": "Nevím, jestli bych použil zrovna slovo \"nejsnadnější\"."
"HASH_A5798100": "Buď fér, jsem jenom oběť atentátu."
"HASH_00CA3B00": "To bude v pohodě."
"LI_GUARDIAN_CTOWN_2": "Samosebou, ale ještě než si pohovoříme o odměně, měli bychom si popovídat o tom, co máš vlastně udělat."
"HASH_A80F1F00": "Pierci, poslouchej - někdo z Roninů sundal Johnyho."
"HASH_4B4CE900": "Oj."
"WFPLAYER_MAYHEM_SHANTY_2": "Má velkou podporu?"
"HASH_55F6D701": "Jo? Tak jsi pořád ještě tady?"
"HASH_CD98C901": "Ježíši, kdy se tohle stalo?"
"HASH_DA039901": "Na to jsi měl myslet, než jsi poslal svý lidi zlikvidovat můj gang."
"HASH_75A76901": "Tohle bude dobrý..."
"HASH_A9E4B101": "Nevím, jestli bych pro to použil výraz \"nejjednodušší\"."
"HMPLAYER_FRAUD_FACTORIES_3": "Copak jsi zrovna neříkal, že Gonzales bručí? Proč bych měl zkoušet to samý?"
"HASH_9E573901": "Fakt jsi to ty?"
"MONICA_CLNSWEEP_REDLGT_2": "Uvnitř křičím zoufalstvím, tím si buď jist."
"HASH_DA707B02": "Mě to zajímá. Maero to chce, a proto to seberu já."
"BFPLAYER_SWEEP_SUBURBS_2": "Vážně si myslíš, že lidi budou chtít kupovat domy, když bude celý okolí postříkaný sračkama?"
"HASH_84B4F102": "Co je za problém?"
"HASH_937EBF02": "Dohodnuto... Ale nemůžu slíbit, že tvůj obchod znovu nevyberu, až budeš mít diamanty."
"HASH_BBB4DF02": "Nemáš oheň?"
"HMPLAYER_FIGHT_UNIV_4": "Kurva, taky jsem tam moh jít místo tebe."
"HMPLAYER_FIGHT_PRISON_2": "Dej mi na to slovo."
"HASH_EBAC8902": "Jsem vzhůru."
"BMPLAYER_DERBY_ARENA_3": "Nejspíš jsme to zjistili, co?"
"HASH_B7B2A703": "Doprdele..."
"HASH_F52C3903": "To není můj problém."
"HASH_CED98D03": "Máš oheň?"
"HASH_8C492903": "Vyber si."
"WMPLAYER_FUZZ_PROJ_5": "Fajn že nesoudíš, jak dělám svou práci."
"HASH_F1D9A303": "V čem je problém?"
"HASH_C6FF0503": "Kam to jdeš?"
"HASH_D43F6503": "Odsoudit někoho ještě před procesem - takhle chceš, aby uvažovali tvoji podřízení?"
"HASH_AE2FC704": "Mladej, právě jsi udělal hlou-"
"BMPLAYER_HIJACKING_DOCKS_4": "Takže mám práci?"
"HASH_18793B05": "To nebude problém."
"HASH_DB429505": "Mladej, právě jsi udělal hlou-"
"HASH_90C44705": "Chceš mi něco říct?"
"BFPLAYER_SWEEP_REDLIGHT_2": "Je fajn, že o smrti svýho manžela dokážeš žertovat."
"HASH_DB6FA905": "Jsem v pohodě, Shaundi. Najednou už mi Bratrstvo takové starosti nedělá."
"HASH_48868D05": "Nemůže to počkat, Shaundi? Zrovna koukám na Bobbie a Amber."
"BMPLAYER_HIJACKING_FACTORIES_8": "Kolik aut že to chceš?"
"HASH_7DBA5505": "*mluví japonsky*"
"HASH_12566D05": "Správně."
"HASH_9B27A906": "Buď fér, jsem jenom oběť atentátu."
"HASH_AF301506": "To sakra jo, mám Svatý."
"HASH_B83A8906": "Snad bys nežárlil, Pierci, dyk jsme ve stejným týmu. Předtím jsi říkal, že ten týpek hraje v kapele, co se jmenuje Feed Dogs, viď?"
"HASH_89D6DF06": "Běž, chlapče."
"WFPLAYER_FRAUD_FACTORIES_3": "Copak jsi zrovna neřekl, že Gonzalese zabásli? Proč bys chtěl zkoušet stejnou věc?"
"HFPLAYER_TORCH_APTS_1": "Jen aby bratři z Théty měli prachy."
"HASH_C8F95507": "Máš dobré načasování..."
"HASH_D72C5907": "No skvělý."
"HASH_20374707": "To není pravda, zlato."
"HASH_BCB36507": "Napadli mý chlapy, když jeli vězeňským autobusem."
"HASH_6FFCB107": "Drogová doupata ve firemní parky, prostitutky a pasáky v policisty na hlídce!"
"HASH_0555ED08": "Po koncertě Feed Dogs jsem ti volal, ať zajdeš do doků, a tys ře-"
"HASH_0B6A0B08": "Rozhodně těm parchantům musíme připomenout, kdo jsme."
"HASH_2B3BB508": "V pohodě, to zvládnu..."
"WMPLAYER_SWEEP_REDLIGHT_2": "Je fajn, že o smrti svýho manžela dokážeš žertovat."
"HASH_143B9B08": "Jsi v pohodě?"
"HASH_4B8DDF08": "Hehe, slyšíš to? Tenhle sráč si myslí, že je- A KURVA!"
"HASH_B9BB2108": "Japonsky: \"Proč bych se o to měl starat?\""
"HASH_B9E08B09": "Tak kde máš svý lidi?"
"HASH_1B467309": "Mě to zajímá. Maero to chce, a proto to seberu já."
"HASH_6156C909": "Jsi ok?"
"HASH_3EE08D09": "Hehe, slyšíš to? Tenhle sráč si myslí, že je- A KURVA!"
"HASH_5E56E709": "V pohodě, to zvládnu..."
"BMPLAYER_FIGHT_UNIV_4": "Kurva, taky jsem tam moh jít místo tebe."
"HASH_69704109": "Ne."
"HASH_478E1109": "Výborně. Odcházíme."
"HASH_A0218709": "Poslouchejte, lidi. Máme problémy s trezorem. Levare, zavolej našim klukům a postarej se, aby nás vyzvedli."
"HASH_9FF53F09": "Slíbils že další dodávka je na cestě..."
"HASH_5D20BB0A": "Cože?"
"BFPLAYER_SNATCH_DTOWN_2": "Jak se ti vede?"
"HASH_D2D5F50A": "Dobře, padáme odsud..."
"HASH_E4C3AD0A": "Čekáme na tebe."
"HASH_C935170A": "Přesně to myslím. Nemůžeme vést gang, když tak nějak ŽÁDNEJ ZASRANEJ GANG NEMÁME."
"HASH_2C9F3F0B": "Mám tip, že tlupa ultorských hlavounů má dneska schůzku v obchoďáku Rounds Square. Bude je doprovázet ochranka, ale neměl by být takový problém je odstranit. Tak těm sráčům připomeňme, s kým si zahrávají.\n11000"
"HASH_193A650B": "Jsi OK, Johnny?"
"HASH_81547B0B": "A doprdele..."
"HASH_99E7DB0B": "Jako co?"
"HASH_85DE490C": "Ty jsi generál?"
"BFPLAYER_FRAUD_MUSEUM_4": "Říkal jsi, že chceš léčit další pacienty, tak jsem si myslel, že chceš, abych pár lidem ublížil..."
"BFPLAYER_TORCH_APTS_1": "Jen aby bratři z Théty měli prachy."
"BFPLAYER_FUZZ_PROJ_1": "Co se děje, Lee?"
"HASH_732B6F0C": "Víte, do týhle chvíle jsme si s Maerem jen tak hráli - tuhle jsme zabili jeho kurvu, tamhle jsme mu čmajzli prachy... ale teď už mám toho hraní dost. Víme, kde bydlí, máme jeho bouchačky, a tak říkám, že teď tomu hajzlovi zakroutíme krkem, co vy na to?"
"WMPLAYER_DRUG_HOTELS_4": "Jo, to bylo zatracený překvapení..."
"HASH_161A510C": "No skvělý."
"BMPLAYER_FUZZ_PROJ_3": "Moc se mi nelíbí, že bych měl konkurovat tvým klientům."
"HASH_66FE8B0C": "No jo."
"HASH_6C7B090C": "Víme, že mají rádi náklaďáky a tetování."
"HASH_9F519F0C": "To si děláš prdel. \n1100"
"BMHAZ_MAYHEM_NUKE_2": "No... vlastně ani nevím."
"HASH_F0B31B0D": "Ty jsi generál?"
"HASH_6776110D": "Díky poldům se naběhám víc než dost."
