"DROP_SPHERE": "DÁT SPHERE"
"STAT_COMBAT_MELEE_RESPECT": "RESPEKT ZÍSKANÝ ZA ZABITÍ ZBLÍZKA"
"STAT_MAX_TWO_WHEELS_DISTANCE": "NEJDELŠÍ JÍZDA PO DVOU KOLECH"
"ESCORT_NAME_33A": "STŘEDNÍ"
"HASH_DF7D0B4B": "TAG SMRTI: ÚMRTÍ"
"ZOMBIE_PEDS_DESC": "Všichni chodci jsou zombie."
"MUSIC_DANCE": "TANEČNÍ"
"STORE_TEXT_CONFIRM_PURCHASE_FULL": "\"%s\" stojí %s. Koupit?"
"PURCHASEABLE_PROPERTEY_SERVICE2": "BENZÍNOVÁ PUMPA PASSING"
"STORE_TEXT_CONFIRM_PURCHASE_BLANK": "Chceš si tuto věc koupit?"
"HORDE_MODE_TEAM_SCORE": "SKÓRE"
"STAT_VEHICLE_BIKE": "MOTORKA"
"STATS_DISTANCE_FEET": "%0.2fft"
"STAT_DRIVING_BIGAIR_RESPECT": "RESPEKT ZÍSKANÝ ZA VELKÉ SKOKY"
"STAT_HOMIES_RECRUITED": "NAVERBOVANÍ PARŤÁCI"
"MAP_IMG_MECHANIC": "[format][scale:1.0][image:map_store_mechanic][/format]"
"DROP_TAXI": "DÁT TAXI"
"CUST_ICON_LOWER_BODY": "SPODNÍ ČÁST TĚLA"
"STORE_ZOOM": "PŘIBLÍŽIT"
"VEHICLE_TYPE_TITLE": "TYP VOZU"
"STAT_CAT_MOUSE_MOST_ROUND_DEATHS": "NA KOČKU A NA MYŠ: NEJVÍCE ÚMRTÍ V KOLE"
"STAT_CAT_MOUSE_WINS": "NA KOČKU A NA MYŠ: VÍTĚZSTVÍ"
"ESCORT_NAME_35A": "SEDÍCÍ"
"GARAGE_REMOVE_PROMPT": "Opravdu chceš toto vozidlo odstranit?"
"STAT_WEAPON_SPECIAL": "SPECIÁLNÍ"
"STAT_DRIVING_BURNOUT_RESPECT": "RESPEKT ZÍSKANÝ ZA SPÁLENÍ"
"ESCORT_NAME_29B": "PRINCEZNA"
"CUST_ICON_TATTOO_ARMS": "TETOVÁNÍ RUKY"
"CUST_ICON_TATTOO_TORSO": "TETOVÁNÍ TĚLA"
"CUST_ICON_HEAD": "HLAVA"
"STORE_NAME_GAS_STATION": "BENZÍNOVÁ PUMPA"
"PURCHASEABLE_PROPERTEY_HOSTEL": "HOSTEL ODYSSEYA"
"CUST_ITEM_DELETE_OUTFIT": "SMAZAT KOMPLET"
"HORDE_MODE_MENU_NEW_GAME": "NOVÁ HRA"
"STAT_DRIVING_STOPPIE": "JÍZDA PO PŘEDNÍM KOLE"
"ESCORT_NAME_37A": "REVERZNÍ"
"PAUSE_MAP_WAYPOINT_SET": "NASTAVIT GPS"
"MAP_IMG_WEAPON": "[format][scale:1.0][image:map_store_gun][/format]"
"GOD_MODE": "BOŽSKÝ REŽIM"
"MUSIC_ROCK": "ROCK"
"GANG_CUST_SLOT": "POZICE {0} - {1:TEXT_TAG_CRC}"
"STAT_WEAPON_SHOTGUN": "BROKOVNICE"
"STAT_TAUNTING_TOTAL_COPS_TAUNTED": "URÁŽKY POLICAJTŮ"
"STAT_ESCORT_CLIENTS_SERVICED": "ESKORT: OBSLOUŽENÍ KLIENTI"
"STAT_SURFING_TIME": "NEJDELŠÍ SURFOVÁNÍ"
"STAT_HITMAN_TARGETS": "ODSTRANĚNÉ CÍLE"
"ESCORT_NAME_38_B": "OPIČÍ VOCAS"
"HASH_D5C46250": "TAG SMRTI: ZABITÍ"
"HASH_9B93BC50": "BRONZOVÉ HVĚZDY ZA HRY"
"CONTROL_START": "START"
"WPNSTOR_REPLACE_WITH_BLANK_FOR_CASH_BLANK": "\"%s\" a \"%s\". Chceš je vyměnit za %s?"
"HORDE_MODE_NEW_CHALLENGE_WAVE_TITLE": "Obtížná vlna!"
"CUST_GANG_NAME_GANGSTER": "GANGSTEŘI"
"GIVE_FLASHBANG": "DÁT OMRAČUJÍCÍ GRANÁT"
"PURCHASEABLE_PROPERTEY_METH": "METAMFETAMINOVÁ LABORATOŘ"
"STAT_MISSION_STRONGHOLD_CASH_EARNED": "ZISK Z MISÍ/PEVNOSTÍ"
"STAT_HOSTAGES_TAKEN": "CELKOVÝ POČET RUKOJMÍCH"
"GANG_CIVILIAN": "CIVILISTÉ"
"GIVE_AR55": "DÁT AR 55"
"DROP_TORNADO": "DÁT TORNADO"
"STAT_COOP_MAX_POLICE_NOTORIETY_STREAK": "KOOPERATIVNÍ REŽIM: NEJDELŠÍ ČAS POZORNOSTI POLICIE"
"RADIO_STATION_K12": "K12"
"Max Notoriety Col2_NAME": "NEJLEPŠÍ HRÁČI KLIDU"
"STORE_EXIT_TELEVISiON": "Vypnout televizi?"
"HORDE_MODE_TITLE_HIGHSCORE": "NEJVYŠŠÍ SKÓRE"
"STAT_COMBAT_THROWN": "ODHOZENÍ"
"CELL_FRIENDLY_FIRE": "FRIENDLY FIRE"
"GIVE_ULTIMAX": "DÁT AS3 ULTIMAX"
"POC2_DROP_HELICOPTER": "ZBAVIT SE VRTULNÍKU"
"VCUST_COLOR_PALETTE_TITLE": "VÝBĚR BAREV"
"PURCHASEABLE_PROPERTEY_FLATS": " BYTY V PARKVIEW"
"GARAGE_CANNOT_REPAIR": "Vůz nemůžeš upravit, dokud nebude úplně opravený\nNa opravu vozu nemáš dost peněz."
"STAT_BASE_HIGH": "NEJDELŠÍ SKOK"
"BasicSP": "HRAJE: {C10}"
"VOLITION": "VOLITION"
"MAP_ICON_MAYHEM": "VANDALSTVÍ"
"CRIB_GARAGE_PURCHASED_TEXT": "Tato garáž je tvá. \nMůžeš si zde nechávat některá vozidla."
"PURCHASEABLE_PROPERTEY_MOTEL": "HOSTEL POSTEL"
"STORE_DISCARD_ITEM": "ODSTRANIT"
"BODY_TITLE": "TĚLO"
"CONTROL_CANCEL": "ZRUŠIT"
"ESCORT_NAME_18B": "SANCHEZ"
"DEMO_EXIT": "UKONČIT DEMO"
"DROP_KANEDA": "DÁT KANEDA"
"STORE_UPGRADES_TITLE": "VYLEPŠENÍ"
"MENU_SWAP_CLOTHING_STORE": "OBCHOD S ODĚVY"
"VCUST_TIRE_TREAD_NUMBER": "PROFIL PNEUMATIKY #{0}"
"TAT_REG_R_FOREARM": "PRAVÉ PŘEDLOKTÍ"
"STORE_PLANET_SAINTS_MSG": "!!!koupit předměty"
"HORDE_MODE_MENU_EXIT": "NÁVRAT DO HLAVNÍ NABÍDKY"
"STAT_HUMAN_TORCH_LEVELS_COMPLETED": "DOKONČENÉ MISE ŽIVÁ POCHODEŇ"
"STAT_HUMAN_TORCH_OBJECTS_TORCHED": "ŽIVÁ POCHODEŇ: ZAPÁLENÉ OBJEKTY"
"STAT_LEVELS_COMPLETED": "DOKONČENÉ ÚROVNĚ"
"Diversion Silver Stars_NAME": "STŘÍBRNÉ HVĚZDY"
"Escort": "ESKORTA"
"GIVE_APOCA": "DÁT APOKAPĚSTI"
"HIDE_HUD": "BEZ DISPLEJE"
"MASCOT_PEDS_DESC": "Všichni chodci jsou maskoti."
"CUST_ICON_UPPER_BODY": "HORNÍ ČÁST TĚLA"
"STORE_NO_ITEMS_IN_CATEGORY": "TATO KATEGORIE JE PRÁZDNÁ."
"UNLOCKABLE_TITLE_TEXT": "ODEMČENO"
"STAT_HITMAN_COMPLETED": "DOKONČENÉ VRAŽDY"
"ESCORT_NAME_9B": "DRAK"
"DrugTrafficking": "OBCHODOVÁNÍ S DROGAMI"
"InsFraud": "POJISTNÝ PODVOD"
"QUIT_GAME_TEXT_SHORT": "Skutečně chceš skončit?"
"STORE_CONFIRM_PURCHASE_BLANK_FULL": "\"%s\" stojí %s. Koupit?"
"STORE_OWNED": "VLASTNÍ"
"GARAGE_HANGAR": "HANGÁR"
"STAT_STORES_OWNED": "VLASTNĚNÉ OBCHODY"
"STAT_MAX_STUNT_JUMP_ROLL": "MAXIMÁLNÍ OTOČKA"
"HASH_E66AA7D9": "TAG SMRTI: VYDĚLANÉ PENÍZE"
"CONTROL_CHANGE_LB": "ZMĚNIT ŽEBŘÍČEK"
"CUST_GANG_NAME_PREPHOP": "UČEDNÍCI"
"SWITCH_TO_STORE": "PŘEPNOUT NA OBCHOD"
"BUILDING_PURCHASE_CONTROL_INCREASE": "{0}%%% ZVÝŠENÍ NADVLÁDY"
"BUILDING_PURCHASE_CRIB": "Koupit tento bejvák za {1} dolarů?"
"WPN_STORE_AMMO_TITLE": "MUNICE"
"TATTOO_REMOVE_SAVE": "Chceš odstranit tetování z této části těla: %s a uložit pozici?"
"CONTROL_SELECT_COLOR": "VÝBĚR BARVY"
"SURGEON_INSUFFICIENT_FUNDS": "Na návštěvu plastického chirurga nemáš dost peněz."
"STAT_VEHICLE_AIRCRAFT": "LETADLO"
"STAT_WEAPON_RPG": "RPG"
"STAT_COOP_DEATHS": "KOOPERATIVNÍ REŽIM: SMRT ZPŮSOBENÁ HRÁČEM"
"STAT_SNATCH_PIMPS_KILLED": "SOUBOJ PASÁKŮ: ZABITÍ PASÁCI"
"STAT_DRIVING_NEARMISS_CHAIN": "NEJDELŠÍ SÉRIE NÁJEZDŮ"
"ESCORT_NAME_14B": "JOHNSON"
"ESCORT_NAME_7B": "NÁHRDELNÍK"
"CONTROL_START_GAME": "SPUSTIT HRU"
"MAP_ICON_UNDEFINED": "NEDEFINOVÁNO"
"CUST_GANG_NAME_STRIPPER": "STRIPTÉRKY"
"GIANT_PLAYER_DESC": "Jedl jsi fazolky, pěkně jsi vyrostl."
"STORE_TEXT_CONFIRM_PURCHASE_AND_SAVE_FULL": "\"%s\" stojí %s. Koupit a uložit pozici?"
"HASH_336F665B": "TAG SMRTI: PROHRY"
"PIMPS_AND_HOS_PEDS_DESC": "Všichni chodci budou pasáci a štětky."
"MAINMENU_NEW_GAME_DIFF_HDR": "OBTÍŽNOST"
"MAINMENU_NEW_GAME_NO_PROFILE_EXPOSITION": "Momentálně nejsi přihlášený k hernímu profilu.\nNebudeš moci ukládat hru ani zaznamenávat výsledky.\nPřeješ si pokračovat?"
"GANG_CUST_TITLE": "ÚPRAVA GANGU"
"GARAGE_REPAIR_NAME": "AUTOOPRAVNA"
"TUT_CRIB_GARAGE": "STISKNUTÍM {ACTION_IMG} PŘIDÁŠ TENTO VŮZ DO SVÉ GARÁŽE."
"STAT_AIRCRAFT_DESTROYED": "ZNIČENÁ LETADLA"
"STAT_SMG_HIT_PCT": "PROCENTO ZÁSAHŮ SE SAMOPALEM"
"ESCORT_NAME_16B": "VÍR"
"ESCORT_NAME_5B": "SPRCHA"
"Time at Highest Police Notoriety_NAME": "DOBA S MAXIMÁLNÍ POZORNOSTÍ POLICIE"
"GARAGE_REPAIR_RETRIEVE": "OPRAVA A VRÁCENÍ VOZU: {0} DOLARŮ"
"HUD_SHOP_INSUFFICIENT_FUNDS": "NEMÁŠ DOST PENĚZ"
"VCUST_EXTRA_LOW_PROFILE": "EXTRA NÍZKÝ PROFIL"
"PURCHASEABLE_PROPERTEY_POWER": "POWER AND LIGHT"
"STAT_DRIVING_BAILOUT_RESPECT": "RESPEKT ZÍSKANÝ ZA KATAPULTY"
"HASH_CE3F7EDD": "PENÍZE VYNALOŽENÉ NA VYLEPŠENÍ BEJVÁKŮ"
"GIVE_SLM8": "DÁT LASEROVOU PUŠKU VIPER"
"LIGHT_RAIN": "POPRCHÁVÁNÍ"
"VCUST_LOW_PROFILE": "NÍZKÝ PROFIL"
"CUST_ITEM_STYLE": "STYL"
"STAT_DRIVING_WRONGWAY_RESPECT": "RESPEKT ZÍSKANÝ ZA JÍZDU V PROTISMĚRU"
"ESCORT_NAME_10B": "NADHOZ"
"ESCORT_NAME_3B": "ÚD-ER"
"CONFIRM_WEAR_OUTFIT": "Opravdu si chceš obléci tento komplet?"
"HASH_A885535E": "HYDRAULIKA"
"CONTROL_EXIT_PURCHASE_CLOTHING": "UKONČIT NÁKUP ODĚVU"
"DROP_SPECTER": "DÁT SPECTER"
"TINY_PLAYER": "DROBEČEK"
"SAVELOAD_AUTOSAVE_LABEL": "AUT. ULOŽENÍ"
"HASH_CC5A26DE": "Do naha?"
"HORDE_MODE_MENU_RETRY": "OPAKOVAT"
"HORDE_MODE_TITLE_SURVIVAL_TIME": "DOBA PŘEŽITÍ"
"HORDE_MODE_WEAPON_UPGRADE": "%ls JE TEĎ NA ÚROVNI %i ZE %i"
"STAT_STREAKING_PEOPLE": "VYLEKANÍ LIDÉ"
"STAT_CRIBS_ACQUIRED": "ZÍSKANÉ BEJVÁKY"
"WPN_STORE_SPECIAL_TITLE": "SPECIÁLNÍ "
"VEHICLE_CUSTOMIZATION_TITLE": "ÚPRAVA VOZU"
"TAT_REG_L_SHOULDER": "LEVÉ RAMENO"
"ESCORT_NAME_12B": "FRANKLIN"
"ESCORT_NAME_1B": "SANCHEZ"
"HASH_FB3AF7E0": "TAG SMRTI: NEJVÍCE ÚMRTÍ V KOLE"
"MAP_ICON_WEAPON": "OBCHOD SE ZBRANĚMI"
"GENERIC_LEAVE_BLANK_FULL": "Skutečně chceš opustit %s?"
"HUD_TRIGGER_CASH_STASH": "VZÍT ZE SKRÝŠE %ls"
"HUD_FOUND_CASH": "Obdržel jsi %ls ze skrýše!"
"VCUST_RIM_STYLE_OPTION": "STYL RÁFKŮ"
"HASH_7A3484E1": "STŘÍBRNÉ HVĚZDY ZA HRY"
"HASH_F85DA761": "ZLATÉ HVĚZDY ZA HRY"
"CONTROL_CHANGE_BOARD": "ZMĚNIT KANÁL"
"GANG_CUST_GANG_TITLE": "GANG"
"TAT_REG_L_LEG": "LEVÁ NOHA"
"CUST_BROWSER_BROWSE": "PROHLÍŽET"
"STORE_CRIB_WEAPONS_MSG": "OTEVŘÍT SKŘÍŇ SE ZBRANĚMI"
"STAT_DRIVING_TWOWHEELS_TIME": "NEJDELŠÍ JÍZDA PO DVOU KOLECH"
"STAT_MAX_WINDSHIELD_CANNON_DISTANCE": "MAXIMÁLNÍ VZDÁLENOST AUTODĚLA"
"ESCORT_NAME_16A": "LECHTAJÍCÍ"
"ESCORT_NAME_5A": "TŘPYTÍCÍ"
"DELETE_OUTFIT": "SMAZAT KOMPLET"
"GIVE_ROCKET": "DÁT NÁRAZOVÉ KLADIVO"
"GIVE_AIRSTRIKE": "DÁT NÁLET"
"OVL_SHOP_PURCHASED_TEXT": "Získal jsi podíl v tomto obchodu a obdržíš hodinový odvod [format][color:highlight]{0} dolarů[/format] a slevu na všechny věci."
"VCUST_NORMAL_PROFILE": "NORMÁLNÍ PROFIL"
"VCUST_HIGH_PROFILE": "VYSOKÝ PROFIL"
"STAT_TEAM_LUCHADORES": "LUCHADOŘI"
"STAT_ESCORT_LEVELS_COMPLETED": "DOKONČENÉ MISE ESKORTA"
"STAT_COMBAT_HEADSHOT_RESPECT": "RESPEKT ZÍSKANÝ ZA ZÁSAHY DO HLAVY"
"MAP_IMG_UNKNOWN_ACT": "[format][scale:1.0][image:map_other_hidden_act][/format]"
"DROP_TOAD": "DÁT TOAD"
"GIVE_CASH_DESC": "Okamžitě dostaneš hotovost."
"PED_WAR_DESC": "Zášť, zloba, utrpení, všichni se nenávidí."
"STAT_MAYHEM_BEST_COMBO": "VANDALSTVÍ: NEJLEPŠÍ KOMBO"
"ESCORT_NAME_14A": "PAŘÍCÍ"
"ESCORT_NAME_7A": "BLÝSKAJÍCÍ"
"DRUNK_PEDS": "OPILÍ CHODCI"
"STAT_COOP_GANG_NOTORIETY_TIME": "KOOPERATIVNÍ REŽIM: CELKOVÝ ČAS POZORNOSTI GANGŮ"
"HumanTorch": "ŽIVÁ POCHODEŇ"
"ELEVATOR_TO_HEAVEN_DESC": "Všichni mrtví jdou do nebe."
"GIVE_FLAMETHROWER": "DÁT PLAMENOMET"
"GIVE_CHAINSAW": "DÁT ŘETĚZOVOU PILU"
"SURGEON_MP_EXPORT_FULL": "Exportováním postavy do multiplayeru nahradíš\nvšechny dříve uložené multiplayerové postavy!"
"STORE_STRENGTH": "SILNÁ {0}%%%%"
"STAT_DECKERS_KILLED": "ZABITÍ DECKEŘI"
"ACHIEVEMENTS_LOG_IN_EXPOSITION": "Úspěchy si můžeš prohlédnout až po přihlášení. "
"ESCORT_NAME_12A": "MOKVAJÍCÍ"
"ESCORT_NAME_1A": "OBSCÉNNÍ"
"Total Civilian Kills_NAME": "ZABITÝCH CIVILISTŮ"
"CONTROL_SELECT_EQUIPPED": "OZNAČIT VÝSTROJ"
"DROP_QUASAR": "DÁT QUASAR"
"SAVELOAD_SELECTED_DEVICE_REMOVED_FULL": "Paměťové zařízení bylo odebráno.\nVyber nové paměťové zařízení, aby mohlo být dokončeno uložení nebo nahrání pozice."
"STORE_LEVEL": "ÚROVEŇ"
"GARAGE_DOCK": "DOK"
"STAT_BIG_AIR_LONGEST_JUMP": "NEJDELŠÍ SKOK"
"STAT_STAG_KILLED": "ZABITÍ AGENTI STAGU"
"Partners in Crime_DESC": "KOOPERATIVNĚ DOKONČENY VŠECHNY MISE RONINŮ"
"SinglePlayer": "HRA JEDNOHO HRÁČE"
"CONTROL_SELECT": "VYBRAT"
"MAP_ICON_INSURANCE_FRAUD": "POJISTNÝ PODVOD"
"GIVE_KRUKOV": "DÁT K-8 KRUKOV"
"SAVELOAD_SIGN_IN_NOW": "Chceš-li využít tuto funkci, musíš se přihlásit k hernímu profilu.\nChceš se připojit nyní?"
"STAT_TEAM_DECKERS": "DECKEŘI"
"STAT_MISSION_SUCCESS_RATE": "ÚSPĚŠNOST V MISÍCH"
"STAT_MAYHEM_DAMAGE_DONE": "VANDALSTVÍ: ZPŮSOBENÁ ŠKODA"
"STAT_DRIVING_WHEELIE_RESPECT": "RESPEKT ZÍSKANÝ ZA JÍZDU PO ZADNÍM KOLE"
"ESCORT_NAME_10A": "ZLOBÍCÍ"
"ESCORT_NAME_3A": "OSLÍ"
"HASH_646BCE68": "KOOPERATIVNÍ METAHRA: ZÍSKANÉ BONUSOVÉ PENÍZE"
"CELL_SUICIDE": "HOTLINKA PRO SEBEVRAHY"
"CUST_GANG_NAME_SPORTY": "SPORŤÁCI"
"ADD_COP_NOTORIETY": "ZVÝŠENÁ POZORNOST POLICIE"
"GARAGE_INSUFFICIENT_FUNDS": "NA OPRAVU TOHOTO VOZIDLA NEMÁŠ DOST PENĚZ."
"STAT_JUMPS_FOUND": "NALEZENÉ KASKADÉRSKÉ SKOKY"
"CUST_REMOVE_ITEM_TITLE": "ODSTRANIT VĚC"
"STAT_TIME_AT_MAX_LUCHADOR_NOTORIETY": "DOBA PŘI MAXIMÁLNÍ POZORNOSTI LUCHADORŮ"
"STAT_TIME_AT_MAX_GANG_NOTORIETY": "DOBA PŘI MAXIMÁLNÍ POZORNOSTI GANGSTERŮ"
"STAT_FRAUD_LEVELS_COMPLETED": "DOKONČENÉ MISE POJISTNÝ PODVOD"
"STAT_DRIVING_WRONGWAY_TIME": "NEJDELŠÍ JÍZDA V PROTISMĚRU"
"STAT_HOMIEZ_ACQUIRED": "ZÍSKANÍ PARŤÁCI"
"HASH_719A436A": "RESPEKT ZÍSKANÝ ZA HYDRAULIKU"
"HORDE_MODE_TITLE_SCORE": "SKÓRE"
"STAT_DRIVING_BACKSEAT_DISTANCE": "NEJDELŠÍ ŘÍZENÍ ZE ZADNÍ SEDAČKY"
"STAT_DRIVING_WHEEILE_TIME": "NEJDELŠÍ JÍZDA PO ZADNÍM KOLE"
"STAT_COMBAT_ONE_HIT": "ZABITÍ JEDNÍM ZÁSAHEM"
"TAXIMAP_FARE": "TAXA:"
"CELL_FORGIVE": "FORGIVE AND FORGET"
"HUD_RETRY_MISSION_MESSAGE_FULL": "Opakováním mise ztratíš všechny zbraně a respekt, které jsi během mise získal."
"PURCHASEABLE_PROPERTEY_ORGAN_BLACKMARKET": "OBCHOD S ORGÁNY"
"MAP_ICON_TSS_STRONGHOLD": "PEVNOST SVATÝCH ZE TŘETÍ ULICE"
"CELL_PIMP_VAN": "DODÁVKA PASÁKA"
"BE_ALL_YOU_WANT_TO_BE": "ZMĚNIT PC MODEL"
"MUSIC_FUNK": "FUNK"
"CUST_ICON_TATTOO_LEGS": "TETOVÁNÍ NOHY"
"MUSIC_REGGAE": "REGGAE"
"TAXI_LEAVE_FULL": "skutečně chceš vystoupit z taxíku?"
"WPNSTOR_LEAVE_FULL_FRIENDLY_FIRE": "Skutečně chceš odejít z obchodu Friendly Fire?"
"VCUST_REAR_AXLE_OPTION": "ZADNÍ NÁPRAVA"
"STORE_TITLE_WITHDRAW": "ZRUŠIT NÁKUP"
"HORDE_MODE_TITLE_FAIL": "VLNA {0} DOKONČENA"
"HORDE_MODE_KILL_COUNT": "POČET ZABITÍ"
"STAT_DRIVING_NEARMISS": "NÁJEZDY"
"STAT_DRIVING_BURNOUT": "SPÁLENÍ GUMY"
"Human Thrown Distance_NAME": "NEJDELŠÍ HOD"
"CONTROL_CHANGE_MODE": "ZMĚNIT REŽIM"
"CONTROL_VIEW_GAMER_CARD": "ZOBRAZIT KARTU HRÁČE"
"CONTROL_BACK": "ZPĚT"
"CELL_POLICE": "POLICIE"
"GIVE_SONIC": "DÁT SONICKOU PUŠKU"
"SUPER_SAINTS_DESC": "Svatí jsou pořádní lotři."
"CUST_ICON_WRISTS": "ZÁPĚSTÍ"
"MUSIC_METAL": "METAL"
"MENU_EXPORT_SIGN_IN_FULL": "Chceš-li exportovat svou postavu do multiplayeru\n, musíš se přihlásit na Xbox LIVE."
"STORE_LEVEL_REQ": "NUTNÁ ÚROVEŇ {0}"
"WPNSTOR_TEXT_MAX_WEAPONS_STORE": "Tuto zbraň už máš."
"ESCORT_NAME_9A": "KLOUZAJÍCÍ"
"CONTROL_CHANGE_VIEWED_PLAYER": "ZMĚNIT HRÁČE"
"MUSIC_HIPHOP": "HIP-HOP"
"DEALER_NO_SPACE": "%s UŽ SE DO GARÁŽE NEVEJDE"
"Total Gang Kills_NAME": "CELKOVÝ POČET ZABITÝCH ČLENŮ GANGU"
"HASH_937C34EF": "HODNOCENÍ STYLU"
"VCUST_HUBCAPS_TITLE": "POKLICE"
"PURCHASEABLE_PROPERTEY_STEEL": "TOVÁRNA OLDE STEEL"
"TAT_REG_FRONT": "PŘEDEK"
"STAT_TAUNTING_TOTAL_CIVILIANS_TAUNTED": "URÁŽKY CIVILISTŮ"
"STAT_MILES_BY_BIKE": "MÍLE NAJETÉ NA MOTORCE"
"STAT_ACTIVITY_CASH_EARNED": "PENÍZE ZA AKTIVITY"
"ESCORT_NAME_18A": "OBSCÉNNÍ"
"CONTROL_BEGIN_GAME": "ZAČÍT HRU"
"ADD_COP_NOTORIETY_DESC": "Při každém použití zvýší pozornost policie o jednu hvězdičku"
"PLAYER_CREATION_QUIT_TO_MAIN_MENU_FULL": "Skutečně se chceš vrátit do hlavního menu?"
"OUTFIT_NAME_ENTRY_DIALOG": "ZADEJ NÁZEV NOVÉHO KOMPLETU"
"WPN_CACHE_EXIT_PROMPT": "Zavřít skříň se zbraněmi\n\nPokračovat?"
"STORE_FREE": "VOLNÝ"
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_AMMO": "Chceš vzít munici pro zbraň \"%s\"?"
"STAT_DRIVING_BACKSEAT": "ŘÍZENÍ ZE ZADNÍ SEDAČKY"
"STAT_DRIVING_TWOWHEELS_RESPECT": "RESPEKT ZÍSKANÝ ZA JÍZDU PO DVOU KOLECH"
"STAT_MAX_STUNT_FALL_DIST": "NEJDELŠÍ PÁD"
"STAT_ARRESTS": "POČET ZATČENÍ"
"ESCORT_NAME_33B": "MOTÝLEK"
"RADIO_STATION_OFF": "VYP"
"CONTROL_EXIT_PURCHASE_TATTOOS": "UKONČIT NÁKUP TETOVÁNÍ"
"MAP_ICON_PIMPING": "SOUBOJ PASÁKŮ"
"STAT_DEATHS": "POČET ÚMRTÍ"
"Time at Highest Gang Notoriety_NAME": "DOBA S MAXIMÁLNÍ POZORNOSTÍ GANGŮ"
"MAP_ICON_ESCORT": "ESKORTA"
"RESTORE_WEATHER": "VRÁTIT POČASÍ NA NORMÁLNÍ"
"GANG_CUST_GANG_SIGN_TITLE": "ZNAK GANGU"
"IMPRESSIONS_NAME": "IMPRESSIONS"
"STORE_INVENTORY_EMPTY_TITLE": "INVENTÁŘ JE PRÁZDNÝ"
"GARAGE_DELETE_CONFIRM": "Chceš tento vůz prodat?"
"HORDE_MODE_SURVIVAL_TIMER_TAG": "PŘEŽITÍ"
"STAT_CAT_MOUSE_MOST_ROUND_KILLS": "NA KOČKU A NA MYŠ: NEJVÍCE ZABITÍ V KOLE"
"STAT_RPG_SHOTS_FIRED": "VYPÁLENÉ STŘELY Z RPG"
"STAT_STREAKING_CASH": "PENÍZE ZÍSKANÉ ZA OBNAŽOVÁNÍ"
"STAT_TAUNT_RESPECT": "RESPEKT ZÍSKANÝ ZA URÁŽKY"
"ESCORT_NAME_31B": "JĚŠTĚR"
"CONTROL_CHANGE_LB_FILTER": "ZMĚNIT FILTR"
"CONTROL_QUITGAME": "UKONČIT"
"TIME_SET_NOON_DESC": "Nastaví čas na poledne."
"DROP_CAR_DESC": "Přidá tento vůz do garáže."
"DROP_BOOTLEGGER": "DÁT BOOTLEGGER"
"QUIT_GAME_TEXT_FULL": "Skutečně chceš skončit?\n(Neuložený postup bude ztracen.)"
"GARAGE_REPAIR": "OPRAVA"
"STAT_COMBAT_ONE_HIT_RESPECT": "RESPEKT ZÍSKANÝ ZA ZABITÍ JEDNÍM ZÁSAHEM"
"STAT_CHOPSHOP_VEHICLES": "DOVEZENÉ VOZY"
"Matchmaking": "HLEDÁ ZÁPASY"
"DROP_TITAN": "DÁT TITAN"
"SUPER_EXPLOSIONS_DESC": "Výbuchy jsou 4x mohutnější."
"BE_ALL_YOU_WANT_TO_BE_DESC": "Vyber v seznamu, čemu nebo komu se tvá postava nejvíce podobá"
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK_FOR_CASH_BLANK": "\"%s\" a \"%s\". Chceš je vyměnit za předmět %s?"
"SWITCH_TO_WARDROBE": "PŘEPNOUT NA ŠATNU"
"HUD_CRIB_CHANGE_RADIO_STATION": "PŘELADIT NA JINOU STANICI"
"STAT_DRUG_TRAFFICKING_BUYERS_SATISFIED": "DROGOVÝ OBCHOD: SPOKOJENÍ KUPCI"
"STAT_COMBAT_MULTI_RESPECT": "RESPEKT ZÍSKANÝ ZA HROMADNÁ ZABITÍ"
"ESCORT_NAME_37B": "SPRCHA"
"Diversion Bronze Stars_NAME": "BRONZOVÉ HVĚZDY"
"HASH_A166F6F5": "RESPEKT ZÍSKANÝ ZA PASÁCTVÍ"
"GARAGE_REPAIR_VEHICLE": "OPRAVIT ZA {0} DOLARŮ"
"VCUST_RIM_NUMBER": "RÁFEK #{0}"
"GOTH_NAME": "NOBODY LOVES ME"
"HORDE_MODE_WAITING_FOR_HOST": "Čeká se na hostitele."
"ESCORT_NAME_38_A": "ROTAČNÍ"
"PURCHASEABLE_PROPERTEY_BODEGA": "PICKPOCKET PAWN SHOP"
"STAT_PISTOL_HIT_PCT": "PROCENTO ZÁSAHŮ S PISTOLÍ"
"STAT_SNATCH_HOS_CLAIMED": "SOUBOJ PASÁKŮ: UNESENÉ ŠLAPKY"
"ESCORT_NAME_35B": "CHRESTÝŠ"
"WEAR_OUTFIT_TITLE": "NASADIT KOMPLET"
"WARDROBE_REMOVE_OUTFIT_TITLE": "ODSTRANIT KOMPLET"
"INFINITE_SPRINT": "NEKONEČNÝ BĚH"
"NO_COP_NOTORIETY": "POLICEJNÍ KLID"
"STORE_EXIT_WARNING_HEADER": "POZOR"
"CRIB_SAINTSHQ": "SKRÝŠ SVATÝCH"
"PURCHASEABLE_PROPERTEY_WARF": "OCELÁRNA HENRY"
