"DROP_SPHERE": "ДАТЬ СФЕРУ"
"STAT_SPECIAL_AMMO_USED": "ВЫСТРЕЛОВ ИЗ ОСОБОГО ОРУЖИЯ"
"ESCORT_NAME_39_A": "КРУТОЕ"
"NO_GANG_NOTORIETY_DESC": "Снимает все преследование бандами"
"GIVE_STUNGUN": "ДАТЬ ШОКЕР"
"WPNSTOR_TEXT_CRIB_TAKE_A_BLANK": "Хотите взять \"%s?\""
"HORDE_MODE_TITLE_HIGHSCORE_NEW": "НОВЫЙ РЕКОРД"
"HORDE_MODE_TITLE_ZOMBIE_WAVE": "ВОЛНА ЗОМБИ"
"STAT_RPG_HIT_PCT": "ПРОЦЕНТ ПОПАДАНИЯ ИЗ РГ"
"STAT_MAX_STUNT_JUMP_FLIP": "МАКСИМАЛЬНЫЙ ФЛИППИНГ ПРИ ПРЫЖКЕ"
"ESCORT_NAME_27B": "КОКТЕЙЛЬ"
"CRIB_SR_NAME": "ГАЛЕРЕЯ КВАРТАЛА СВЯТЫХ"
"NEVER_DIE_DESC": "Вы не умрете"
"STORE_UPGRADES_REQUIRED": "ТРЕБУЕТСЯ"
"NO_ITEMS_DISPLAY_NAME": "НЕТ ПРЕДМЕТОВ"
"HORDE_MODE_TITLE_PLAYER_SCORES": "РАЕЗУЛЬТАТЫ ИГРОКОВ"
"STAT_DRIVING_BAILOUT_DISTANCE": "ДЛИННЕЙШИЙ АВАРИЙНЫЙ ПРЫЖОК"
"GANG_POLICE": "ПОЛИЦИЯ"
"DROP_VTOL": "ДАТЬ СВВП"
"DROP_EAGLE": "ДАТЬ \"ОРЕЛ\""
"DROP_POCKETBIKE": "МЕЛКАЯ СОШКА"
"EVIL_CARS_DESC": "Все машины будут стараться вас задавить"
"STORE_PRIMARY_COLOR": "ОСНОВНОЙ ЦВЕТ"
"STORE_ITEM_OWNED": "СОБСТВЕННОСТЬ"
"STAT_SHOTGUN_SHOTS_FIRED": "ВЫСТРЕЛОВ ИЗ ДРОБОВИКА"
"STAT_MAYHEM_LEVELS_COMPLETED": "РАЗГРОМ: ВЫПОЛНЕНО"
"STAT_DRIVING_DRIFTING_RESPECT": "АВТОРИТЕТ ЗА ДРИФТИНГ"
"STAT_VEHICLES_DESTROYED": "УНИЧТОЖЕНО МАШИН"
"ESCORT_NAME_21B": "ПОПОЛЗЕНЬ"
"CONFIRM_DELETE_OUTFIT": "Вы правда хотите удалить этот костюм?\nВаша одежда будет храниться в гардеробе. "
"MAP_IMG_TATTOO": "[format][scale:1.0][image:map_store_tattoo][/format]"
"GIVE_SATCHEL": "ДАТЬ РАНЦЕВЫЙ ЗАРЯД"
"WPNSTOR_REPLACE_BLANK_WITH_BLANK": "Хотите поменять \"%s\" на \"%s?\""
"CRIB_HUD_DOCK_PURCHASE": "КУПИТЬ ПРИСТАНЬ РОНДИНИ: ${0}"
"GANG_CUST_GANG_TAG_TITLE": "ОТЛИЧИТЕЛЬНЫЙ ПРИЗНАК БАНДЫ"
"STORE_AMBULANCE_MSG": "ПОЛУЧИТЬ ЛЕЧЕНИЕ"
"STAT_CAT_MOUSE_LONGEST_DEATH_STREAK": "КОШКИ-МЫШКИ: МАКСИМАЛЬНАЯ СЕРИЯ СМЕРТЕЙ"
"STAT_GANG_NOTORIETY_TIME": "МАКСИМАЛЬНОЕ ВРЕМЯ ПОД ПРЕСЛЕДОВАНИЕМ БАНДИТАМИ"
"WARDROBE_REMOVE_OUTFIT": "Вы хотите убрать этот костюм из гардероба?"
"NO_COP_NOTORIETY_DESC": "Снимает все преследование полицией"
"ELEVATOR_TO_HEAVEN": "НЕБЕСНАЯ СВЯЗЬ"
"HITMAN_LOCATION": "МЕСТОНАХОЖДЕНИЕ ЦЕЛИ"
"DEALER_NO_PALETTE": "Нет доступной палитры"
"STAT_MORNINGSTAR_SPECIALISTS_KILLED": "УБИТО СПЕЦИАЛИСТОВ МОРГЕНШТЕРНОВ"
"ESCORT_NAME_23B": "МОЛОТОК"
"Coop Player Kills_NAME": "УБИЙСТВ"
"CONTROL_JOIN_GAME": "ВОЙТИ В ИГРУ"
"MAP_ICON_HUMAN_TORCH": "ПУТЬ ОГНЯ"
"DROP_ESTRADA": "ДАТЬ \"ЭСТРАДА\""
"UNLIMITED_CLIP": "БЕСКОНЕЧНЫЕ ПАТРОНЫ"
"MUSIC_EASYLISTENING": "РАССЛАБЛЯЮЩАЯ"
"WEAPONSTORE_TEXT_CONFIRM_PURCHASE_AMMO_FULL": "Хотите купить \"%s\" за %s?"
"MENU_SWAP_WARDROBE": "ГАРДЕРОБ"
"VCUST_WHEELS_TITLE": "КОЛЕСА"
"PURCHASEABLE_PROPERTEY_CRACK": "НАРКОПРИТОН"
"CONTROL_QUIT_WITHOUT_SAVING": "ВЫЙТИ БЕЗ СОХРАНЕНИЯ"
"GARAGE_NONE": "В ГАРАЖЕ НЕТ ТРАНСПОРТА"
"HORDE_MODE_GAMEPLAY_TITLE": "РЕЖИМ БАЛДЫ"
"STAT_CARS_DESTROYED": "МАШИН УНИЧТОЖЕНО"
"STAT_CHOPSHOP_CASH": "ЗАРАБОТАНО ДЕНЕГ В МАСТЕРСКИХ"
"STAT_TOTAL_RESPECT": "ЗАРАБОТАНО АВТОРИТЕТА"
"STAT_BEAT_COPS_KILLED": "УБИТО КОПОВ"
"ESCORT_NAME_31A": "ПОЛЗУЧАЯ"
"MAP_ICON_GUARDIAN_ANGEL": "АНГЕЛ ХРАНИТЕЛЬ"
"REPAIR_CAR": "ПОЧИНИТЬ МАШИНУ"
"SAVELOAD_FILE_NOT_LOADABLE": "Не удалось загрузить файл. Он либо поврежден, либо относится к другой игре."
"STORE_DETAIL_COLOR": "ЦВЕТ ДЕТАЛЕЙ"
"GANG_CUST_GANG_STYLE_TITLE": "СТИЛЬ БАНДЫ"
"PURCHASEABLE_PROPERTEY_COLA": "ЗАВОД КОЛЫ ДЖО"
"TATTOO_REMOVE": "Хотите убрать татуировку с %s?"
"HORDE_MODE_NEW_WAVE_MESSAGE_TITLE": "Новая волна!"
"STAT_MASCOTS_KILLED": "УБИТО ТАЛИСМАНОВ"
"STAT_DRIVING_STOPPIE_TIME": "САМОЕ ДОЛГОЕ ВРЕМЯ НА ПЕРЕДНИХ КОЛЕСАХ"
"STAT_LONGEST_VEHICLE_SURF_HANDSTAND_TIME": "САМОЕ ДОЛГОЕ ВРЕМЯ СТОЙКИ НА РУКАХ НА ДВИЖУЩЕЙСЯ МАШИНЕ"
"STAT_LONGEST_VEHICLE_SURFING_TIME": "МАКСИМАЛЬНОЕ ВРЕМЯ СЕРФИН"
"STAT_BAIL_MONEY": "ЗАПЛАЧЕНО ЗАЛОГОВ"
"CONTROL_CONTINUE": "ПРОДОЛЖИТЬ"
"GIVE_HAMMER": "ДАТЬ S3X \"МОЛОТ\""
"DROP_GYRO": "ТОРГОВЕЦ ШАУРМОЙ"
"STORE_SECONDARY_COLOR": "ДОПОЛНИТЕЛЬНЫЙ ЦВЕТ"
"GARAGE_TEXT_INSUFFICIENT_FUNDS": "У вас не хватает денег на ремонт этого транспорта.\nВсе равно забрать?"
"CRIB_CUSTOMIZE_PURCHASE_PROMPT": "Хотите купить {0} за ${1}?"
"VCUST_WHEEL_WIDTH_OPTION": "ШИРИНА КОЛЕС"
"TAT_REG_BACK": "ЗАД"
"STAT_WEAPON_SNIPER": "СНАЙПЕР"
"STAT_COMBAT_MELEE_RESPECT": "АВТОРИТЕТА ЗАРАБОТАНО ЗА УБИЙСТВА В РУКОПАШНОЙ"
"STAT_MAX_TWO_WHEELS_DISTANCE": "МАКСИМАЛЬНАЯ ДИСТАНЦИЯ НА ДВУХ КОЛЕСАХ"
"ESCORT_NAME_33A": "РИМСКАЯ"
"HASH_DF7D0B4B": "СМЕРТЕЛЬНЫЙ ЗНАК: СМЕРТЕЙ"
"ZOMBIE_PEDS_DESC": "Все пешеходы - зомби."
"MUSIC_DANCE": "ТАНЦЕВАЛЬНАЯ"
"STORE_TEXT_CONFIRM_PURCHASE_FULL": "Хотите купить \"%s\" за %s?"
"PURCHASEABLE_PROPERTEY_SERVICE2": "МАСТЕРСКАЯ \"ВЫПУСТИ ГАЗЫ\""
"STORE_TEXT_CONFIRM_PURCHASE_BLANK": "Вы хотите купить этот предмет?"
"HORDE_MODE_TEAM_SCORE": "СЧЕТ"
"STAT_VEHICLE_BIKE": "МОТОЦИКЛ"
"STATS_DISTANCE_FEET": "%0.2fф."
"STAT_DRIVING_BIGAIR_RESPECT": "АВТОРИТЕТА ЗАРАБОТАНО ЗА БОЛЬШИЕ ПРЫЖКИ"
"STAT_HOMIES_RECRUITED": "НАНЯТО БРАТКОВ"
"MAP_IMG_MECHANIC": "[format][scale:1.0][image:map_store_mechanic][/format]"
"DROP_TAXI": "ДАТЬ TAXI"
"CUST_ICON_LOWER_BODY": "НИЖНЯЯ ЧАСТЬ ТЕЛА"
"STORE_ZOOM": "МАСШТАБ"
"VEHICLE_TYPE_TITLE": "ТИП ТРАНСПОРТА"
"STAT_CAT_MOUSE_MOST_ROUND_DEATHS": "КОШКИ-МЫШКИ: БОЛЬШЕ ВСЕГО СМЕРТЕЙ ЗА РАУНД"
"STAT_CAT_MOUSE_WINS": "КОШКИ-МЫШКИ: ПОБЕД"
"ESCORT_NAME_35A": "СИДЯЩАЯ"
"GARAGE_REMOVE_PROMPT": "Вы уверены, что хотите удалить эту машину?"
"STAT_WEAPON_SPECIAL": "ОСОБОЕ"
"STAT_DRIVING_BURNOUT_RESPECT": "АВТОРИТЕТ ЗА ПРОБУКСОВКУ"
"ESCORT_NAME_29B": "ПРИНЦЕССА"
"CUST_ICON_TATTOO_ARMS": "ТАТУИРОВКИ НА РУКАХ"
"CUST_ICON_TATTOO_TORSO": "ТАТУИРОВКИ НА ТОРСЕ"
"CUST_ICON_HEAD": "ГОЛОВА"
"STORE_NAME_GAS_STATION": "БЕНЗОКОЛОНКА"
"PURCHASEABLE_PROPERTEY_HOSTEL": "ХОСТЕЛЬ \"ОДИССЕЯ\""
"CUST_ITEM_DELETE_OUTFIT": "УДАЛИТЬ КОСТЮМ"
"HORDE_MODE_MENU_NEW_GAME": "НОВАЯ ИГРА"
"STAT_DRIVING_STOPPIE": "ПЕРЕДНИЕ КОЛЕСА"
"ESCORT_NAME_37A": "ОПРОКИНУТЫЙ"
"PAUSE_MAP_WAYPOINT_SET": "ПОСТАВИТЬ ТОЧКУ МАРШРУТА"
"MAP_IMG_WEAPON": "[format][scale:1.0][image:map_store_gun][/format]"
"GOD_MODE": "РЕЖИМ БОГА"
"MUSIC_ROCK": "РОК"
"GANG_CUST_SLOT": "ЯЧЕЙКА {0} - {1:TEXT_TAG_CRC}"
"STAT_WEAPON_SHOTGUN": "ДРОБОВИК"
"STAT_TAUNTING_TOTAL_COPS_TAUNTED": "НАСМЕШЕК НАД КОПАМИ"
"STAT_ESCORT_CLIENTS_SERVICED": "ЭСКОРТ: КЛИЕНТОВ ОБСЛУЖЕНО"
"STAT_SURFING_TIME": "САМОЕ ДОЛГОЕ ВРЕМЯ СЕРФИНГА"
"STAT_HITMAN_TARGETS": "ЦЕЛЕЙ ОТРАБОТАНО"
"ESCORT_NAME_38_B": "КЛЮЧ"
"HASH_D5C46250": "СМЕРТЕЛЬНЫЙ ЗНАК: УБИЙСТВ"
"HASH_9B93BC50": "БРОНЗОВЫЕ ЗВЕЗДЫ ЗА ХУЛИГАНСТВО"
"CONTROL_START": "НАЧАТЬ"
"WPNSTOR_REPLACE_WITH_BLANK_FOR_CASH_BLANK": "Хотите поменять \"%s\" на \"%s\" за %s?"
"HORDE_MODE_NEW_CHALLENGE_WAVE_TITLE": "Серьезная волна!"
"CUST_GANG_NAME_GANGSTER": "ГАНГСТЕР"
"GIVE_FLASHBANG": "ДАТЬ ВЗРЫВПАКЕТ"
"PURCHASEABLE_PROPERTEY_METH": "МЕТАМФЕТАМИНОВАЯ ЛАБА"
"STAT_MISSION_STRONGHOLD_CASH_EARNED": "ДЕНЕГ ЗАРАБОТАНО ЗА МИССИИ/КРЕПОСТИ"
"STAT_HOSTAGES_TAKEN": "ЗАЛОЖНИКОВ ЗАХВАЧЕНО"
"GANG_CIVILIAN": "ГРАЖДАНЕ"
"GIVE_AR55": "ДАТЬ AR 55"
"DROP_TORNADO": "ДАТЬ TORNADO"
"STAT_COOP_MAX_POLICE_NOTORIETY_STREAK": "СОВМЕСТНАЯ ИГРА: МАКСИМАЛЬНОЕ ВРЕМЯ НАГИШОМ ПОД МАКСИМАЛЬНЫМ ПРЕСЛЕДОВАНИЕМ КОПОВ"
"RADIO_STATION_K12": "K12"
"Max Notoriety Col2_NAME": "СПИСКИ ЛИДЕРОВ ПРЕСЛЕДОВАНИЯ"
"STORE_EXIT_TELEVISiON": "Покинуть телевидение? "
"HORDE_MODE_TITLE_HIGHSCORE": "ЛУЧШИЙ РЕЗУЛЬТАТ"
"STAT_COMBAT_THROWN": "БРОСКОВ"
"CELL_FRIENDLY_FIRE": "FRIENDLY FIRE"
"GIVE_ULTIMAX": "ДАТЬ AS3 \"УЛЬТИМАКС\""
"POC2_DROP_HELICOPTER": "БРОСИТЬ ВЕРТОЛЕТ"
"VCUST_COLOR_PALETTE_TITLE": "ТИП ПОКРАСКИ"
"PURCHASEABLE_PROPERTEY_FLATS": "ПУСТЫРЬ С ВИДОМ НА ПАРК"
"GARAGE_CANNOT_REPAIR": "Вы не можете изменить машину, пока она полностью не отремонтирована\nУ вас не хватает денег, чтобы починить машину."
"STAT_BASE_HIGH": "САМЫЙ ВЫСОКИЙ ПРЫЖОК"
"BasicSP": "ИГРАЕТ В {C10}"
"VOLITION": "VOLITION"
"MAP_ICON_MAYHEM": "РАЗГРОМ"
"CRIB_GARAGE_PURCHASED_TEXT": "Этот гараж теперь твой. \nТы можешь хранить и пользоваться любым транспортным средством отсюда."
"PURCHASEABLE_PROPERTEY_MOTEL": "ЩЕДРАЯ СКВАЖИНА"
"STORE_DISCARD_ITEM": "ОТКАЗАТЬСЯ ОТ ПРЕДМЕТА"
"BODY_TITLE": "ТЕЛО"
"CONTROL_CANCEL": "ОТМЕНА"
"ESCORT_NAME_18B": "САНЧЕЗ"
"DEMO_EXIT": "ВЫЙТИ ИЗ ДЕМКИ"
"DROP_KANEDA": "ДАТЬ KANEDA"
"STORE_UPGRADES_TITLE": "УЛУЧШЕНИЯ"
"MENU_SWAP_CLOTHING_STORE": "МАГАЗИН ОДЕЖДЫ"
"VCUST_TIRE_TREAD_NUMBER": "ПРОТЕКТОР #{0}"
"TAT_REG_R_FOREARM": "ПРАВОЕ ПРЕДПЛЕЧЬЕ"
"STORE_PLANET_SAINTS_MSG": "!!приобрести предметы"
"HORDE_MODE_MENU_EXIT": "ВЫЙТИ В ГЛАВНОЕ МЕНЮ"
"STAT_HUMAN_TORCH_LEVELS_COMPLETED": "ПУТЬ ОГНЯ: ВЫПОЛНЕНО"
"STAT_HUMAN_TORCH_OBJECTS_TORCHED": "ПУТЬ ОГНЯ: ПРЕДМЕТОВ СОЖЖЕНО"
"STAT_LEVELS_COMPLETED": "УРОВНЕЙ ПРОЙДЕНО"
"Diversion Silver Stars_NAME": "СЕРЕБРЯНЫЕ ЗВЕЗДЫ ХУЛИГАНСТВА"
"Escort": "ЭСКОРТ"
"GIVE_APOCA": "ДАТЬ КУЛАКИ АПОКАЛИПСИСА"
"HIDE_HUD": "БЕЗ ДИСПЛЕЯ"
"MASCOT_PEDS_DESC": "Все пешеходы - талисманы."
"CUST_ICON_UPPER_BODY": "ВЕРХНЯЯ ЧАСТЬ ТЕЛА"
"STORE_NO_ITEMS_IN_CATEGORY": "НЕТ ДОСТУПНЫХ ПРЕДМЕТОВ В ЭТОЙ КАТЕГОРИИ"
"UNLOCKABLE_TITLE_TEXT": "ОТКРЫТО"
"STAT_HITMAN_COMPLETED": "УДАРЫ ВЫПОЛНЕНЫ"
"ESCORT_NAME_9B": "ДРАКОН"
"DrugTrafficking": "НАРКОТРАФИК"
"InsFraud": "СТРАХОВОЕ МОШЕННИЧЕСТВО"
"QUIT_GAME_TEXT_SHORT": "Вы уверены, что хотите выйти?"
"STORE_CONFIRM_PURCHASE_BLANK_FULL": "Хотите купить \"%s\" за %s?"
"STORE_OWNED": "КУПЛЕНО"
"GARAGE_HANGAR": "АНГАР"
"STAT_STORES_OWNED": "СВОИХ МАГАЗИНОВ"
"STAT_MAX_STUNT_JUMP_ROLL": "МАКСИМАЛЬНЫЙ ПОВОРОТ ПРИ ПРЫЖКЕ"
"HASH_E66AA7D9": "СМЕРТЕЛЬНЫЙ ЗНАК: ДЕНЕГ ЗАРАБОТАНО"
"CONTROL_CHANGE_LB": "СМЕНИТЬ СПИСКИ ЛИДЕРОВ"
"CUST_GANG_NAME_PREPHOP": "ПРИПХОП"
"SWITCH_TO_STORE": "ПЕРЕКЛЮЧИТЬСЯ НА МАГАЗИН"
"BUILDING_PURCHASE_CONTROL_INCREASE": "{0}%%% УВЕЛИЧЕНИЕ КОНТРОЛЯ"
"BUILDING_PURCHASE_CRIB": "Купить жилье за ${1}"
"WPN_STORE_AMMO_TITLE": "АММУНИЦИЯ"
"TATTOO_REMOVE_SAVE": "Хотите убрать татуировку с %s и сохраниться?"
"CONTROL_SELECT_COLOR": "ВЫБРАТЬ ЦВЕТ"
"SURGEON_INSUFFICIENT_FUNDS": "У вас не хватает денег на пластическую хирургию"
"STAT_VEHICLE_AIRCRAFT": "САМОЛЕТ"
"STAT_WEAPON_RPG": "РПГ"
"STAT_COOP_DEATHS": "СОВМЕСТНАЯ ИГРА: СМЕРТЕЙ ОТ ИГРОКОВ"
"STAT_SNATCH_PIMPS_KILLED": "ПИЛОТАЖ. УБИТО СУТЕНЕРОВ"
"STAT_DRIVING_NEARMISS_CHAIN": "САМАЯ ДЛИННАЯ ЦЕПОЧКА МИЛЛИМЕТРАЖЕЙ"
"ESCORT_NAME_14B": "МСТИТЕЛЬ"
"ESCORT_NAME_7B": "БУСЫ"
"CONTROL_START_GAME": "НАЧАТЬ ИГРУ"
"MAP_ICON_UNDEFINED": "НЕОПРЕДЕЛЕНО"
"CUST_GANG_NAME_STRIPPER": "СТРИПТИЗЕРШИ"
"GIANT_PLAYER_DESC": "Вы съели зеленые побеги гороха, теперь вы будете расти. "
"STORE_TEXT_CONFIRM_PURCHASE_AND_SAVE_FULL": "Хотите купить и сохранить \"%s\" за %s?"
"HASH_336F665B": "СМЕРТЕЛЬНЫЙ ЗНАК: ПОРАЖЕНИЙ"
"PIMPS_AND_HOS_PEDS_DESC": "Все пешеходы - сутенеры и шлюхи."
"MAINMENU_NEW_GAME_DIFF_HDR": "СЛОЖНОСТЬ"
"MAINMENU_NEW_GAME_NO_PROFILE_EXPOSITION": "Не определен профиль пользователя.\nНевозможно сохранить результат игры или пройти ее. \nПродолжить?"
"GANG_CUST_TITLE": "ИЗМЕНЕНИЕ БАНДЫ"
"GARAGE_REPAIR_NAME": "ГАРАЖ МЕХАНИКА"
"TUT_CRIB_GARAGE": "НАЖМИТЕ {ACTION_IMG}, ЧТОБЫ ПОСТАВИТЬ МАШИНУ В ГАРАЖ"
"STAT_AIRCRAFT_DESTROYED": "ВОЗДУШНОГО ТРАНСПОРТА УНИЧТОЖЕНО"
"STAT_SMG_HIT_PCT": "ПРОЦЕНТ ПОПАДАНИЙ ИЗ АВТОМАТА"
"ESCORT_NAME_16B": "ДРОВОСЕК"
"ESCORT_NAME_5B": "ДУШ"
"Time at Highest Police Notoriety_NAME": "МАКСИМАЛЬНОЕ ВРЕМЯ ПРЕСЛЕДОВАНИЯ ПОЛИЦИЕЙ"
"GARAGE_REPAIR_RETRIEVE": "ОТРЕМОНТИРОВАТЬ И ВЕРНУТЬ МАШИНУ: ${0}"
"HUD_SHOP_INSUFFICIENT_FUNDS": "У ВАС НЕДОСТАТОЧНО ДЕНЕГ"
"VCUST_EXTRA_LOW_PROFILE": "ЭКСТРА НИЗКИЙ ПРОФИЛЬ"
"PURCHASEABLE_PROPERTEY_POWER": "ЭЛЕКТРИЧЕСТВО И СВЕТ"
"STAT_DRIVING_BAILOUT_RESPECT": "АВТОРИТЕТ ЗА АВАРИЙНЫЙ ПРЫЖОК"
"HASH_CE3F7EDD": "ДЕНЕГ ПОТРАЧЕНО НА ОБУСТРОЙСТВО ЖИЛЬЯ"
"GIVE_SLM8": "ДАТЬ ЛАЗЕРНУЮ ВИНТОВКУ VIPER"
"LIGHT_RAIN": "ЛЕГКИЙ ДОЖДЬ"
"VCUST_LOW_PROFILE": "НИЗКИЙ ПРОФИЛЬ"
"CUST_ITEM_STYLE": "СТИЛЬ"
"STAT_DRIVING_WRONGWAY_RESPECT": "АВТОРИТЕТ ЗА ВСТРЕЧНУЮ ПОЛОСУ"
"ESCORT_NAME_10B": "БОЛТ"
"ESCORT_NAME_3B": "ПИНОК"
"CONFIRM_WEAR_OUTFIT": "Вы правда хотите надеть этот костюм?"
"HASH_A885535E": "ГИДРАВЛИКА"
"CONTROL_EXIT_PURCHASE_CLOTHING": "ПОКИНУТЬ МАГАЗИН ОДЕЖДЫ"
"DROP_SPECTER": "ДАТЬ \"ПРИЗРАК\""
"TINY_PLAYER": "ПРИЯТНАЯ МАЛЫШКА"
"SAVELOAD_AUTOSAVE_LABEL": "АВТОСОХРАНЕНИЕ"
"HASH_CC5A26DE": "Раздеться?"
"HORDE_MODE_MENU_RETRY": "ЗАНОВО"
"HORDE_MODE_TITLE_SURVIVAL_TIME": "ВРЕМЯ В ИГРЕ"
"HORDE_MODE_WEAPON_UPGRADE": "ВАШЕ ОРУЖИЕ %ls ПОЛУЧАЕТ УРОВЕНЬ %i ИЗ %i"
"STAT_STREAKING_PEOPLE": "УДИВЛЕНО ЛЮДЕЙ ГОЛЫШОМ"
"STAT_CRIBS_ACQUIRED": "КУПЛЕНО ЖИЛЬЯ"
"WPN_STORE_SPECIAL_TITLE": "ОСОБОЕ"
"VEHICLE_CUSTOMIZATION_TITLE": "ИЗМЕНЕНИЕ ТРАНСПОРТА"
"TAT_REG_L_SHOULDER": "ЛЕВОЕ ПЛЕЧО"
"ESCORT_NAME_12B": "ЩЕКОТУН"
"ESCORT_NAME_1B": "САНЧЕЗ"
"HASH_FB3AF7E0": "СМЕРТЕЛЬНЫЙ ЗНАК: БОЛЬШЕ ВСЕГО СМЕРТЕЙ ЗА РАУНД"
"MAP_ICON_WEAPON": "ОРУЖИЕ"
"GENERIC_LEAVE_BLANK_FULL": "Вы уверены, что хотите покинуть %s?"
"HUD_TRIGGER_CASH_STASH": "ВЗЯТЬ %ls ИЗ ТАЙНИКА"
"HUD_FOUND_CASH": "Вы получили %ls!"
"VCUST_RIM_STYLE_OPTION": "СТИЛЬ ОБОДОВ"
"HASH_7A3484E1": "СЕРЕБРЯНЫЕ ЗВЕЗДЫ ЗА ХУЛИГАНСТВО"
"HASH_F85DA761": "ЗОЛОТЫЕ ЗВЕЗДЫ ЗА ХУЛИГАНСТВО"
"CONTROL_CHANGE_BOARD": "СМЕНИТЬ ТАБЛО"
"GANG_CUST_GANG_TITLE": "БАНДА"
"TAT_REG_L_LEG": "ЛЕВАЯ НОГА"
"CUST_BROWSER_BROWSE": "ПРОИГРАТЬ"
"STORE_CRIB_WEAPONS_MSG": "ВОЙТИ В ОРУЖЕЙНЫЙ ТАЙНИК"
"STAT_DRIVING_TWOWHEELS_TIME": "САМОЕ ДОЛГОЕ ВРЕМЯ НА ДВУХ КОЛЕСАХ"
"STAT_MAX_WINDSHIELD_CANNON_DISTANCE": "МАКСИМАЛЬНАЯ ДИСТАНЦИЯ ПУШКИ НА ЛОБОВОМ СТЕКЛЕ"
"ESCORT_NAME_16A": "МЯСНОЙ"
"ESCORT_NAME_5A": "ЗОЛОТОЙ"
"DELETE_OUTFIT": "УДАЛИТЬ КОСТЮМ"
"GIVE_ROCKET": "ДАТЬ УДАРНЫЙ МОЛОТ"
"GIVE_AIRSTRIKE": "ДАТЬ АВИАУДАР SA-3"
"OVL_SHOP_PURCHASED_TEXT": "Вы совершили необходимые действия в этом магазине и будете получать выплаты [format][color:highlight]${0} в час[/format] и скидки на весь товар."
"VCUST_NORMAL_PROFILE": "НОРМ. ПРОФИЛЬ"
"VCUST_HIGH_PROFILE": "ВЫСОКИЙ ПРОФИЛЬ"
"STAT_TEAM_LUCHADORES": "ЛУЧАДОРЫ"
"STAT_ESCORT_LEVELS_COMPLETED": "ЭСКОРТ: ТРЕБОВАНИЙ ВЫПОЛНЕНО"
"STAT_COMBAT_HEADSHOT_RESPECT": "АВТОРИТЕТ ЗА ВЫСТРЕЛЫ В ГОЛОВУ"
"MAP_IMG_UNKNOWN_ACT": "[format][scale:1.0][image:map_other_hidden_act][/format]"
"DROP_TOAD": "ДАТЬ TOAD"
"GIVE_CASH_DESC": "Вы сразу получаете деньги"
"PED_WAR_DESC": "Голод, гнев, страдание, все ненавидят друг друга"
"STAT_MAYHEM_BEST_COMBO": "РАЗГРОМ: ЛУЧШЕЕ КОМБО"
"ESCORT_NAME_14A": "АЛЫЙ"
"ESCORT_NAME_7A": "ЖЕМЧУЖНЫЕ"
"DRUNK_PEDS": "ПЬЯНЫЕ ПЕШЕХОДЫ"
"STAT_COOP_GANG_NOTORIETY_TIME": "СОВМЕСТНАЯ ИГРА: ВРЕМЕНИ ПОД МАКСИМАЛЬНЫМ ПРЕСЛЕДОВАНИЕМ БАНДИТОВ"
"HumanTorch": "ПУТЬ ОГНЯ"
"ELEVATOR_TO_HEAVEN_DESC": "Все мертвецы попадают в рай"
"GIVE_FLAMETHROWER": "ДАТЬ ОГНЕМЕТ"
"GIVE_CHAINSAW": "ДАТЬ БЕНЗОПИЛУ"
"SURGEON_MP_EXPORT_FULL": "Экспорт данных отменит все\nпредыдущие сохраненные данные персонажа!"
"STORE_STRENGTH": "СИЛА {0}%%%%"
"STAT_DECKERS_KILLED": "УБИТО ДЕКЕРОВ"
"ACHIEVEMENTS_LOG_IN_EXPOSITION": "Чтобы посмотреть достижения, зайдите под своим профилем "
"ESCORT_NAME_12A": "ВЛАЖНЫЙ"
"ESCORT_NAME_1A": "ГРЯЗНЫЙ"
"Total Civilian Kills_NAME": "ВСЕГО УБИТО ГРАЖДАНСКИХ"
"CONTROL_SELECT_EQUIPPED": "ВЫБРАТЬ ОБОРУДОВАНИЕ"
"DROP_QUASAR": "ДАТЬ QUASAR"
"SAVELOAD_SELECTED_DEVICE_REMOVED_FULL": "Используемое по умолчанию Запоминающее Устройство извлечено\nПожалуйста, выберите новое устройство для сохранения или загрузки данных."
"STORE_LEVEL": "УРОВЕНЬ"
"GARAGE_DOCK": "ПРИСТАНЬ"
"STAT_BIG_AIR_LONGEST_JUMP": "БОЛЬШОЙ ПРЫЖОК: САМЫЙ ДОЛГИЙ ПРЫЖОК"
"STAT_STAG_KILLED": "УБИТО БОЙЦОВ ОТРЯДА КАБАН"
"Partners in Crime_DESC": "ПРОЙДЕНЫ ВСЕ МИССИИ КАМПАНИИ В СОВМЕСТНОЙ ИГРЕ"
"SinglePlayer": "ОДИН ИГРОК"
"CONTROL_SELECT": "ВЫБРАТЬ"
"MAP_ICON_INSURANCE_FRAUD": "СТРАХОВОЕ МОШЕННИЧЕСТВО"
"GIVE_KRUKOV": "ДАТЬ K-8 \"КРЮКОВ\""
"SAVELOAD_SIGN_IN_NOW": "Чтобы получить доступ к этой функции вы должны создать игровой профиль.\nЗарегистрироваться?"
"STAT_TEAM_DECKERS": "ДЕКЕРЫ"
"STAT_MISSION_SUCCESS_RATE": "ПРОЦЕНТ УСПЕХА МИССИЙ"
"STAT_MAYHEM_DAMAGE_DONE": "РАЗГРОМ: УРОНА НАНЕСЕНО"
