"DROP_SPHERE": "GEEF BOL"
"STAT_DRIVING_STOPPIE": "STOPPIES"
"ESCORT_NAME_37A": "OMGEDRAAIDE"
"PAUSE_MAP_WAYPOINT_SET": "WEGPUNT INSTELLEN"
"MAP_IMG_WEAPON": "[format][scale:1.0][image:map_store_gun][/format]"
"GOD_MODE": "GODMODUS"
"MUSIC_ROCK": "ROCK"
"GANG_CUST_SLOT": "SLOT {0} - {1:TEXT_TAG_CRC}"
"STAT_WEAPON_SHOTGUN": "JACHTGEWEER"
"STAT_TAUNTING_TOTAL_COPS_TAUNTED": "TOTAAL AANTAL POLITIE BELEDIGD"
"STAT_ESCORT_CLIENTS_SERVICED": "ESCORT: AANTAL KLANTEN GEHOLPEN"
"STAT_SURFING_TIME": "LANGSTE VOERTUIGSURF"
"STAT_HITMAN_TARGETS": "DOELWITTEN GEËLIMINEERD"
"ESCORT_NAME_38_B": "SLEUTEL"
"HASH_D5C46250": "DODENLABEL: GEDOOD"
"HASH_9B93BC50": "BRONZEN STERREN VERDIEND MET AFLEIDINGSACTIES"
"CONTROL_START": "START"
"WPNSTOR_REPLACE_WITH_BLANK_FOR_CASH_BLANK": "Wil je \"%s\" met \"%s\" voor %s vervangen?"
"HORDE_MODE_NEW_CHALLENGE_WAVE_TITLE": "Uitdagingsgolf!"
"CUST_GANG_NAME_GANGSTER": "GANGSTER"
"GIVE_FLASHBANG": "GEEF FLITSGRANAAT"
"PURCHASEABLE_PROPERTEY_METH": "METH-LAB"
"STAT_MISSION_STRONGHOLD_CASH_EARNED": "VERDIEND MET MISSIES/STRONGHOLDS"
"STAT_HOSTAGES_TAKEN": "MENSEN GEGIJZELD"
"GANG_CIVILIAN": "BURGERS"
"GIVE_AR55": "GEEF AR-55"
"DROP_TORNADO": "GEEF TORNADO"
"STAT_COOP_MAX_POLICE_NOTORIETY_STREAK": "SAMENWERKING: LANGSTE REEKS MET MEESTE BERUCHTHEID BIJ POLITIE"
"RADIO_STATION_K12": "K12"
"Max Notoriety Col2_NAME": "BERUCHTHEID LEADERBOARD"
"STORE_EXIT_TELEVISiON": "Televisie uitzetten?"
"HORDE_MODE_TITLE_HIGHSCORE": "HOOGSTE SCORE"
"STAT_COMBAT_THROWN": "WERPEN"
"CELL_FRIENDLY_FIRE": "FRIENDLY FIRE"
"GIVE_ULTIMAX": "GEEF AS3 ULTIMAX"
"POC2_DROP_HELICOPTER": "HELIKOPTER VERWIJDEREN"
"VCUST_COLOR_PALETTE_TITLE": "KLEURENPALET"
"PURCHASEABLE_PROPERTEY_FLATS": "PARKVIEW FLATS"
"GARAGE_CANNOT_REPAIR": "Je kunt je voertuig alleen aanpassen als het volledig gerepareerd is.\nJe hebt niet genoeg geld om je voertuig te repareren."
"STAT_BASE_HIGH": "HOOGSTE SPRONG"
"BasicSP": "{C10} SPELEN"
"VOLITION": "VOLITION"
"MAP_ICON_MAYHEM": "CHAOS"
"CRIB_GARAGE_PURCHASED_TEXT": "Dit is nu jouw garage.\nJe hebt hier toegang tot bepaalde voertuigen en je kunt ze hier ook opslaan."
"PURCHASEABLE_PROPERTEY_MOTEL": "STIKIT INN"
"STORE_DISCARD_ITEM": "VOORWERP WEGGOOIEN"
"BODY_TITLE": "LICHAAM"
"CONTROL_CANCEL": "ANNULEREN"
"ESCORT_NAME_18B": "SANCHEZ"
"DEMO_EXIT": "EXIT DEMO"
"DROP_KANEDA": "GEEF KANEDA"
"STORE_UPGRADES_TITLE": "UPGRADES"
"MENU_SWAP_CLOTHING_STORE": "KLEDINGWINKEL"
"VCUST_TIRE_TREAD_NUMBER": "BANDPROFIEL #{0}"
"TAT_REG_R_FOREARM": "RECHTERONDERARM"
"STORE_PLANET_SAINTS_MSG": "!!purchase items"
"HORDE_MODE_MENU_EXIT": "TERUG NAAR HOOFDMENU"
"STAT_HUMAN_TORCH_LEVELS_COMPLETED": "SPEURTOCHT VOLTOOID"
"STAT_HUMAN_TORCH_OBJECTS_TORCHED": "SPOREN ACHTERLATEN: AANTAL VOORWERPEN IN LICHTERLAAIE GEZET"
"STAT_LEVELS_COMPLETED": "NIVEAUS AFGEROND"
"Diversion Silver Stars_NAME": "ZILVEREN STERREN"
"Escort": "ESCORTE"
"GIVE_APOCA": "GEEF APOCOVUISTEN"
"HIDE_HUD": "GEEN HUD"
"MASCOT_PEDS_DESC": "Alle voetgangers zijn mascottes."
"CUST_ICON_UPPER_BODY": "BOVENLICHAAM"
"STORE_NO_ITEMS_IN_CATEGORY": "ER ZIJN GEEN VOORWERPEN BESCHIKBAAR IN DEZE CATEGORIE"
"UNLOCKABLE_TITLE_TEXT": "VRIJGESPEELD"
"STAT_HITMAN_COMPLETED": "HUURMOORDEN UITGEVOERD"
"ESCORT_NAME_9B": "DRAAK"
"DrugTrafficking": "DRUGSSMOKKEL"
"InsFraud": "VERZEKERINGSFRAUDE"
"QUIT_GAME_TEXT_SHORT": "Weet je zeker dat je wilt afsluiten?"
"STORE_CONFIRM_PURCHASE_BLANK_FULL": "Wil je \"%s\" voor %s kopen?"
"STORE_OWNED": "IN JE BEZIT"
"GARAGE_HANGAR": "HANGAR"
"STAT_STORES_OWNED": "WINKELS IN BEZIT"
"STAT_MAX_STUNT_JUMP_ROLL": "MAXIMALE ROLSPRONG"
"HASH_E66AA7D9": "DODENLABEL: GELD VERDIEND"
"CONTROL_CHANGE_LB": "LEADERBOARD WIJZIGEN"
"CUST_GANG_NAME_PREPHOP": "PREPHOP"
"SWITCH_TO_STORE": "SCHAKEL OVER NAAR WINKEL"
"BUILDING_PURCHASE_CONTROL_INCREASE": "{0}%%% TOENAME AANDEEL"
"BUILDING_PURCHASE_CRIB": "Wil je deze woning voor ${1} kopen?"
"WPN_STORE_AMMO_TITLE": "MUNITIE"
"TATTOO_REMOVE_SAVE": "Wil je de tatoeage van je %s weg laten halen en bewaren?"
"CONTROL_SELECT_COLOR": "KIES EEN KLEUR"
"SURGEON_INSUFFICIENT_FUNDS": "Je hebt niet genoeg geld om de plastisch chirurg te bezoeken."
"STAT_VEHICLE_AIRCRAFT": "VLIEGTUIG"
"STAT_WEAPON_RPG": "RPG"
"STAT_COOP_DEATHS": "SAMENWERKING: DOODGEGAAN DOOR SPELER"
"STAT_SNATCH_PIMPS_KILLED": "ROOF: AANTAL POOIERS GEDOOD"
"STAT_DRIVING_NEARMISS_CHAIN": "LANGSTE REEKS BIJNA GERAAKT"
"ESCORT_NAME_14B": "JOHNSON"
"ESCORT_NAME_7B": "KETTING"
"CONTROL_START_GAME": "SPEL STARTEN"
"MAP_ICON_UNDEFINED": "ONBEPAALD"
"CUST_GANG_NAME_STRIPPER": "STRIPPERS"
"GIANT_PLAYER_DESC": "Je hebt je groene bonen gegeten, je groeit groot."
"STORE_TEXT_CONFIRM_PURCHASE_AND_SAVE_FULL": "Wil je een \"%s\" voor %s kopen en opslaan?"
"HASH_336F665B": "DODENLABEL: VERLOREN"
"PIMPS_AND_HOS_PEDS_DESC": "Alle voetgangers zijn pooiers en hoeren."
"MAINMENU_NEW_GAME_DIFF_HDR": "MOEILIJKHEID"
"MAINMENU_NEW_GAME_NO_PROFILE_EXPOSITION": "Je bent nu niet ingelogd met een gamerprofiel.\nJe kunt je spelvoortgang niet opslaan of prestaties verdienen.\nDoorgaan?"
"GANG_CUST_TITLE": "GANGAANPASSINGEN"
"GARAGE_REPAIR_NAME": "GARAGE VAN DE MONTEUR"
"TUT_CRIB_GARAGE": "DRUK OP {ACTION_IMG} OM DIT VOERTUIG IN JE GARAGE OP TE SLAAN"
"STAT_AIRCRAFT_DESTROYED": "AANTAL VLIEGTUIGEN VERNIELD"
"STAT_SMG_HIT_PCT": "PERCENTAGE RAAK GESCHOTEN MET SMG"
"ESCORT_NAME_16B": "MIX"
"ESCORT_NAME_5B": "DOUCHE"
"Time at Highest Police Notoriety_NAME": "TIJD ALS MEEST BERUCHT BEKEND GESTAAN BIJ DE POLITIE"
"GARAGE_REPAIR_RETRIEVE": "VOERTUIG REPAREREN EN OPHALEN: ${0}"
"HUD_SHOP_INSUFFICIENT_FUNDS": "JE HEBT NIET GENOEG GELD"
"VCUST_EXTRA_LOW_PROFILE": "EXTRA LAAG PROFIEL"
"PURCHASEABLE_PROPERTEY_POWER": "POWER AND LIGHT"
"STAT_DRIVING_BAILOUT_RESPECT": "RESPECT VERDIEND DOOR 'M TE SMEREN"
"HASH_CE3F7EDD": "GELD UITGEGEVEN AAN UPGRADES VAN WONINGEN"
"GIVE_SLM8": "GEEF VIPER LASERGEWEER"
"LIGHT_RAIN": "LICHTE REGEN"
"VCUST_LOW_PROFILE": "LAAG PROFIEL"
"CUST_ITEM_STYLE": "STIJL"
"STAT_DRIVING_WRONGWAY_RESPECT": "RESPECT VERDIEND DOOR TE SPOOKRIJDEN"
"ESCORT_NAME_10B": "SCHUDDER"
"ESCORT_NAME_3B": "STOOT"
"CONFIRM_WEAR_OUTFIT": "Weet je zeker dat je deze outfit wilt dragen?"
"HASH_A885535E": "HYDRAULICA"
"CONTROL_EXIT_PURCHASE_CLOTHING": "AANKOOP KLEDING VERLATEN"
"DROP_SPECTER": "GEEF SPECTER"
"TINY_PLAYER": "KLEINTJE"
"SAVELOAD_AUTOSAVE_LABEL": "AUTOMATISCH OPSLAAN"
"HASH_CC5A26DE": "In je nakie?"
"HORDE_MODE_MENU_RETRY": "OPNIEUW"
"HORDE_MODE_TITLE_SURVIVAL_TIME": "SURVIVALTIJD"
"HORDE_MODE_WEAPON_UPGRADE": "JOUW %ls ZIT NU OP NIVEAU %i VAN %i"
"STAT_STREAKING_PEOPLE": "AANTAL MENSEN DIE JOU STREAKEND HEBBEN GEZIEN"
"STAT_CRIBS_ACQUIRED": "WONINGEN VERKREGEN"
"WPN_STORE_SPECIAL_TITLE": "SPECIAAL"
"VEHICLE_CUSTOMIZATION_TITLE": "VOERTUIG AANPASSEN"
"TAT_REG_L_SHOULDER": "LINKERSCHOUDER"
"ESCORT_NAME_12B": "FRANKLIN"
"ESCORT_NAME_1B": "SANCHEZ"
"HASH_FB3AF7E0": "DODENLABEL: MEESTE KEREN DOODGEGAAN IN EEN RONDE"
"MAP_ICON_WEAPON": "WAPEN"
"GENERIC_LEAVE_BLANK_FULL": "Weet je zeker dat je %s wilt verlaten?"
"HUD_TRIGGER_CASH_STASH": "PAK %ls VAN JE GELDVOORRAAD"
"HUD_FOUND_CASH": "Je hebt %ls van je geldvoorraad ontvangen!"
"VCUST_RIM_STYLE_OPTION": "STIJL VELGEN"
"HASH_7A3484E1": "ZILVEREN STERREN VERDIEND MET AFLEIDINGSACTIES"
"HASH_F85DA761": "GOUDEN STERREN VERDIEND MET AFLEIDINGSACTIES"
"CONTROL_CHANGE_BOARD": "BOARD WISSELEN"
"GANG_CUST_GANG_TITLE": "GANG"
"TAT_REG_L_LEG": "LINKERBEEN"
"CUST_BROWSER_BROWSE": "RONDKIJKEN"
"STORE_CRIB_WEAPONS_MSG": "JE OPSLAGPLEK VOOR WAPENS BEKIJKEN"
"STAT_DRIVING_TWOWHEELS_TIME": "LANGSTE TIJD OP TWEE WIELEN"
"STAT_MAX_WINDSHIELD_CANNON_DISTANCE": "MAXIMALE AFSTAND VOORRUITKANON"
"ESCORT_NAME_16A": "KIETEL"
"ESCORT_NAME_5A": "GOUDEN"
"DELETE_OUTFIT": "OUTFIT VERWIJDEREN"
"GIVE_ROCKET": "GEEF RAKETHAMER"
"GIVE_AIRSTRIKE": "GEEF SA-3 LUCHTAANVALSWAPEN"
"OVL_SHOP_PURCHASED_TEXT": "Je krijgt nu een gedeelte van de winst van deze winkel en je ontvangt een bijdrage van [format][color:highlight]${0}/uur[/format]. Dit bedrag wordt toegevoegd aan het geld dat je in je woning bewaart. Verder ontvang je ook korting op alle voorwerpen."
"VCUST_NORMAL_PROFILE": "NORMAAL PROFIEL"
"VCUST_HIGH_PROFILE": "HOOG PROFIEL"
"STAT_TEAM_LUCHADORES": "LUCHADORES"
"STAT_ESCORT_LEVELS_COMPLETED": "ESCORTE VOLTOOID"
"STAT_COMBAT_HEADSHOT_RESPECT": "RESPECT VERDIEND MET SCHOTEN IN HET HOOFD"
"MAP_IMG_UNKNOWN_ACT": "[format][scale:1.0][image:map_other_hidden_act][/format]"
"DROP_TOAD": "GEEF PAD"
"GIVE_CASH_DESC": "Je krijgt meteen geld."
"PED_WAR_DESC": "Haat, woede, frustratie; iedereen heeft een hekel aan elkaar."
"STAT_MAYHEM_BEST_COMBO": "CHAOS: BESTE COMBO"
"ESCORT_NAME_14A": "STOMENDE"
"ESCORT_NAME_7A": "PAREL"
"DRUNK_PEDS": "DRONKEN VOETGANGERS"
"STAT_COOP_GANG_NOTORIETY_TIME": "SAMENWERKING: TIJD ALS MEEST BERUCHT BEKEND GESTAAN BIJ GANGS"
"HumanTorch": "SPOREN ACHTERLATEN"
"ELEVATOR_TO_HEAVEN_DESC": "Alle doden gaan naar de hemel."
"GIVE_FLAMETHROWER": "GEEF VLAMMENWERPER"
"GIVE_CHAINSAW": "GEEF KETTINGZAAG"
"SURGEON_MP_EXPORT_FULL": "Door naar multiplayer te exporteren worden\neerder opgeslagen multiplayerpersonages overschreven!"
"STORE_STRENGTH": "KRACHT {0}%%%%"
"STAT_DECKERS_KILLED": "DECKERS GEDOOD"
"ACHIEVEMENTS_LOG_IN_EXPOSITION": "Je moet je aangemeld hebben met een gamerprofiel om je prestaties te bekijken. "
"ESCORT_NAME_12A": "NATTE"
"ESCORT_NAME_1A": "SMERIGE"
"Total Civilian Kills_NAME": "TOTAAL AANTAL BURGERS GEDOOD"
"CONTROL_SELECT_EQUIPPED": "UITGERUST SELECTEREN"
"DROP_QUASAR": "GEEF QUASAR"
"SAVELOAD_SELECTED_DEVICE_REMOVED_FULL": "De huidige memoryunit is verwijderd. \nKies een nieuwe memoryunit om verder te gaan met het opslaan of laden."
"STORE_LEVEL": "NIVEAU"
"GARAGE_DOCK": "DOK"
"STAT_BIG_AIR_LONGEST_JUMP": "BIG AIR: LANGSTE SPRONG"
"STAT_STAG_KILLED": "STAG GEDOOD"
"Partners in Crime_DESC": "ALLE CAMPAGNEMISSIES IN DE SAMENWERKINGSMODUS VOLTOOID"
"SinglePlayer": "EEN SPELER"
"CONTROL_SELECT": "SELECTEREN"
"MAP_ICON_INSURANCE_FRAUD": "VERZEKERINGSFRAUDE"
"GIVE_KRUKOV": "GEEF K-8 KRUKOV"
"SAVELOAD_SIGN_IN_NOW": "Je moet inloggen met een gamerprofiel voor deze functie.\nWil je inloggen?"
"STAT_TEAM_DECKERS": "DECKERS"
"STAT_MISSION_SUCCESS_RATE": "GESLAAGDE MISSIES"
"STAT_MAYHEM_DAMAGE_DONE": "CHAOS: SCHADE AANGERICHT"
"STAT_DRIVING_WHEELIE_RESPECT": "RESPECT VERDIEND MET WHEELIES"
"ESCORT_NAME_10A": "BOZE"
"ESCORT_NAME_3A": "EZEL"
"HASH_646BCE68": "SAMENWERKING METAGAME: GELDBONUS VERDIEND"
"CELL_SUICIDE": "ZELFMOORDHOTLINE"
"CUST_GANG_NAME_SPORTY": "SPORTY"
"ADD_COP_NOTORIETY": "POLITIEBERUCHTHEID TOEVOEGEN"
"GARAGE_INSUFFICIENT_FUNDS": "JE HEBT NIET GENOEG GELD OM DEZE AUTO TE REPAREREN"
"STAT_JUMPS_FOUND": "STUNTSPRONGEN GEVONDEN"
"CUST_REMOVE_ITEM_TITLE": "VOORWERP WEGHALEN"
"STAT_TIME_AT_MAX_LUCHADOR_NOTORIETY": "MAX TIJD BERUCHT BIJ LUCHADORES"
"STAT_TIME_AT_MAX_GANG_NOTORIETY": "MAX TIJD BERUCHT BIJ GANG"
"STAT_FRAUD_LEVELS_COMPLETED": "VERZEKERINGSFRAUDE VOLTOOID"
"STAT_DRIVING_WRONGWAY_TIME": "LANGSTE SPOOKRIJDERAFSTAND"
"STAT_HOMIEZ_ACQUIRED": "HOMIES VERKREGEN"
"HASH_719A436A": "RESPECT VERDIEND MET HYDRAULICA"
"HORDE_MODE_TITLE_SCORE": "SCORE"
"STAT_DRIVING_BACKSEAT_DISTANCE": "LANGST BESTUURD VANAF DE ACHTERBANK"
"STAT_DRIVING_WHEEILE_TIME": "LANGSTE WHEELIE"
"STAT_COMBAT_ONE_HIT": "AANTAL KEREN IEMAND IN ÉÉN KLAP GEDOOD"
"TAXIMAP_FARE": "TAXITARIEF:"
"CELL_FORGIVE": "FORGIVE AND FORGET"
"HUD_RETRY_MISSION_MESSAGE_FULL": "Door een missie opnieuw te proberen verlies je alle wapens en respect die je tijdens het spelen van de missie verdiend hebt."
"PURCHASEABLE_PROPERTEY_ORGAN_BLACKMARKET": "ORGAN BLACKMARKET"
"MAP_ICON_TSS_STRONGHOLD": "STRONGHOLD 3RD STREET SAINTS"
"CELL_PIMP_VAN": "POOIERBUS"
"BE_ALL_YOU_WANT_TO_BE": "MODEL PC WIJZIGEN"
"MUSIC_FUNK": "FUNK"
"CUST_ICON_TATTOO_LEGS": "BEENTATOEAGES"
"MUSIC_REGGAE": "REGGAE"
"TAXI_LEAVE_FULL": "Weet je zeker dat je de taxi wilt verlaten?"
"WPNSTOR_LEAVE_FULL_FRIENDLY_FIRE": "Weet je zeker dat je Friendly Fire wilt verlaten?"
"VCUST_REAR_AXLE_OPTION": "ACHTERAS"
"STORE_TITLE_WITHDRAW": "TERUGTREKKEN"
"HORDE_MODE_TITLE_FAIL": "GOLF {0} VOLTOOID"
"HORDE_MODE_KILL_COUNT": "AANTAL GEDOOD"
"STAT_DRIVING_NEARMISS": "BIJNA GERAAKT"
"STAT_DRIVING_BURNOUT": "BURNOUTS"
"Human Thrown Distance_NAME": "BESTE WERPAFSTAND"
"CONTROL_CHANGE_MODE": "MODUS WIJZIGEN"
"CONTROL_VIEW_GAMER_CARD": "GAMERKAART BEKIJKEN"
"CONTROL_BACK": "TERUG"
"CELL_POLICE": "POLICE"
"GIVE_SONIC": "GEEF SONIC BOOM"
"SUPER_SAINTS_DESC": "De Saints zijn o zo slecht."
"CUST_ICON_WRISTS": "VUISTEN"
"MUSIC_METAL": "METAL"
"MENU_EXPORT_SIGN_IN_FULL": "Je moet je aangemeld hebben bij Xbox LIVE\nom naar multiplayer te exporteren."
"STORE_LEVEL_REQ": "NIVEAU VEREIST {0}"
"WPNSTOR_TEXT_MAX_WEAPONS_STORE": "Dit wapen is al in je bezit."
"ESCORT_NAME_9A": "GLADDE"
"CONTROL_CHANGE_VIEWED_PLAYER": "BEKEKEN SPELER WIJZIGEN"
"MUSIC_HIPHOP": "HIP-HOP"
"DEALER_NO_SPACE": "JE HEBT NIET GENOEG RUIMTE IN JE GARAGE VOOR %s"
"Total Gang Kills_NAME": "TOTAAL AANTAL LEDEN VIJANDELIJKE GANGS GEDOOD"
"HASH_937C34EF": "STIJLSCORE"
"VCUST_HUBCAPS_TITLE": "WIELDOPPEN"
"PURCHASEABLE_PROPERTEY_STEEL": "OLDE STEEL FACTORY"
"TAT_REG_FRONT": "VOORKANT"
"STAT_TAUNTING_TOTAL_CIVILIANS_TAUNTED": "TOTAAL AANTAL BURGERS BELEDIGD"
"STAT_MILES_BY_BIKE": "TOTAAL AANTAL MIJLEN PER MOTOR AFGELEGD"
"STAT_ACTIVITY_CASH_EARNED": "VERDIEND MET ACTIVITEITEN"
"ESCORT_NAME_18A": "SMERIGE"
"CONTROL_BEGIN_GAME": "SPEL STARTEN"
"ADD_COP_NOTORIETY_DESC": "Politieberuchtheid neemt iedere keer met één ster toe."
"PLAYER_CREATION_QUIT_TO_MAIN_MENU_FULL": "Weet je zeker dat je terug wilt\nkeren naar het hoofdmenu?"
"OUTFIT_NAME_ENTRY_DIALOG": "VOER EEN NAAM IN VOOR JE OUTFIT"
"WPN_CACHE_EXIT_PROMPT": "Wapenopslagplek verlaten\n\nWeet je het zeker?"
"STORE_FREE": "GRATIS"
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_AMMO": "Wil je \"%s\" munitie pakken?"
"STAT_DRIVING_BACKSEAT": "BESTUREN VANAF DE ACHTERBANK"
"STAT_DRIVING_TWOWHEELS_RESPECT": "RESPECT VERDIEND DOOR OP TWEE WIELEN TE RIJDEN"
"STAT_MAX_STUNT_FALL_DIST": "LANGSTE VAL"
"STAT_ARRESTS": "ARRESTATIES"
"ESCORT_NAME_33B": "VLINDER"
"RADIO_STATION_OFF": "UIT"
"CONTROL_EXIT_PURCHASE_TATTOOS": "AANKOOP TATOES VERLATEN"
"MAP_ICON_PIMPING": "ROOF"
"STAT_DEATHS": "DODEN"
"Time at Highest Gang Notoriety_NAME": "TIJD ALS MEEST BERUCHT BEKEND GESTAAN BIJ GANGS"
"MAP_ICON_ESCORT": "ESCORTE"
"RESTORE_WEATHER": "WEER OPNIEUW INSTELLEN OP NORMAAL"
"GANG_CUST_GANG_SIGN_TITLE": "GANGTEKEN"
"IMPRESSIONS_NAME": "IMPRESSIONS"
"STORE_INVENTORY_EMPTY_TITLE": "LEGE INVENTARIS"
"GARAGE_DELETE_CONFIRM": "Wil je dit voertuig niet meer in je bezit hebben?"
"HORDE_MODE_SURVIVAL_TIMER_TAG": "OVERLEEFD"
"STAT_CAT_MOUSE_MOST_ROUND_KILLS": "KAT & MUIS: MEESTE MOORDEN IN EEN RONDE"
"STAT_RPG_SHOTS_FIRED": "SCHOTEN MET RPG AFGEVUURD"
"STAT_STREAKING_CASH": "GELD VERDIEND MET STREAKEN"
"STAT_TAUNT_RESPECT": "RESPECT VERDIEND DOOR ANDEREN TE BELEDIGEN"
"ESCORT_NAME_31B": "SERPENT"
"CONTROL_CHANGE_LB_FILTER": "FILTER WISSELEN"
"CONTROL_QUITGAME": "STOP"
"TIME_SET_NOON_DESC": "Stel de huidige tijd in op middag."
"DROP_CAR_DESC": "Zet dit voertuig in je garage."
"DROP_BOOTLEGGER": "GEEF BOOTLEGGER"
"QUIT_GAME_TEXT_FULL": "Weet je zeker dat je wilt afsluiten?\n(Alle niet opgeslagen voortgang zal verloren gaan.)"
"GARAGE_REPAIR": "REPAREREN"
"STAT_COMBAT_ONE_HIT_RESPECT": "RESPECT VERDIEND DOOR MENSEN IN ÉÉN KLAP TE DODEN"
"STAT_CHOPSHOP_VEHICLES": "VOERTUIGEN VERZAMELD"
"Matchmaking": "BIJ MATCHMAKING"
"DROP_TITAN": "GEEF TITAAN"
"SUPER_EXPLOSIONS_DESC": "Explosies zijn vier keer zo intens."
"BE_ALL_YOU_WANT_TO_BE_DESC": "Kies uit een lijst hoe je wilt dat je personage eruit ziet."
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK_FOR_CASH_BLANK": "Wil je \"%s\" met \"%s\" voor %s vervangen?"
"SWITCH_TO_WARDROBE": "SCHAKEL OVER NAAR GARDEROBE"
"HUD_CRIB_CHANGE_RADIO_STATION": "HET RADIOSTATION TE WIJZIGEN"
"STAT_DRUG_TRAFFICKING_BUYERS_SATISFIED": "DRUGSSMOKKEL: AANTAL TEVREDEN KLANTEN"
"STAT_COMBAT_MULTI_RESPECT": "RESPECT VERDIEND DOOR MEERDERE MOORDEN TEGELIJKERTIJD UIT TE VOEREN"
"ESCORT_NAME_37B": "DOUCHE"
"Diversion Bronze Stars_NAME": "BRONZEN STERREN"
"HASH_A166F6F5": "RESPECT VERDIEND ALS POOIER"
"GARAGE_REPAIR_VEHICLE": "REPAREER VOOR ${0}"
"VCUST_RIM_NUMBER": "VELGEN #{0}"
"GOTH_NAME": "NOBODY LOVES ME"
"HORDE_MODE_WAITING_FOR_HOST": "Wachten op host."
"ESCORT_NAME_38_A": "RECHTSOM"
"PURCHASEABLE_PROPERTEY_BODEGA": "PICKPOCKET PAWN SHOP"
"STAT_PISTOL_HIT_PCT": "PERCENTAGE RAAK GESCHOTEN MET PISTOOL"
"STAT_SNATCH_HOS_CLAIMED": "ROOF: AANTAL HOEREN GECLAIMD"
"ESCORT_NAME_35B": "RATELSLANG"
"WEAR_OUTFIT_TITLE": "OUTFIT DRAGEN"
"WARDROBE_REMOVE_OUTFIT_TITLE": "OUTFIT VERWIJDEREN"
"INFINITE_SPRINT": "ONEINDIGE SPRINT"
"NO_COP_NOTORIETY": "GEEN POLITIEBERUCHTHEID"
"STORE_EXIT_WARNING_HEADER": "WAARSCHUWING"
"CRIB_SAINTSHQ": "SCHUILPLAATS VAN DE SAINTS"
"PURCHASEABLE_PROPERTEY_WARF": "HENRY STEEL WHARF"
"STAT_STREAKING_TOTAL_TIME": "TOTALE STREAKINGTIJD"
"STAT_FAVORITE_TRANSPORTATION": "FAVORIET VERVOERMIDDEL"
"ESCORT_NAME_29A": "KONINKLIJKE"
"DROP_NFORCER": "GEEF NFORCER"
"DROP_CONDOR": "GEEF CONDOR"
"GIVE_DRONE": "GEEF REAPER DRONE"
"PURCHASEABLE_PROPERTEY_BROTHEL": "HARANO'S HOOKUP HOUSE"
"PURCHASE_TATTOOS_NAME": "TATOEAGES LATEN ZETTEN"
"VEHICLE_COLOR_BASIC": "GEAVANCEERD"
"MENU_TITLE_INSUFFICIENT_FUNDS": "ONVOLDOENDE GELD"
"STORE_TEXT_INSUFFICIENT_FUNDS_BLANK": "Je hebt niet genoeg geld om dit voorwerp te kopen."
"STAT_TAUNTING_TOTAL_GANG_MEMBERS_TAUNTED": "TOTAAL AANTAL GANGLEDEN BELEDIGD"
"STAT_TAUNTING_TOTAL_COMPLIMENTS_GIVEN": "TOTAAL AANTAL GEGEVEN COMPLIMENTEN"
"ESCORT_NAME_39_B": "KNEDER"
"HEAVY_RAIN": "ZWARE REGEN"
"EVIL_CARS": "SLECHTE AUTO'S"
"STORE_RESPECT": "RESPECT +{0}"
"STORE_SELECT_BUILD": "BOUW SELECTEREN"
"RUSTY_NEEDLE_NAME": "RUSTY'S NEEDLE"
"STAT_LUCHADORES_KILLED": "LUCHADORES GEDOOD"
"STAT_DRIVING_BAILOUT": " 'M GESMEERD ZIJN"
"STATS_NONE": "GEEN"
"ESCORT_NAME_27A": "GEKKE"
"DEMO_FREEPLAY": "FREEPLAY"
"CONTROL_SCROLL_LIST": "UITSCHUIFLIJST"
"Gang_Saints": "3RD STREET SAINTS"
"DROP_ANCHOR": "GEEF ANKER"
"TIME_SET_MIDNIGHT_DESC": "Stel de huidige tijd in op middernacht."
"GIVE_WEAPON_DESC": "Voeg dit wapen toe aan je inventaris."
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_FULL": "Wil je \"%s\" uit je woning meenemen?"
"TATTOO_INSUFFICIENT_FULL": "Je hebt niet genoeg geld om een \"%s\" op je %s te laten zetten."
"CUST_BROWSER_TITLE": "RONDKIJKEN VOOR AANPASSINGEN"
"HORDE_MODE_QUIT_TEXT": "Wil je echt stoppen?\n(Hiermee wordt de Hordemodus voor beide spelers beëindigd.)"
"STAT_MAX_WRONG_WAY_DISTANCE": "LANGSTE AFSTAND SPOOKGEREDEN"
"STAT_PEOPLE_RUN_OVER": "MENSEN OMVER GEREDEN"
"STAT_AERIAL_STUNTS_FOUND": "SCHUREN GEVONDEN"
"PLAYER_CREATION_ABOUT_TO_REVERT": "Wil je deze wijzigingen annuleren?"
"DROP_VULTURE": "GEEF VULTURE"
"STORE_SKINNY": "DUN {0}%%%%"
"GARAGE_RETRIEVE_VEHICLE": "OPHALEN"
"COMPLETION_EXIT_STRONGHOLD_CONFIRMATION": "Weet je zeker dat je de stronghold wilt verlaten?"
"GANG_CUST_GANG_SIGN_OPT": "TEKEN"
"STORE_NOT_AVAILABLE": "NIET BESCHIKBAAR"
"VEHICLE_FREE": "GRATIS"
"STAT_COOP_MISSIONS_COMPLETED": "SAMENWERKING: MISSIES VOLTOOID"
"STAT_COMBAT_NUTSHOT_RESPECT": "RESPECT VERDIEND DOOR IEMAND IN ZIJN ZAK TE SCHIETEN"
