// SR4R le_string_keys.txt (zh) —— 本地化 KEY -> 中文
// 生成: Tools/gen_keydict.py（勿手改，重新生成即可；兜底键改脚本里的 EXTRA_KEYS）
// 用途: 引擎语言服务解析失败时, 文本对象会回退到原始 KEY 模板
//       (屏幕上直接显示 MENU_BACK / PLT_xxx)。本表把这类可读 KEY 直接映射为译文。
// 约束: 键为裸 KEY, 引擎送裸 KEY 时不带格式化参数 -> 译文一律不含 % 转换符 [S1]
// 来源: resource/le_string/zh/*.txt + 手工兜底 EXTRA_KEYS

// ---- 手工兜底: PC 版 le_string 中不存在的 UI 键 ----
// 取消按钮（配对兜底）
"CONTROL_NO": "否";
"UNL_DESC_WEP_LASER_MINIGUN": "杀戮机器人的迷你枪已被逆向工程。用「灭绝者」在战场上横扫死亡！\n在传送门武器库装备它。";
"UNL_DESC_WEP_LIGHT_SWORD": "打得他们够狠，能量剑就能把他们熔毁！\n在传送门武器库装备它。";
"UNL_DESC_WEP_MINEFIELD": "杀戮机器人的布雷器已被逆向工程。用布雷器让城市遍布感应地雷！\n在传送门武器库装备它。";
"UNL_DESC_WEP_PLASMA_CANNON": "为暴君充能，让爆裂等离子飞射而出！\n在传送门武器库装备它。";
"UNL_DESC_WEP_SHRINK_RAY": "用微缩射线枪把敌人缩小到可被踩扁的尺寸！\n\n在传送门武器库装备它。";
"UNL_DESC_WEP_TENTACLE_BAT": "在日本可是大受欢迎！\n在传送门武器库装备侵犯者。";
"UNL_DFA_AIRCRAFT": "天降杀戮 - 飞行器";
"UNL_DFA_RANGE_1": "天降杀戮 - 范围";
"UNL_HACKING_EXTRA_TIME": "黑客入侵 - 额外时间";
"UNL_HADOUKEN_1": "核爆 - 更快恢复";
"UNL_HADOUKEN_2": "核爆 - 更快恢复 2";
"UNL_HADOUKEN_3": "核爆 - 更快恢复 3";
"UNL_HADOUKEN_REDUCED_MANA_1": "核爆 - 充能";
"UNL_HADOUKEN_REDUCED_MANA_2": "核爆 - 充能 2";
"UNL_HADOUKEN_REDUCED_MANA_3": "核爆 - 充能 3";
"UNL_HADOUKEN_SUPPRESSION_1": "核爆 - 能量恢复";
"UNL_HADOUKEN_SUPPRESSION_2": "核爆 - 能量恢复 2";
"UNL_HADOUKEN_SUPPRESSION_3": "核能 - 能力恢复3";
"UNL_HOMIE_ALL_NOTORIETY": "通缉清零 - 全部";
"UNL_HOMIE_A_TEAM": "同伴 - 盟友";
"UNL_HOMIE_CID": "同伴 - C.I.D.";
"UNL_HOMIE_CYRUS": "同伴 - 赛勒斯·坦普尔";
"UNL_HOMIE_DANE_VOGEL": "同伴 - 德恩·沃格尔";
"UNL_HOMIE_DONNIE": "同伴 - 唐尼";
"UNL_HOMIE_JULIUS": "搭档 - 朱利叶斯";
"UNL_HOMIE_MAERO": "同伴 - 马罗";
"UNL_HOMIE_SHARP": "同伴 - 威廉·夏普";
"UNL_HOMIE_TANYA": "搭档 - 坦雅";
"UNL_HOMIE_UFO": "同伴 - UFO";
"UNL_HOMIE_VETERAN_CHILD": "搭档 - DJ 老兵";
"UNL_JUMP_1": "从天而降";
"UNL_JUMP_2": "跳跃 - 更快蓄力";
"UNL_JUMP_3": "跳跃 - 滑翔";
"UNL_JUMP_REDUCED_MANA_1": "滑翔 - 效率";
"UNL_JUMP_REDUCED_MANA_2": "滑翔 - 效率 2";
"UNL_JUMP_REDUCED_MANA_3": "滑翔 - 效率 3";
"UNL_JUMP_SPEED": "跳跃 - 距离";
"UNL_MANA_RECOVERY_1": "超能能量 - 更快恢复";
"UNL_MANA_RECOVERY_2": "超能能量 - 更快恢复 2";
"UNL_MANA_RECOVERY_3": "超能能量 - 更快恢复 3";
"UNL_MANA_RECOVERY_4": "超能能量 - 更快恢复 4";
"UNL_MECHMAYHEM": "机甲战衣大混乱";
"UNL_MECH_SUIT": "机甲";
"UNL_NITROUS_DAMAGE": "氮气 - 伤害";
"UNL_RAGDOLL_RECOVERY": "忍者反射";
"UNL_RELOAD_COOLDOWN_1": "更快冷却";
"UNL_RELOAD_COOLDOWN_2": "更快冷却 2";
"UNL_RELOAD_COOLDOWN_3": "更快冷却 3";
"UNL_RELOAD_COOLDOWN_4": "更快冷却 4";
"UNL_SAINTS_VEHICLES": "载具 - 圣徒汽车";
"UNL_SHIELD_1": "护盾 - 能量充能";
"UNL_SHIELD_2": "护盾 - 带电";
"UNL_SHIELD_3": "护盾 - 生命恢复";
"UNL_SHIELD_DAMAGE": "护盾 - 伤害";
"UNL_SHIELD_REDUCED_MANA_1": "护盾 - 充能";
"UNL_SHIELD_REDUCED_MANA_2": "护盾 - 充能2";
"UNL_SHIELD_REDUCED_MANA_3": "护盾 - 充能 3";
"UNL_SPRINTING_1": "冲刺 - 龙卷风";
"UNL_SPRINTING_2": "冲刺 - 推撞";
"UNL_SPRINTING_3": "冲刺 - 减伤";
"UNL_SPRINTING_SHIELD": "冲刺 - 护盾";
"UNL_SPRINT_BUILDUP": "冲刺 - 急速";
"UNL_SPRINT_REDUCED_MANA_1": "冲刺 - 效率";
"UNL_SPRINT_REDUCED_MANA_2": "冲刺 - 效率 2";
"UNL_SPRINT_REDUCED_MANA_3": "冲刺 - 效率3";
"UNL_STOMP_1": "践踏 - 距离";
"UNL_STOMP_2": "践踏 - 距离2";
"UNL_STOMP_3": "践踏 - 距离 3";
"UNL_STOMP_ARC": "践踏 - 范围";
"UNL_STOMP_CAR_DAMAGE": "践踏 - 载具伤害";
"UNL_STOMP_HUMAN_DAMAGE": "践踏 - 人类伤害";
"UNL_STOMP_REDUCED_MANA_1": "践踏 - 充能";
"UNL_STOMP_REDUCED_MANA_2": "践踏 - 充能 2";
"UNL_STOMP_REDUCED_MANA_3": "践踏 - 充能3";
"UNL_SUPER_JUMP": "超级跳跃";
"UNL_SUPER_NUKE": "天降杀戮 - 核爆";
"UNL_SUPER_SHIELD": "冲刺护盾";
"UNL_SUPER_SPRINT": "超级冲刺";
"UNL_SUPER_STOMP": "践踏";
"UNL_SUPER_TK": "念力";
"UNL_SUPPRESS_DURATION_1": "压制 - 能量恢复";
"UNL_SUPPRESS_DURATION_2": "压制 - 能力恢复2";
"UNL_SUPPRESS_DURATION_3": "压制 - 能量恢复 3";
"UNL_TELEKINESIS_1": "念力 - 汽车";
"UNL_TELEKINESIS_2": "念力 - 接取";
"UNL_TELEKINESIS_3": "念力 - 特殊载具";
"UNL_TELEKINESIS_4": "念力 - 载具伤害";
"UNL_TELEKINESIS_FIRE": "念力 - 火焰";
"UNL_TELEKINESIS_HOLD_COST": "念力 - 持续消耗";
"UNL_TELEKINESIS_REDUCED_MANA_1": "念力 - 充能";
"UNL_TELEKINESIS_REDUCED_MANA_2": "念力 - 充能 2";
"UNL_TELEKINESIS_REDUCED_MANA_3": "念力 - 充能 3";
"UNL_UFOMAYHEM": "UFO狂暴";
"UNL_VEHICLE_GENKIMOBILE": "载具 - 源木战车";
"UNL_VEHICLE_GENKI_DLC_CARS": "载具 - 源木";
"UNL_VEHICLE_HOVER_TANK": "载具 - 悬浮坦克";
"UNL_VEHICLE_NG_TANK": "载具 - 挑战者";
"UNL_VEHICLE_NO_RAGDOLL": "不可移动物体";
"UNL_VEHICLE_UFO": "载具 - UFO";
"UNL_WARDEN_BEATDOWN_1": "典狱长 - 终结技";
"UNL_WARDEN_BEATDOWN_2": "典狱长 - 终结技 2";
"UNL_WARDEN_BEATDOWN_3": "典狱长 - 终结技 3";
"UNL_WARDEN_SHIELD_1": "辛族护盾 - 失效时间";
"UNL_WEP_ABDUCTION": "武器 - 绑架机器";
"UNL_WEP_ANAL_PROBE": "武器 - 校正器";
"UNL_WEP_BLACK_HOLE": "武器 - 奇点枪";
"UNL_WEP_DISINTEGRATOR": "武器 - 分解器";
"UNL_WEP_GLITCH_GUN": "武器 - 故障大师3000";
"UNL_WEP_LASER_MINIGUN": "武器 - 杀戮机器人机枪";
"UNL_WEP_LIGHT_SWORD": "武器 - 能量剑";
"UNL_WEP_MINEFIELD": "武器 - 杀戮机器人布雷器";
"UNL_WEP_PLASMA_CANNON": "武器 - 暴君";
"UNL_WEP_SHRINK_RAY": "武器 - 微缩射线枪";
"UNL_WEP_TENTACLE_BAT": "武器 - 侵犯者";
"Unlock_Super_Move": "解锁超级移动";
"Unlocked": "已解锁";
"WPNCAT_MELEE": "近战";
"WPNCAT_PISTOL": "手枪";
"WPNCAT_RIFLE": "步枪";
"WPNCAT_SHOTGUN": "霰弹枪";
"WPNCAT_SPECIAL": "特殊武器";
"WPNCAT_SUB_MACHINE_GUN": "冲锋枪";
"WPNCAT_THROWN": "投掷";
"Warrior Princess": "战士公主";
"Wonder Saint": "亚马逊女王";
"Wrath_of_God": "神之怒";
"cf_dlc_aliens_hat": "精神控制头盔";
"cf_eyes_50sglasses": "猫眼";
"cf_eyes_pixelshades": "低分辨率墨镜";
"cf_foot_50sshoes": "袜子舞鞋";
"cf_foot_80sshortboots": "亮片短靴";
"cf_foot_amazonboots": "亚马逊靴";
"cf_foot_strapshoes": "绑带鞋";
"cf_hair_fauxhawk_01": "飞机头";
"cf_hair_formalupdo_01": "正式盘发";
"cf_hair_frenchbraid-01": "法式辫";
"cf_hair_frenchbraid-02": "双法式辫";
"cf_hair_funbob-01": "趣味波波头";
"cf_hair_graduatedbob-01": "层次波波头";
"cf_hair_kungfubraid": "功夫辫";
"cf_hair_longbouffant_01": "长蓬巴杜";
"cf_hair_longstraight-02": "层次直发";
"cf_hair_longstraight-03": "姬发式";
"cf_hair_longstraight-05": "中分帘式";
"cf_hair_longstraight-06": "自由之爱";
"cf_hair_longstraight_01": "婉约长发";
"cf_hair_longstraight_04": "长而中分";
"cf_hair_longtextured_01": "长而层次";
"cf_hair_longwavy_01": "长波浪发型";
"cf_hair_longwavy_02": "舞会皇后";
"cf_hair_marcelwave-01": "马塞尔卷";
"cf_hair_medbob_01": "经典波波头";
"cf_hair_mullet_01": "80年代摇滚女郎";
"cf_hair_pigtails_01": "松散双马尾";
"cf_hair_pigtails_02": "编辫双马尾";
"cf_hair_pompadour-01": "蓬巴杜辫";
"cf_hair_ponytail-01": "复古风马尾";
"cf_hair_shortbob-02": "科幻波波头";
"cf_hair_vintagebob-01": "复古波波头";
"cf_hair_vintagebob-02": "复古妖姬";
"cf_hair_vintagebob-03": "50年代淑女风";
"cf_hair_vintagebob-04": "复古影星";
"cf_hair_vintageponytail": "复古拉拉队员";
"cf_hair_vintageshort-01": "复古短波";
"cf_hair_vintageshort-02": "玛丽莲卷";
"cf_hair_wavybob-01": "花之骑士";
"cf_hair_wavysidedo_01": "波浪偏分";
"cf_hand_80slacegloves": "蕾丝手套";
"cf_hand_handwarmers": "暖臂套";
"cf_hat_80shairbow": "更大蝴蝶结";
"cf_hat_amazontiara": "亚马逊后冠";
"cf_hat_bathtowel": "浴巾王冠";
"cf_hat_daisy": "乡村草帽";
"cf_hat_fpopstar": "流行帽";
"cf_hat_knitbrim": "宽檐针织帽";
"cf_hat_prairiebonnet": "草原遮阳帽";
"cf_lbdy_80sskirtleggings": "短裙与紧身裤";
"cf_lbdy_gympants": "运动裤";
"cf_lbdy_skinnyshortjeans": "牛仔七分裤";
"cf_mask_superhero01": "无肩带奇迹面具";
"cf_suit_50sfem": "50年代女童套装";
"cf_suit_alienfsol": "外星女兵";
"cf_suit_amazonoutfit": "亚马逊式护甲";
"cf_suit_animegirl": "少女甜心";
"cf_suit_bathtowel": "浴巾裹身";
"cf_suit_cavew": "史前美人";
"cf_suit_collegecoed": "姐妹会范儿";
"cf_suit_daisy": "性感乡妞";
"cf_suit_fempresident": "总统夫人";
"cf_suit_femsim": "模拟女英雄";
"cf_suit_jumpsuit02": "性感宇航服";
"cf_suit_popstar": "流行明星";
"cf_suit_prairiedress": "草原长裙";
"cf_suit_shaundisr2": "复古肖恩蒂";
"cf_suit_superhero01": "无肩带奇迹";
"cf_suit_superherob": "恶作剧小姐";
"cf_ubdy_80slacetanktop": "蕾丝背心";
"cf_ubdy_camisole": "蕾丝吊带";
"cf_ubdy_camisole2": "糖果女孩背心";
"cf_ubdy_hillstshirt": "无袖肩上衣";
"cf_ubdy_jacketcleavage": "春季夹克";
"cf_ubdy_turtleneck": "垂坠高领衫";
"cf_wrst_50sbracelet": "复古手镯";
"cf_wrstr_80sbracelet": "80年代手镯";
"cm_ap3_msspcl_eyes": "晨星帮专家眼镜";
"cm_blowupdoll": "充气人偶";
"cm_dkr01_hdphones": "迪克帮耳机";
"cm_dkr01_suit": "赛博帮士兵";
"cm_dlc_wwolf_foot_m": "狼人足";
"cm_dlc_wwolf_hand_m_suit": "狼人手套";
"cm_dlc_wwolf_hat_m_mask": "狼人面具";
"cm_dlc_wwolf_suit_m_suit": "狼人";
"cm_eyes_benking": "金式墨镜";
"cm_eyes_cucumbers": "水疗日";
"cm_eyes_eyepatch01": "独眼罩";
"cm_eyes_jgat": "盖特墨镜";
"cm_eyes_president_specs": "总统墨镜";
"cm_eyes_slglasses": "单眼镜";
"cm_eyes_squaretrendy": "护目镜";
"cm_foot_80shightops": "80年代滑板鞋";
"cm_foot_bathslippers": "毛绒拖鞋";
"cm_foot_benking": "金式便鞋";
"cm_foot_bootslowtrendy": "针织翻边靴";
"cm_foot_deckermatt": "迪克帮王者鞋";
"cm_foot_postapocman": "末世靴";
"cm_foot_president_shoes": "总统鞋";
"cm_foot_slshoes": "休闲步行鞋";
"cm_hair_50scleancut": "常规短发";
"cm_hair_50sgreaser": "油头哥";
"cm_hair_70smaleshort": "迪斯科商人";
"cm_hair_animegirl": "超可爱";
"cm_hair_animemale": "东洋风";
"cm_hair_beehive-01": "蜂窝头";
"cm_hair_benfranklin": "富兰克林头";
"cm_hair_buzzmature": "巴里奥斯头";
"cm_hair_choppybob-01": "层次波波头";
"cm_hair_fauxhawk": "仿鹰冠头";
"cm_hair_hifauxhawk": "高仿鹰冠头";
"cm_hair_highponytail_01": "高马尾提拉";
"cm_hair_highsculpted-01": "柔和精神朋克";
"cm_hair_johnnygat": "盖特头";
"cm_hair_mohawkshort": "短莫西干";
"cm_hair_mullet": "鲻鱼头";
"cm_hair_ponytailbraid_01": "编辫马尾";
"cm_hair_revolutionary": "革命发型";
"cm_hair_shortstraight-01": "短而直";
"cm_hair_shortwavy-01": "短而卷";
"cm_hair_shortwidowspeak": "男孩短发";
"cm_hair_styledfade": "渐变造型";
"cm_hair_superhero": "超级英雄发型";
"cm_hair_topknot_01": "发髻";
"cm_hair_wizfro": "蓬松爆炸头";
"cm_hand_leathertrendy": "皮手套";
"cm_hand_misfortune": "科技护手";
"cm_hand_postapocman": "末世手套";
"cm_hat_80sbandana": "钵卷";
"cm_hat_aisha": "艾莎帽";
"cm_hat_bandana01": "海盗头巾";
"cm_hat_beercap": "派对标配";
"cm_hat_bountyhunter": "赎金收缴者头盔";
"cm_hat_brahat": "西瓜头";
"cm_hat_donkey_mask": "驴面具";
"cm_hat_drivers": "卵石滩特别版";
"cm_hat_eagle_mask": "雄鹰面具";
"cm_hat_elephant_mask": "大象面具";
"cm_hat_elfsoldier": "精灵帽";
"cm_hat_gatliberty_mask": "自由女神盖特面具";
"cm_hat_hillbilly": "脏兮兮卡车司机帽";
"cm_hat_horse_mask": "马面具";
"cm_hat_misfortune": "浪子头盔";
"cm_hat_postapocman": "末世护目镜";
"cm_hat_santa01": "圣诞老人帽";
"cm_hat_shortsleggingscap": "学员帽";
"cm_hat_westernhat": "无名帽";
"cm_lbdy_80sparachutepants": "降落伞裤";
"cm_lbdy_benking": "本·金风格长裤";
"cm_lbdy_boardshorts01": "冲浪短裤";
"cm_lbdy_bountyhunter": "赎金收缴者长裤";
"cm_lbdy_cargoshorts": "工装短裤";
"cm_lbdy_deckermatt": "迪克帮王者长裤";
"cm_lbdy_europants": "凌乱长裤";
"cm_lbdy_hoochishorts": "黛西认证短裤";
"cm_lbdy_pegleg": "木腿";
"cm_lbdy_pegleg02": "双腿";
"cm_lbdy_piratepants02": "海盗裤";
"cm_lbdy_postapocman": "末世工装裤";
"cm_lbdy_president_slacks": "总统长裤";
"cm_lbdy_ridingpants": "骑行裤";
"cm_lbdy_slbottoms": "短裤与紧身裤";
"cm_lbdy_spacesmuggler": "淘气浪子长裤";
"cm_lp35b_mask_m_hero": "通用英雄面具";
"cm_lp35c_suit_m_hero": "沙漠居民长袍";
"cm_lp35c_suit_m_ninja": "紫罗兰忍者";
"cm_lp35e_eyes_m_entertain": "艺人墨镜";
"cm_lp35e_foot_m_entertain": "艺人鞋";
"cm_lp35e_lbdy_m_entertain": "艺人长裤";
"cm_lp35e_ubdy_m_entertain": "艺人衬衫";
"cm_lp35h_suit_f_fbot": "女机甲";
"cm_lp35h_suit_m_karate": "空手道眼镜蛇";
"cm_lp35i_foot_f_stpboots": "末世靴";
"cm_lp35i_hand_f_stpgloves": "末世手套";
"cm_lp35i_lbdy_f_stplegs": "末世长裤";
"cm_lp35i_ubdy_f_strapsshirt": "末世衬衫";
"cm_lp35k_head_m_bonesmask": "骷髅面具";
"cm_lp35k_suit_m_bones": "骨头装";
"cm_lp35l_head_m_flighthelm": "飞行头盔";
"cm_lp35l_suit": "飞行服";
"cm_lp35n_suit_m_block": "工匠矿工";
"cm_lp35n_ubdy_m_blockhead": "方块头";
"cm_lp35o_head_m_scigirl": "科幻少女头盔";
"cm_lp35o_suit_m_scigirl": "科幻幻想";
"cm_lp35p_eyes_m_forged": "锻造款";
"cm_lp35p_eyes_m_monoclel": "左单片镜";
"cm_lp35p_eyes_m_monocler": "右单片镜";
"cm_lp35p_eyes_m_morph": "变形";
"cm_lp35p_eyes_m_nerdy": "书呆子款";
"cm_lp35p_eyes_m_xray": "X光";
"cm_lp35q_hat_buttons": "纽扣";
"cm_lp35q_hat_reader": "学者帽";
"cm_lp35q_hat_spikes": "尖刺";
"cm_lp35q_hat_strainer": "滤勺帽";
"cm_lwrst_lhook01": "左勾拳 ";
"cm_mask_amazonion": "亚马逊面具";
"cm_mask_dubya": "小布什面具";
"cm_mask_fleur": "花之面";
"cm_mask_goalie01": "守门员面具";
"cm_mask_lincoln": "诚实林肯面具";
"cm_mask_obama": "奥巴马面具";
"cm_mask_superhero04": "怒火V面具";
"cm_mask_washington": "开国总统面具";
"cm_mask_zynyak": "齐尼亚克面具";
"cm_msspcl_suit": "晨星帮专家";
"cm_pack_bountyhunter": "赎金收缴者火箭背包";
"cm_rwrst_rhook01": "右勾拳";
"cm_suit_agenttux": "特工西装";
"cm_suit_aisha": "艾莎套装";
"cm_suit_aliensoldier": "外星大兵";
"cm_suit_anime": "热血少年";
"cm_suit_bountyhunter": "赎金收缴者套装";
"cm_suit_caveman": "石器时代猛男";
"cm_suit_cid": "CID套装";
"cm_suit_coedmale": "学院休闲装";
"cm_suit_digidino": "数码恐龙";
"cm_suit_dombondage": "调教我";
"cm_suit_elfsoldier": "精灵套装";
"cm_suit_f_goth": "哥特时装";
"cm_suit_f_hero": "钢埠女英雄套装";
"cm_suit_f_llk": "猫女套装";
"cm_suit_f_mighty": "少女战士套装";
"cm_suit_f_space": "太空公主";
"cm_suit_f_warprc": "战斗公主装甲";
"cm_suit_f_witch": "并不那么邪恶套装";
"cm_suit_goalie01": "饼板守门员";
"cm_suit_golf": "开球！";
"cm_suit_goo01": "黏糊糊";
"cm_suit_gsp": "源氏太空皮条客";
"cm_suit_hillb": "乡巴佬";
"cm_suit_jgat": "盖特套装";
"cm_suit_jumpsuit01": "宇航服";
"cm_suit_m_eva": "EVA宇航服";
"cm_suit_m_falcon": "钢埠英雄套装";
"cm_suit_m_fun": "欢乐时光套装";
"cm_suit_m_hero2": "通用英雄套装";
"cm_suit_m_rainbow": "彩虹骑士";
"cm_suit_m_roddy": "罗迪·派珀套装";
"cm_suit_m_rugged": "拾荒套装";
"cm_suit_malesim": "模拟服";
"cm_suit_misfortune": "钢铁浪子套装";
"cm_suit_papoc": "公路野蛮人";
"cm_suit_robomonkey": "机器黑猩猩";
"cm_suit_saloonbarista": "野店女郎";
"cm_suit_santa01": "圣诞老人套装";
"cm_suit_spacesmuggler": "淘气浪子套装";
"cm_suit_superhero03": "异界人";
"cm_suit_superhero04": "怒火V";
"cm_suit_team6body": "零圣徒三十";
"cm_suit_warden": "典狱长";
"cm_suit_washington": "爱国者";
"cm_suit_western": "无名氏套装";
"cm_suit_zynyak": "齐尼亚克套装";
"cm_toilet": "马桶";
"cm_ubdy_80sjacket": "刺激夹克";
"cm_ubdy_apologyt": "我只得到了这件破T恤";
"cm_ubdy_bballjersey": "圣徒球衣";
"cm_ubdy_benking": "金式西装外套";
"cm_ubdy_bountyhunter": "赎金收缴者装甲";
"cm_ubdy_deckermatt": "迪克帮王者夹克";
"cm_ubdy_dlm": "死亡之巢连帽衫";
"cm_ubdy_fbitchtee": "雀斑妞T恤";
"cm_ubdy_ffiretee": "友军误伤T恤";
"cm_ubdy_fleurs": "芙勒帽衫";
"cm_ubdy_genkitee": "源木飞溅T恤";
"cm_ubdy_hooddecker": "迪克帮连帽衫";
"cm_ubdy_jeanvest": "牛仔马甲";
"cm_ubdy_joecolatee": "乔可乐T恤";
"cm_ubdy_nolovetee": "没人爱我T恤";
"cm_ubdy_oldsteeltee": "旧钢埠T恤";
"cm_ubdy_pirate02": "海盗衬衫";
"cm_ubdy_plaintee": "基础T恤";
"cm_ubdy_postapocman": "末世装甲";
"cm_ubdy_president_vest": "总统套装";
"cm_ubdy_pretendtee": "假装在扮演T恤";
"cm_ubdy_puffycoat01": "羽绒夹克";
"cm_ubdy_puffyvest01": "羽绒马甲";
"cm_ubdy_rustytee": "拉斯蒂针管T恤";
"cm_ubdy_saintofsaints": "圣徒中的圣徒T恤";
"cm_ubdy_sltop": "玛丽·安";
"cm_ubdy_spacesmuggler": "淘气浪子马甲";
"cm_ubdy_springjackettrendy": "束带皮夹克";
"cm_ubdy_stag": "雄鹿帽衫";
"cm_ubdy_sweat3rdst": "第三街运动衫";
"cm_ubdy_sweatmurder": "谋杀乱斗运动衫";
"cm_ubdy_sweatsaints": "圣徒之翼运动衫";
"cm_ubdy_sweatstilwater": "斯提尔沃特运动衫";
"cm_ubdy_sweatvoli": "VOLISKULL运动衫";
"cm_ubdy_uglyxmas": "圣诞快乐";
"cm_ubdy_ultortee": "ULTOR公司T恤";
"cm_ubdy_vnecksweat": "修身V领";
"cm_ubdy_volition": "V字连帽衫";
"cm_udwr_testtypea": "！！测试内衣A！！";
"cm_udwr_testtypeb": "！！测试内衣B！！";
"cm_wrstl_benking": "金式手表";
"decker_sword": "夜曲";
"dildo_bat": "按摩棒球棒";
"dlc1_m01_failure_pierce_died": "皮尔斯死了！";
"dlc1_m02_failure_donnie_died": "唐尼死了！";
"dlc_suit_freckleb": "弗莱克尔碧池斯外卖妹";
"female_athletic": "女·健美";
"female_average": "女性标准";
"female_bodybuilder": "女·健美";
"female_obese": "女·肥胖";
"female_overweight": "女性超重";
"female_slender": "女·纤瘦";
"grenade_electric": "电击手雷";
"m02_failure_car_destroyed": "逃生载具被摧毁了！";
"m02_failure_homie_dismissed": "你离开了警长！\n履行你的总统职责！";
"m09_failure_homie_dismissed": "皮尔斯被弃置了";
"m09_failure_pierce_died": "皮尔斯阵亡";
"m09_open_container": "打开集装箱";
"m11_failure_asha_died": "阿莎阵亡！";
"m14_failure_cid_died": "CID死了！\n你必须保护他！";
"m20_failure_angel_heli_destroyed": "直升机被毁！";
"m20_failure_gat_died": "盖特阵亡！ ";
"m20_failure_homie_dismissed": "小弟被遣散了！ ";
"m20_failure_shaundi_died": "肖恩蒂阵亡！";
"m21_failure_cid_died": "CID阵亡！ ";
"m21_failure_shaundi_died": "肖恩蒂阵亡！ ";
"m21_failure_tank_destroyed": "坦克被摧毁了！";
"m22_2_out_of_time": "未能及时逃脱";
"m22_2_portal_destroyed": "传送门已被摧毁！";
"male_athletic": "男性运动";
"male_average": "男·普通";
"male_bodybuilder": "男·健美";
"male_obese": "男·肥胖";
"male_overweight": "男·超重";
"male_slender": "男·纤瘦";
"menu_map": "地图";
"mission_failed": "任务失败！";
"mm_1_2_failure_donnie_died": "唐尼阵亡！";
"mm_3_2_failure_donnie_died": "唐尼阵亡！";
"mm_3_3_failure_ufo_abandon": "你离开了幽浮！";
"mm_3_3_failure_ufo_destroyed": "幽浮被摧毁了！";
"mol_kz_01_failure_kinzie_died": "金吉死了！";
"mol_mm_01_failure_bike_destroyed": "夜刃的摩托被摧毁了！";
"mol_mm_01_failure_car_destroyed": "你的车被摧毁了！";
"none": "无";
"pause_voice_tut": "语音指令";
"player_lips": "口红";
"player_lips_gloss": "唇彩";
"sh03_failure_defend": "你抛弃了你的兄弟们！";
"sh03_failure_homie_dismissed": "皮尔斯被遣散了！";
"sh03_failure_pierce_died": "皮尔斯死了！";
"tat_neck_fleur": "圣徒花";
