# TODO: Translate to Simplified Chinese
# Source: customize_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 2702

"HASH_F5497400": "极度不合逻辑"
"HASH_290A4EFA": "#FIAJ"
"HASH_39CDE2FA": "深紫染"
"HASH_66B946FA": "鲜梅紫"
"HASH_B85662FA": "服帖爆炸头"
"HASH_CC3780FA": "右眉环"
"cm_wrstl_benking": "金式手表"
"cm_eyes_benking": "金式墨镜"
"Gray": "灰色"
"HASH_A542CAFB": "潮人墨镜"
"HASH_62FE68FB": "背负的十字"
"HASH_1E8016FB": "死亡使者"
"HASH_9C694EFB": "后收"
"HASH_D5F022FC": "耳朵外展"
"HASH_8BBADCFC": "油嘴滑舌 "
"HASH_84C356FC": "雪花石膏"
"HASH_621A2EFC": "薄荷炭绿"
"HASH_9733FEFC": "尘红"
"HASH_C71E10FC": "考拉潮鞋"
"HASH_F29476FC": "痣 1"
"HASH_253C0AFD": "工业"
"HASH_0CC7E0FD": "引擎盖"
"HASH_6C3560FD": "春日休闲"
"HASH_C8ABA2FD": "前科犯"
"HASH_43793EFD": "钢埠英雄手套"
"HASH_0AB47CFD": "空手道靴"
"HASH_C42EBCFF": "黑白"
"HASH_30603AFF": "是时候办一场圣徒主题街区派对了。"
"HASH_1C94F0FF": "缎面亮白"
"HASH_F741A6FF": "嬉皮锐舞客"
"HASH_450D4700": "迷彩"
"HASH_F26C0700": "扫射然后求神保佑吧，宝贝。"
"HASH_E7A03300": "海洋霸主"
"HASH_F0926300": "赛博圣徒"
"cm_hat_elephant_mask": "大象面具"
"HASH_BC00D300": "紫罗兰 7"
"HASH_11F70701": "抛射物速度"
"HASH_10F3EB01": "精准度"
"HASH_79FF2B01": "绿色迷彩"
"HASH_71A8A101": "惹火之物"
"HASH_0D1E6F01": "饰条颜色"
"HASH_1C36DB01": "劈砍者"
"HASH_5184C501": "无政府手镯"
"HASH_5C80DD01": "黄色 4"
"HASH_B9DC2302": "圣徒惊艳"
"HASH_ACDB8902": "男性 3"
"HASH_AA95F902": "触动我心"
"HASH_0BFC3F02": "T-Roy 风"
"Brunette": "深棕发"
"HASH_D8D17903": "镶金边"
"HASH_57445503": "华夫蛋筒"
"HASH_1F245503": "男性"
"HASH_787E5703": "蒸汽朋克斗士"
"cm_hat_shortsleggingscap": "学员帽"
"HASH_2B1CE704": "沙滩闲人"
"HASH_89946F04": "西班牙胡"
"HASH_CAB79505": "武器从此再也不需要重新蓄能。"
"HASH_D20F8105": "绯闻圣徒丁字裤"
"HASH_744E4905": "刚睡醒"
"HASH_5B388B06": "车灯"
"HASH_B3792D06": "街头聪明"
"HASH_1093ED06": "时髦裤"
"HASH_8F31DB06": "左眉环"
"HASH_EBE6E106": "Z 风大金链"
"HASH_D7A95706": "总统胡扯"
"cm_lp35i_foot_f_stpboots": "末世靴"
"cm_lbdy_spacesmuggler": "淘气浪子长裤"
"HASH_6F605D06": "藏械"
"HASH_FF073107": "亮紫"
"HASH_0ADEC508": "逃亡者"
"HASH_06543D09": "T恤"
"HASH_2BC59109": "圣徒队球衣"
"HASH_AC5EDD09": "蒸汽朋克靴"
"HASH_2031B109": "困于蛛网"
"HASH_CF5D4509": "上背"
"HASH_4BDC790A": "整个背部"
"Paint": "喷漆"
"CUST_VARIANT_10_DEFAULT": "变体 10"
"HASH_E6F77B0A": "复古翼尖鞋"
"HASH_D04EFB0A": "嘻哈牛仔裤"
"cm_hat_gatliberty_mask": "自由女神盖特面具"
"HASH_9529970A": "鞋子"
"HASH_876E3B0B": "白人 1"
"HASH_3EB2970B": "妆容"
"HASH_617EA50C": "年龄预设"
"HASH_7794110C": "鼓掌"
"HASH_81E5930C": "染色 20%%"
"HASH_6D54BD0C": "名媛"
"HASH_A00D310C": "自然之筏"
"HASH_D920710C": "牙刷须"
"HASH_20EF350D": "射速"
"HASH_4EC61D0D": "出租车"
"HASH_04B4FB0D": "如果我们被一家叫“深褐紫”的公司收购，这套皮肤可就没这么好看了。"
"HASH_D280F10D": "来点这个"
"HASH_F51DE90D": "空手道手套"
"HASH_79E72D0D": "蓝紫 1"
"HASH_84A66F0E": "后坐力"
"HASH_14449D0E": "由内而外，金子般舒爽！"
"HASH_25C4850E": "美式红"
"HASH_E105250E": "僵尸"
"HASH_37A4C70F": "奔向光明……"
"HASH_FA446B0F": "转管机枪"
"HASH_EE54A10F": "五官"
"Logo": "标志"
"Presidential Male": "总统先生"
"HASH_18FE3B0F": "鼻青脸肿"
"HASH_32E6110F": "眼镜"
"HASH_89677B10": "亚洲 4"
"HASH_9707CF10": "眼睛"
"HASH_7DBF3110": "眼线"
"HASH_C2085F10": "其他"
"HASH_269BDB10": "贴花 8"
"HASH_FD8EFB10": "异域"
"HASH_5F9B9910": "合身羊绒 V 领"
"HASH_AAD28B10": "硬摇滚"
"HASH_3BF62910": "钢管舞者高跟鞋"
"HASH_B5751310": "跟踪狂墨镜"
"HASH_275C7510": "死亡使者"
"HASH_1B524111": "武器伤害现在随过热等级提升。"
"HASH_D3643111": "车门"
"HASH_9FBBA511": "皮革与蕾丝"
"HASH_BB3FD511": "朋克无政府夹克"
"cm_hair_fauxhawk": "仿鹰冠头"
"HASH_4F592511": "蓝色 8"
"HASH_BDCB8712": "杠杆式"
"HASH_8003FF12": "高加索 5"
"EXIT": "退出"
"HASH_A2024512": "扭矩"
"HASH_3B743F12": "摇杆狂魔密令服"
"HASH_E7F79B12": "钢埠女英雄紧身裤"
"HASH_C381D513": "猩红场面"
"HASH_8E6A0713": "这是把爆能枪。穿在你衣服上。这又不是什么火箭科学。"
"HASH_E0DB3713": "核熔毁面具"
"HASH_7B2F3D13": "醒后吸一口连帽衫"
"HASH_4548E913": "亮蓝绿"
"HASH_82031714": "鼻尖间距"
"HASH_15A40F14": "点头"
"HASH_A01AD714": "底盘"
"HASH_42063514": "狩猎导游"
"HASH_A2AD9914": "连帽衫戴帽配衬衫领带"
"HASH_3418E714": "整洁一身"
"HASH_1AEDF314": "朋克摇滚"
"HASH_B79A6F14": "火蜥"
"HASH_7E8AE914": "蓝紫 5"
"HASH_BF165314": "体毛"
"HASH_70F9D515": "杰西卡"
"cf_suit_shaundisr2": "复古肖恩蒂"
"HASH_A760F515": "死神王牌"
"HASH_DE4DB515": "V 形须"
"HASH_F0B5D715": "绿色 9"
"HASH_B8F80D16": "女性 3"
"HASH_9DB0E516": "珠光漆"
"HASH_C098E116": "尖叫者"
"HASH_9AF2FD17": "轮辋套组 12"
"HASH_93E8FB17": "鸢尾链"
"HASH_B622C517": "淡蓝"
"HASH_E67A2F18": "双下巴间距"
"HASH_51E1FB18": "毛绒骰子"
"HASH_8E46C118": "朋克摇滚舞娘"
"HASH_2BA20718": "山丘长裤"
"cm_ubdy_genkitee": "源木飞溅T恤"
"HASH_F8A76519": "鼻尖高低"
"HASH_90EB2319": "杀戮时光手套"
"cm_ubdy_oldsteeltee": "旧钢埠T恤"
"HASH_BB6D1719": "紫罗兰 3"
"HASH_7FABC119": "上身"
"HASH_9AE81D1A": "慢燃红"
"HASH_F992CD1B": "忍者"
"HASH_638DFF1B": "鲨咬戒指"
"HASH_7EA0F51C": "鼻子高低"
"HASH_EE4C371C": "空白"
"HASH_09808B1C": "诗人帽"
"HASH_EDA6531C": "派对长毛靴"
"HASH_2A19CB1C": "都市狩猎厚底鞋"
"HASH_8B09211D": "后段改装"
"HASH_A3B3A31D": "锈棕"
"HASH_3739091D": "狼"
"Lets Pretend Female E": "战术少女"
"HASH_ABB2271D": "高帮鞋"
"HASH_8887531D": "隐藏之恶"
"HASH_8EF9AB1D": "下巴条须"
"HASH_159C9D1E": "卫冕冠军"
"HASH_1E740D1E": "怪癖"
"HASH_3D60371E": "网络墨镜"
"HASH_3FA3111E": "桶盔"
"cm_suit_cid": "CID套装"
"HASH_338E8D1E": "怪装客"
"HASH_9B24991F": "饰条 3"
"HASH_BB91B71F": "喷漆 1"
"HASH_31C0351F": "妖女项圈"
"HASH_E504F31F": "眉毛"
"HASH_D08E5920": "圣徒帽"
"HASH_34542B21": "底盘灯颜色"
"HASH_21960D21": "深青染"
"HASH_E7A5C722": "天体"
"HASH_2FD04D23": "穿透射击"
"HASH_500CF523": "专治各路疯子"
"HASH_BFFDE723": "染色"
"HASH_91602D23": "公路霸王"
"HASH_E9C32723": "红衣主教帽"
"cm_ubdy_hooddecker": "迪克帮连帽衫"
"HASH_34CEF323": "英雄衬衫"
"cm_hat_horse_mask": "马面具"
"cf_hair_longstraight-06": "自由之爱"
"HASH_961AC123": "红橙 6"
"HASH_3FA2B924": "你穿上格纹了！"
"HASH_6A826924": "前大灯"
"HASH_E899C924": "钢埠英雄靴"
"HASH_27EBB124": "黑色"
"HASH_46F94924": "蓝绿 6"
"HASH_2CE2B725": "高压电"
"HASH_DB36BD26": "真言"
"HASH_4E8D8D26": "深红金属"
"HASH_F891EB26": "MAD DECENT 106.9"
"HASH_588EB126": "演艺人"
"HASH_4CDDBD26": "南海滩"
"HASH_6C9A8F26": ""
"HASH_4EFBE327": "地下精灵"
"HASH_7E225D27": "竖大拇指"
"female_slender": "女·纤瘦"
"HASH_5B9A3127": "虫虫特工戒指"
"HASH_D78BA727": "都市猎装高领款"
"HASH_D0963D27": "警探须"
"HASH_E2D65127": "小伤疤 1"
"HASH_FE6E5F27": "绿色 1"
"HASH_6F385528": "队友火力"
"HASH_75A19B28": "耳卷"
"HASH_AF03C328": "虹彩 3"
"HASH_39A70928": "深黄"
"HASH_1C762D29": "全收口·消音"
"HASH_CEB5A129": "全身涂装"
"cm_ubdy_benking": "金式西装外套"
"cm_ubdy_80sjacket": "刺激夹克"
"HASH_57E8C129": "红色 3"
"HASH_99A3492A": "死亡即生命"
"HASH_4CE3C52A": "红衫特供"
"HASH_C7DD1F2A": "武器"
"HASH_B015132A": "Z 风"
"HASH_2CBEF32A": "血染海域"
"HASH_5536912A": "黄色 8"
"HASH_7B094F2B": "商务西装外套"
"HASH_7CC7CD2B": "太空公主手套"
"HASH_7E33A32B": "草莓金发"
"HASH_F1A9412B": "胡须"
"HASH_9AAFFB2C": "紫色"
"HASH_B0E64F2C": "发型"
"HASH_AD2D492C": "右勾拳"
"HASH_A6567F2C": "液压系统"
"HASH_A4364B2C": "懒鬼连帽衫"
"cm_suit_jumpsuit01": "宇航服"
"cf_hair_vintageshort-02": "玛丽莲卷"
"HASH_F626F72D": "肩扛式，24K纯金的世界末日"
"HASH_EDA0F32D": "TNSLB"
"HASH_BACF612D": "嘻哈传奇"
"HASH_66D6112D": "断翼"
"HASH_7EF4E52D": "绿色"
"HASH_C884252E": "病态黄"
"HASH_D3859D2E": "水银"
"HASH_FF832F2E": "铸铁"
"HASH_175B4B2E": "80 年代崩坏"
"HASH_7DEC3F2E": "真·魅惑"
"cm_eyes_cucumbers": "水疗日"
"cf_hair_longbouffant_01": "长蓬巴杜"
"HASH_BF2DA92F": "眼球高低"
"HASH_49D6072F": "Z 式潮男视界"
"HASH_BA4E492F": "靶心"
"HASH_63C4B530": "车窗护栏"
"cf_lbdy_skinnyshortjeans": "牛仔七分裤"
"HASH_50850530": "红色 7"
"HASH_667C4731": "已拥有"
"HASH_45744F31": "杂项色"
"HASH_FCFCC131": "拳击绷带"
"HASH_6B85C131": "外星存在耳环"
"HASH_F7DDDD31": "毛衣马甲配衬衫"
"HASH_CFE2ED31": "钢铁圣徒"
"HASH_DBC25131": "疣 2"
"HASH_0B1E2132": "黄色"
"HASH_33617D33": "英雄之选。"
"HASH_F92FB133": "深粉染"
"HASH_6A722734": "主色"
"HASH_42A55F34": "喷漆 1"
"HASH_B1246534": "内饰 1"
"HASH_075A0B34": "樱桃炸弹"
"HASH_20D7A135": "能量棒冰"
"HASH_1C2AD135": "起舞时分"
"HASH_C003D135": "锐舞 X 糖果构造"
"HASH_CE6B1D35": "女式运动上衣（拉起）"
"cm_suit_f_mighty": "少女战士套装"
"HASH_495C7536": "啊，真是异想天开！"
"HASH_7EBF7536": "下唇侧大小"
"HASH_CADDAB36": "头部"
"HASH_D0885F36": "坏女孩靴"
"HASH_6D407136": "动漫猫娘"
"HASH_1800ED36": "庆祝生命"
"HASH_BD238D36": "喵喵吻"
"HASH_CFE9E137": "恶魔红"
"cf_hair_medbob_01": "经典波波头"
"HASH_E0F0CD38": "执法者的首选。"
"HASH_AB600738": "钢色"
"HASH_D2D95B38": "男式罚球球衣"
"HASH_3F512139": "当你需要回到中世纪的时候。"
"HASH_7BE56B39": "下唇中部大小"
"HASH_0B99E539": "挡泥裙"
"HASH_A34E6339": "仪表台"
"HASH_5A78C739": "棉花糖大衣"
"cm_suit_f_witch": "并不那么邪恶套装"
"HASH_A395513A": "喇叭黄"
"HASH_59EC7B3A": "细链"
"HASH_C2C5093A": "未来战士手套"
"cf_hair_longstraight-02": "层次直发"
"HASH_9177053A": "红橙 2"
"HASH_46EF693A": "蓝色 4"
"HASH_C671453B": "此武器发射的“Wub”现在会爆炸。"
"HASH_6BD6A33B": "厌恶"
"HASH_2F2D973B": "贴花 4"
"Doctor Rogue": "钢铁浪子"
"HASH_68AC173B": "鲨鱼咬帽"
"HASH_3A0B353C": "镀金"
"HASH_7E8A873C": "数码迷彩"
"HASH_1D6C1F3C": "橘子橙"
"HASH_E67E153C": "摔跤手面具"
"HASH_8DED4D3C": "狗狗式"
"HASH_86DE233C": "都市猎装七分袖 T恤"
"cm_lbdy_slbottoms": "短裤与紧身裤"
"HASH_B5E5AF3C": "HAPPO手里剑"
"HASH_AB05913D": ".45弗莱彻"
"HASH_AAD9CB3D": "去你的"
"HASH_62AEF53D": "灰岩灰"
"HASH_6C9B973D": "卡其绿"
"HASH_334F313D": "艳粉"
"HASH_7617EB3D": "为你燃烧"
"HASH_3F1BEF3D": "加油！队毛衣"
"HASH_41948D3D": "蓝绿 2"
"HASH_EADCF33E": "野性十足！"
"HASH_3AF7E73E": "眉尾高低"
"HASH_4996273E": "冰封蓝"
"HASH_75D9633E": "车牌"
"cm_ubdy_ultortee": "ULTOR公司T恤"
"HASH_AA92473E": "自然男眉"
"HASH_E5BB953E": "大伤疤 1"
"HASH_F9039B3E": "绿色 5"
"HASH_0FA6CD3E": "头部"
"HASH_1940993F": "经典迷彩外观"
"HASH_773CA53F": "蓝紫 9"
"HASH_EA359540": "镀金"
"HASH_3EB12340": "穿透者"
"HASH_21D45D40": "荷马"
"HASH_262C4340": "鼻子"
"HASH_B0031F40": "四年级"
"HASH_8CC22B40": "体型"
"Nobody Loves Me Female H": "糖果女孩"
"HASH_F27F0540": "年轻士兵"
"HASH_FBF73941": "女魔头"
"HASH_DF6EB341": "太阳之子"
"HASH_87894741": "恶魔圣徒"
"HASH_E1389D41": "指甲油  "
"HASH_05601F41": "拔过度"
"HASH_152F6742": "整个左臂"
"cm_hair_wizfro": "蓬松爆炸头"
"cm_foot_deckermatt": "迪克帮王者鞋"
"HASH_CF2CAD43": "眼睛"
"HASH_8FCFA143": "耳朵宽度"
"HASH_63954D43": "詹金斯"
"HASH_ACC29943": "球衣女孩圆环"
"HASH_504A8D43": "啦啦队长"
"HASH_201AF944": "狂怒橙"
"HASH_BC0E8B44": "合金"
"HASH_30E96144": "日常眼线"
"HASH_5D27ED45": "数码迷彩"
"HASH_A9696B45": "是时候办一场迷彩主题街区派对了。等等……什么？"
"HASH_B3E9C345": "惊艳"
"HASH_ED191D45": "灰色"
"HASH_B5288146": "爆炸Wub"
"HASH_1DCA0746": "板岩灰"
"HASH_A2FCCD46": "丧尸衬衫"
"HASH_51EFEB46": "STAG 套装"
"HASH_67BD0346": "女式运动上衣（放下）"
"HASH_95065146": "法外之贼"
"HASH_6B9D2746": "痣 2"
"HASH_AC9BED46": "血宴"
"HASH_670EAB46": "帽子"
"HASH_86FFD747": "给你点迈达斯点金术"
"HASH_974DE547": "TOUCHSTONE 40口径"
"HASH_BC355B47": "流行巨星"
"HASH_F7BCA947": "女孩打架紧身裤"
"HASH_51A2F347": "蒸汽朋克斗士"
"HASH_2A73AF48": "深银"
"HASH_B8400D48": "腐绿"
"M11_Cloning_Room_BM": "亮漆"
"HASH_91F42748": "南海滩飞行墨镜"
"HASH_DF6C4B49": "啊呀，她是把好枪！"
"HASH_271A3D49": "白金"
"HASH_FC926749": "染色 70%%"
"cm_lp35p_eyes_m_xray": "X光"
"cf_hair_pigtails_02": "编辫双马尾"
"HASH_38FF5749": "整个前胸"
"HASH_176F754A": "使武器抛射物移动更快"
"HASH_F3AED94A": "羽绒大衣"
"HASH_7EBFC54A": "猩红女院长"
"HASH_9739414B": "外星武器从没这么好看。"
"HASH_4C2A034B": "组件底盘"
"cm_lp35p_eyes_m_monocler": "右单片镜"
"HASH_319FBF4B": "紫色"
"HASH_DCAEB14B": "亮粉"
"HASH_1039E34C": "这是辛族的bling！“辛bling”是个有趣的词。辛bling！"
"HASH_276AB94C": "给有品位的恶棍准备的平价杀伤力"
"HASH_B071814C": "淡绿染"
"HASH_0528194C": "街头舒适文胸"
"HASH_6297614C": "坏警察耳环"
"HASH_3E1FA74C": "OG 卫衣（拉起）"
"Ben King Outfit": "金式风格"
"HASH_2CA55D4C": "六连发"
"HASH_0226B14C": "深夜"
"HASH_18A63D4C": "黄绿 2"
"HASH_5637434D": "蓄能速率"
"HASH_6AA1434D": "绿刃"
"HASH_2DA8274D": "染色 100%%"
"HASH_4E79154D": "快乐锐舞裤"
"cm_lp35b_mask_m_hero": "通用英雄面具"
"HASH_EFB6534D": "额绷带"
"HASH_F83EC74E": "镀金"
"HASH_45B3B94E": "橡皮筋枪"
"HASH_80B1B94E": "耳朵"
"HASH_1215C74E": "复古格调"
"HASH_B9BB7D4E": "涟漪枢纽第三街"
"HASH_40EB774E": "支脚裤"
"cm_lp35o_head_m_scigirl": "科幻少女头盔"
"HASH_9655634E": "骨纹"
"HASH_A299B74E": "黄橙 7"
"HASH_55AEBD4F": "“砰”的一声，坏蛋没了！"
"HASH_DFC78B4F": "后轮辋"
"HASH_0769174F": "王朝蓝"
"Paint_2": "喷漆 2"
"HASH_CAAB0F4F": "贴花 8"
"cf_suit_femsim": "模拟女英雄"
"cf_hair_longwavy_02": "舞会皇后"
"HASH_C136194F": "绿猫"
"HASH_0664C150": "'美利坚"
"HASH_76342150": "车窗"
"HASH_CC449550": "淡棕染"
"HASH_32F8D550": "机车手套"
"HASH_20994750": "女机甲头盔"
"HASH_81987751": "我们的武器美术师需要专业援助。"
"HASH_D3019351": "不适用于儿童"
"HASH_405E7B51": "半机械手枪"
"HASH_B3D12951": "耳朵角度"
"HASH_B71E5D51": "种族"
"HASH_F138C551": "椰棕"
"HASH_60F55751": "秀出你的枪 臂带"
"HASH_0DAECB51": "露趾高跟鞋"
"HASH_03269751": "深紫"
"HASH_2B8E4551": "克罗马农"
"HASH_E58E9152": "透明而致命"
"HASH_E8E7C552": "邪恶"
"CUST_RACE_WHITE": "白色"
"HASH_DFFD9B52": "保险杠"
"HASH_D4035352": "橙色 4"
"HASH_556D5953": "机车夹克"
"HASH_18FFBF53": "祭坛男孩法衣"
"cm_lbdy_president_slacks": "总统长裤"
"HASH_ABD70F54": "鼻中隔高低"
"HASH_1685C154": "额头"
"HASH_6B04B554": "闺蜜右环"
"HASH_DE2D6B54": "网络战斗靴"
"HASH_4020A954": "永远狂野"
"HASH_826BFB55": "钻石纹板"
"HASH_1C619155": "表达你对最爱武器店的热爱。"
"HASH_B0E19755": "鼻子"
"HASH_7D074755": "皇室紫"
"HASH_68987B55": "邻居开衫"
"cm_hair_topknot_01": "发髻"
"HASH_2BC89955": "寻求宽恕"
"HASH_1FCBF955": "黄绿 6"
"HASH_CBE1A356": "令人不安的事物如今也有柔和的粉彩了。"
"HASH_295A2356": "配色方案"
"HASH_B3481156": "工业"
"HASH_24695556": "僵尸冰球"
"HASH_CEC20156": "已婚"
"cm_hair_ponytailbraid_01": "编辫马尾"
"HASH_32062156": "小片线须"
"HASH_020B7557": "方块枪"
"Lets Pretend Male M": "绅士燕尾服与礼帽"
"HASH_739A0F57": "经典条纹手镯"
"HASH_D84D4B57": "摇滚之爱"
"HASH_FC5F0557": "天外来客戒指"
"HASH_9138A757": "L E F T"
"HASH_A5F47357": "黄橙 3"
"HASH_A5847B58": "眼球深度"
"HASH_C9E53958": "热粉低腰"
"HASH_168DBF58": "涟漪枢纽 扫黑组 T恤"
"HASH_E9243358": "特别调查员"
"HASH_F99F7D58": "都市软呢帽"
"Auburn": "红棕发"
"HASH_FC9AFD58": "祈祷吧"
"HASH_D8037758": "罗宁帮陨落"
"HASH_80E48358": "随波逐流"
"HASH_020DDB58": "浓密女眉"
"HASH_C3779F58": "棕色"
"HASH_07A5C759": "源木"
"HASH_B76EDB59": "宠物侦探"
"HASH_607D1B59": "卡巴纳帽"
"HASH_23719959": "巴黎 T台高领衫"
"HASH_81698959": "面部佩戴"
"HASH_E44EC15A": "女性"
"HASH_64F8895A": "钞票花花公子"
"HASH_B4EC275A": "摩登大衣夹克配领带"
"cm_suit_m_rugged": "拾荒套装"
"HASH_7C6C955A": "狡黠"
"HASH_2F7C855A": "自然眼"
"HASH_A9B7E75B": "伤害"
"HASH_7A9F7B5B": "狂野帽"
"cf_lbdy_gympants": "运动裤"
"cf_hair_vintagebob-04": "复古影星"
"HASH_C3AD915C": "侵犯者"
"HASH_4E197B5C": "倒栽葱"
"HASH_F2C1875C": "圣徒"
"HASH_F53C5B5D": "你会把眼睛打瞎的。"
"HASH_227B315D": "颅后深度"
"HASH_896F075D": "嘴部宽度"
"HASH_B3937F5D": "武器 1"
"HASH_3A9C215D": "烈火流星"
"HASH_B7DC415D": "破旧长裤"
"HASH_B063155D": "深黄绿"
"HASH_A3C0E35E": "悬架类型"
"HASH_B5DB515E": "主要表面"
"HASH_56CF375E": "谋略混搭"
"HASH_EF0C7B5E": "船长手套"
"HASH_F026CD5E": "流浪汉手套"
"HASH_C038255F": "下眼睑高度"
"HASH_A2097F5F": "展翅高飞"
"HASH_926B955F": "圣徒升天"
"HASH_6CF0E35F": "痣 6"
"HASH_9E8F0D60": "无论你开的是什么枪，都得亮出身份。"
"HASH_03505360": "为载具加装氮气，在急需时爆发速度。"
"HASH_FDAF9B60": "兄弟潮鞋"
"HASH_537C0F60": "左眉钉与鼻钉"
"HASH_718FB760": "朋克眼线"
"HASH_993D3761": "发饰颜色"
"HASH_641D5961": "尾翼"
"HASH_E13A3D61": "杀霸面具"
"HASH_B5477561": "项圈链"
"HASH_22418561": "偏分短发右"
"HASH_F2777761": "经典条纹手镯"
"HASH_32613361": "骷髅长裤"
"HASH_4D8D9961": "蜘蛛咬痕"
"HASH_996CB562": "绅士礼帽"
"HASH_D8C1AF62": "运动上衣组合"
"HASH_4CDD5F62": "糖果女孩短裙"
"HASH_66F85B62": "山丘高领衫"
"HASH_A169F962": "拉斯塔发式"
"HASH_0589DD62": "歌舞伎"
"cm_suit_m_eva": "EVA宇航服"
"HASH_22837F62": "履带纹"
"HASH_A4EA7B62": "金发"
"HASH_D06E4562": "耳饰"
"HASH_5D1D3763": "噼呜！噼呜！噼呜！"
"HASH_8B2C2363": "引擎"
"HASH_729C6963": "选项 6"
"HASH_37096563": "橡胶"
"HASH_6A8A6963": "轮辋套组 4"
"HASH_E36C8D63": "内饰"
"HASH_24990F63": "勇气"
"HASH_D676D564": "镀金"
"HASH_1319B364": "闪亮！"
"HASH_47594564": "非裔 1"
"HASH_C31D4364": "贴花 4 "
"HASH_3CDDA964": "亲和络腮胡"
"HASH_5D598F64": "紫红 7"
"HASH_93512364": "棕色 6"
"HASH_EDD22365": "双杀"
"HASH_6CCEA965": "颧骨高度"
"HASH_E6C44965": "圣徒紫"
"HASH_A41DAF65": "牛仔裤"
"HASH_63F8BD65": "欧式朋克长裤"
"HASH_86175165": "摇摆风"
"HASH_FA056565": "复制人"
"HASH_C0A40565": "野猫"
"HASH_CA0FD766": "你只需瞄准了开枪。"
"HASH_D078C366": "暴君"
"HASH_BA425966": "男性 2"
"HASH_F104BB66": "玻璃"
"HASH_DBF6A566": "俏公主粉"
"male_average": "男·普通"
"HASH_D83B8766": "队长长裤"
"HASH_001BBF66": "爬虫纹"
"HASH_AF12D167": "让好时光滚滚而来"
"HASH_0CBDE167": "孩子，凭这把枪，你在这行能走很远。"
"HASH_78420767": "卡巴纳腕表"
"HASH_38BDD567": "任其消亡"
"HASH_502BA167": "脏老鼠"
"HASH_29483F68": "射击现在可穿透多个目标。"
"HASH_9ADAF568": "左下臂"
"HASH_6A230168": "怪咖"
"HASH_0E524568": "暗号长裤"
"HASH_551F8F68": "龙之息"
"HASH_CAA76569": "太阳穴高低"
"HASH_196D2169": "右上臂"
"HASH_C416F969": "军人"
"cm_suit_m_fun": "欢乐时光套装"
"cm_lbdy_bountyhunter": "赎金收缴者长裤"
"cf_hat_80shairbow": "更大蝴蝶结"
"HASH_611E4969": "羞涩新娘"
"HASH_CE2D0B69": "灰色 7"
"HASH_7B30076A": "油光高加索 1"
"HASH_2B0A0D6A": "羞红灰"
"Space Princess": "太空公主套装"
"cf_hair_fauxhawk_01": "飞机头"
"HASH_444E2B6A": "白色"
"HASH_E32A056A": "美国制造"
"HASH_8D970F6B": "紫色触手"
"HASH_DF3F236B": "下胸"
"HASH_B9B5536B": "\\"QUARTER CIRCLE FORWARD + A\\""
"HASH_051BBB6B": "前保险杠"
"Nobody Loves Me Female D": "潮人女孩"
"HASH_4E4F336B": "深蓝绿"
"HASH_680B856C": "过于火辣"
"HASH_B61A916C": "EM电磁轨道炮"
"cm_pack_bountyhunter": "赎金收缴者火箭背包"
"HASH_7B45696D": "漫长杀戮谱系中的最新一员"
"HASH_5D93576D": "耳朵深度"
"HASH_17E1516D": "兄弟衬衫组合"
"HASH_CBB9036D": "蒸汽朋克露指手套"
"HASH_F74CA76D": "山丘 T 恤"
"HASH_6671656D": "荣誉·忠诚·职责"
"HASH_2A7AC56E": "强力电流现在会让目标爆燃！"
"HASH_962E436E": "右手"
"cf_suit_fempresident": "总统夫人"
"HASH_9495A96E": "黑色"
"HASH_9100656E": "卫兵"
"HASH_3E0B5D6E": "手部"
"HASH_A3F83D6F": "虎"
"HASH_2F83936F": "车轮"
"Planet Saints Male F": "街头篮球"
"HASH_D364D36F": "化身恶魔亲女儿，穿上她可爱的小公主装四处奔跑！甜美中透着彻头彻尾的邪恶！"
"cm_suit_misfortune": "钢铁浪子套装"
"HASH_844EED6F": "破旧衬衫"
"HASH_395F2D6F": "猫步"
"HASH_F5F8F970": "狩猎季节到了……"
"HASH_1E9E6570": "独立潮鞋"
"HASH_82540D70": "加油！队短裙"
"HASH_1B2B5770": "复古魅力"
"HASH_66738D70": "忧郁"
"HASH_C940CF70": "灰色 3"
"HASH_F3EC2B71": "深银"
"HASH_6D4EC571": "目瞪口呆"
"HASH_922E0D71": "人生苦短耳环"
"HASH_130D8371": "钢埠英雄裤"
"HASH_A9C56B71": "精灵短发"
"HASH_6F1AD171": "忍者2型鞋"
"HASH_52724B71": "额外弹药"
"HASH_BED89772": "升天"
"HASH_91E1D972": "拳击绷带"
"HASH_C24F6B72": "少年兵靴"
"HASH_F027C773": "颅后宽度"
"HASH_5B33F173": "嘴部深度"
"HASH_7C5DC373": "油亮非裔1"
"HASH_CEF80173": "颧骨"
"HASH_952C7D73": "车门改装"
"HASH_9D67A173": "莓红"
"HASH_201B2F73": "卡巴纳凉鞋"
"HASH_F27BF773": "摔跤手"
"HASH_FDAC9174": "油箱盖"
"HASH_A7584D74": "深布伦瑞克绿"
"HASH_02278974": "催化绿"
"cf_suit_bathtowel": "浴巾裹身"
"HASH_ABBF3374": "舔蟾蜍"
"HASH_4CBA4B75": "记住：短促、可控的点射。"
"HASH_FF662375": "鼻型"
"HASH_77642975": "混战格斗臂甲"
"HASH_E6131175": "倾心丁字裤"
