# TODO: Translate to Simplified Chinese
# Source: new_sr35_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 1308

"HASH_1B989100": "增加可用念力投掷物体的距离。"
"HASH_29C07A99": "齐尼亚克的人生篇章散落在虚拟钢埠各处。全部收集以了解齐尼亚克的身世。可在飞船休息室的电脑中查阅已收集条目。"
"HASH_95D0FB99": "按顺序击中每个平台。\n\n击中中心可得额外分数。\n\n速度更快可获得速度奖励。"
"M07_FAIL_MATT_DIED": "马特阵亡！"
"HASH_19B17B9A": "闪电"
"HASH_E572C89A": "前往[format][color:location]辛迪加塔[/format]"
"HASH_EAA8809A": "念力接取"
"HASH_A6860C9B": "践踏地面时使用更大力量，对震飞目标造成额外伤害！"
"HASH_987D739B": "已放弃战斗！"
"HASH_D26A829B": "不妨把模拟世界里的一切都玩个遍，顺便还能赚到一个超棒的新玩具！"
"UNL_RELOAD_COOLDOWN_1": "更快冷却"
"UNL_HOMIE_DONNIE": "同伴 - 唐尼"
"HASH_7C89B29C": "{DPAD_LEFT_IMG} 选择冻结[format][color:power_blast]冲击波[/format]  "
"HASH_114DB59C": "「徒步大混乱」金牌"
"UNL_DESC_SHIELD_DAMAGE": "冲刺护盾接触时施加额外伤害。"
"UNL_DESC_JUMP_REDUCED_MANA_2": "滑翔消耗体力大幅减少。"
"HASH_E2DD499D": "服装 - 马特·米勒套装"
"HASH_1EB07C9D": "激活冰冻增益"
"HASH_4B10D59D": "{SPRINT_IMG} 冲刺 \n冲刺会产生一个充当攻城锤的护盾，并可反射投射物。\n\n把握冲刺时机，将典狱长的火球反射回去。"
"UNL_SUPER_NUKE": "天降杀戮 - 核爆"
"UNL_DESC_WEP_PLASMA_CANNON": "为暴君充能，让爆裂等离子飞射而出！\n在传送门武器库装备它。"
"HASH_EA72809E": "超级冲刺时达到最高速度。你简直比出膛子弹还快！"
"HASH_EDA1D19E": "防守[format][color:defend]同伴[/format]"
"HASH_56FE5C9E": "待在[format][color:location]墓园[/format]"
"HASH_FE0F0B9E": "投掷外星重锤"
"UNL_DESC_WEP_GLITCH_GUN": "用故障大师 3000 感染霸主矩阵的原住民。故障化的人类会为你而战！\n\n在传送门武器库装备它。"
"HASH_00778A9F": "给外星人来点重金属式的重创。"
"UNL_WARDEN_BEATDOWN_3": "典狱长 - 终结技 3"
"UNL_SAINTS_VEHICLES": "载具 - 圣徒汽车"
"HASH_DFC5A2A0": "滑翔 - 距离"
"HASH_F97CB4A0": "阿莎现在是超级特工了！她已整装待发准备对付齐尼亚克。从HUB\"手机\"菜单呼叫阿莎，看看她的新装备！"
"HASH_6FC8ACA0": "{JUMP_CLIMB_IMG} 启动跳跃喷气机 \n{PICKUP_RELOAD_IMG} 降低高度 \n{WEAPON_MENU_IMG} 关闭跳跃喷气机"
"HASH_E9EA0AA0": "选择第一位战斗专家，在你对抗外星辛族敌人时提供协助。"
"HASH_607576A0": "与皮尔斯交谈"
"HASH_F204C3A1": "机甲战衣 - 超频"
"HASH_366CD8A1": "传送门 - 东卡弗岛"
"HASH_A7D1E8A1": "激活闪亮增益"
"HASH_89F6DEA1": "合作目标标记"
"HASH_FA8C58A1": "念力大混乱"
"HASH_5CB087A1": "火焰元素点火数"
"HASH_E6B8ACA2": "念力 - 强化 2"
"HASH_2E2E88A2": "生命 - 补给价值 3"
"HASH_5298FEA2": "接受任务分配"
"HASH_677E9FA2": "营救[format][color:revive]本·金[/format]"
"UNL_WARDEN_SHIELD_1": "辛族护盾 - 失效时间"
"HASH_CB8879A3": "践踏 - 伤害"
"UNL_DESC_TELEKINESIS_3": "念力可以抓起坦克和飞行器！"
"HASH_4DDFFCA3": "副总统 - 基思·大卫已解锁！\n\n你准备好没，兄弟？"
"HASH_6C4AE4A3": "商店黑客入侵"
"UNL_SUPER_JUMP": "超级跳跃"
"UNL_RAGDOLL_RECOVERY": "忍者反射"
"HASH_452F34A4": "!!弹跳步枪战衣"
"HASH_2840ACA4": "让你的敌人吓得当场缩小！\n\n双击 {SUPER_QUICK_STOMP_IMG} 在元素间快速切换。或在力量菜单中切换元素。"
"HASH_827DAFA4": "简直像从小孩手里抢糖一样容易，真的。只可惜辛族的生命力尝起来令人作呕。"
"UNL_DESC_VEHICLE_GENKIMOBILE": "你现已在传送门车库中获得源木战车。"
"UNL_DESC_TELEKINESIS_REDUCED_MANA_1": "念力能量充能速度更快。"
"HASH_FC5F39A5": "人工智能在城中还藏有更多裂隙。找到裂隙并完成人工智能布置在任务日志中的挑战，以获取更多奖励。"
"HASH_EF2098A5": "只可惜没有风笛来搭配。这套服装现已在你的传送门衣橱中提供。"
"HASH_82755FA5": "暂停游戏"
"HASH_BA2855A6": "已揭晓 - 北市中心"
"HASH_6D31F3A6": "冲击波元素 - 冰冻"
"UNL_DESC_SUPER_NUKE_PC": "你现在可以用核爆摧毁整片城区！\n\n从高空使用天降杀戮制造核爆！"
"HASH_13B222A6": "启用主菜单"
"HASH_193E89A6": "冻结[format][color:power_blast]冲击波[/format]后射击[format][color:power_blast]敌人[/format]"
"HASH_FADB68A6": "本·金"
"UNL_WEP_BLACK_HOLE": "武器 - 奇点枪"
"UNL_MANA_RECOVERY_2": "超能能量 - 更快恢复 2"
"UNL_DESC_HOMIE_DONNIE": "在你的HUB\"手机\"菜单中可以找到金吉。她会在战斗中帮助圣徒。"
"UNL_DESC_HOMIE_DANE_VOGEL": "在你的HUB\"手机\"菜单中可以找到戴恩·沃格尔。他会在战斗中帮助圣徒。"
"HASH_A0A4C1A7": "{PARTNER_NAME} 正在开启一项任务，但你目前正在进行游戏。\n稍后再尝试加入。"
"HASH_398E9BA7": "降落在[format][color:location]冲击波护盾[/format]上"
"HASH_3F6C39A8": "机甲战衣 - 悬浮速度"
"HASH_A134ABA8": "同伴 - 俏皮肖恩蒂"
"HASH_CB6F1DA8": "俏皮肖恩蒂"
"HASH_9599FCA8": "与肖恩蒂恋爱"
"HASH_1F56EBA9": "同伴 - 超级后援"
"HASH_3173B1A9": "拆解霸主矩阵"
"HASH_20ACB2AA": "呼叫 CID"
"HASH_F68ED9AA": "小地图上的 [image:map_other_coop_obj] 图标显示你搭档当前的目标。"
"HASH_F21C2AAA": "跳[format][color:location]出[/format]"
"UNL_JUMP_REDUCED_MANA_3": "滑翔 - 效率 3"
"HASH_17527BAB": "增益元素 - 闪电"
"HASH_DEF7D5AB": "线框断言者现已在你的传送门车库中提供。"
"HASH_67A626AB": "传送门 - 西斯坦菲尔德"
"HASH_1B9B16AB": "呼叫阿莎·奥德卡"
"HASH_B41BA0AB": "欢迎来到盖特的内心世界。\n{ANALOG_LS_IMG} 移动"
"UNL_MECHMAYHEM": "机甲战衣大混乱"
"HASH_DF3A0CAC": "飞船现已可用。返回飞船与你的船员交谈、领取任务、收听音频日志条目，并阅读已收集的文字冒险。"
"HASH_80A4AFAC": "蓄力超级跳跃达到更高高度。"
"HASH_7F6995AC": "传送门 - 南新科尔文"
"HASH_5EE7BAAC": "呼叫基思·大卫"
"HASH_C589B8AC": "前往飞机[format][color:location]后部[/format]"
"HASH_2361E6AC": "机甲战衣大混乱"
"UNL_HADOUKEN_2": "核爆 - 更快恢复 2"
"HASH_E16BBEAD": "略微延长可驾驶机甲战衣的时间。"
"HASH_A80DB9AD": "参谋长 - 本杰明·金已解锁！\n\n本杰明·妈了个巴子·金！"
"HASH_E6FC9FAD": "闪电"
"HASH_2FE4BBAD": "前往[format][color:location]监狱[/format]"
"HASH_5993FDAD": "[format][color:kill]清空[/format]区域"
"HASH_F0CC51AD": "本·金"
"HASH_2D22B8AD": "超能格斗俱乐部银牌"
"UNL_STOMP_CAR_DAMAGE": "践踏 - 载具伤害"
"HASH_9D8726AE": "已揭晓 - 卡弗岛"
"UNL_DESC_HADOUKEN_SUPPRESSION_2": "使用核爆后，力量恢复速度更快"
"HASH_482D67AE": "提升冲击波的作用范围。"
"HASH_7E7E3AAE": "探索[format][color:location]高塔[/format]"
"HASH_A165FFAE": "开启此任务即开始最终决战。\n请确保你已妥善装备、补给充足、完成升级并准备就绪，因为一旦开始，在彻底完成前你将无法返回。"
"HASH_E37DBEAE": "天降杀戮"
"UNL_HADOUKEN_REDUCED_MANA_2": "核爆 - 充能 2"
"INFO_UNLOCKABLES_SUPER_POWERS": "超能力"
"HASH_DAD0A3AF": "让你新结交的外星朋友见识人类文化表达的种种奥妙。"
"HASH_33922DB0": "载具 - 宣传卡车"
"UNL_TELEKINESIS_REDUCED_MANA_2": "念力 - 充能 2"
"UNL_RELOAD_COOLDOWN_3": "更快冷却 3"
"UNL_HACKING_EXTRA_TIME": "黑客入侵 - 额外时间"
"HASH_B0F3B4B0": "俏皮肖恩蒂现在超级好玩了！"
"HASH_27A2C5B0": "再多的正典也无法阻止马特把自己当成超级英雄！从HUB\"手机\"菜单呼叫马特，看看他的新装备！"
"HASH_3943D2B0": "服装 - 罗迪套装"
"HASH_13B927B0": "占据 90%%"
"HASH_5F165DB1": "船员 - 肖恩蒂"
"HASH_FF7132B1": " [format][color:use]激活[/format]高塔"
"HASH_6A52E4B1": "虚拟钢埠中隐藏着许多圣徒与罪人留下的音频日志。找到并全部收听吧。"
"HASH_62EB4AB2": "已揭晓 - 斯坦菲尔德岛"
"HASH_047CE1B2": "超级冲刺时速度提升。 "
"UNL_DESC_HOMIE_A_TEAM": "本·金、琳、皮尔斯和香蒂们都可以在你的手机\"手机\"菜单中找到。他们会在战斗中帮助圣徒。"
"HOMIES_UFO_DESC": "让一名同伴空投 UFO。"
"HASH_C4FFFDB2": "呼叫皮尔斯"
"HASH_676E1DB2": "访问[format][color:use]力量菜单[/format]"
"HASH_D47DE6B2": "佯攻"
"HASH_61707EB2": "你能把多少外星人踢飞？"
"HASH_304741B3": "武器 - 能量剑生命"
"UNL_DESC_MANA_RECOVERY_4": "超能力能量恢复速度提升 100%%"
"HASH_2D55F0B3": "{ATTACK_PRIMARY_IMG} 攻击 \n{MELEE_POWER_ATTACK_IMG} 格挡"
"UNL_SPRINTING_3": "冲刺 - 减伤"
"HASH_E959B5B4": "火焰元素将你的身体和子弹包裹在致命的火墙中！\n\n你的同伴可以帮你找到更多增益元素！"
"HASH_1B63B4B4": "消灭[format][color:kill]外星人[/format]"
"HASH_EB900FB5": "提升击败闪点获得的缓存与经验值。"
"HASH_AF2CD3B5": "呼叫坦尼娅"
"HASH_88B8CEB5": "赢得全部「源木·精神制胜」银牌，即可解锁用意念接住投掷物的能力。"
"HASH_CC88CCB6": "冲刺 - 水面奔跑"
"HASH_31D1D6B6": "船员 - 皮尔斯·华盛顿"
"HASH_46BB81B6": "兄弟 - 夜刃"
"UNL_DESC_NITROUS_DAMAGE": "使用氮气时对其他载具造成极高碰撞伤害。"
"UNL_DESC_AUDIO_LOGS": "收集散布在模拟世界各处的同伴音频日志。在飞船休息室的电脑上收听已获取的条目。"
"HASH_078594B6": "[format][color:power_pound]践踏[/format]后收集[format][color:power_pound]簇[/format]"
"HASH_2D9CB1B6": "UFO 大混乱"
"HASH_30DBE6B7": "@@TK_FORCE^^大幅提升被投掷载具的伤害。@@TK_LIGHTNING^^大幅增加闪电在物体间弧跳的距离。@@TK_LIFE_STEAL^^大幅提升每秒窃取的生命值。"
"HASH_4E6C52B7": "传送点已激活"
"HASH_9D1450B7": "战斗"
"HASH_819A3EB7": "调查[format][color:location]联邦大楼[/format]"
"HASH_944E8CB7": "用棍子戳外星人。或者直接开枪。无论哪种，都要把他们惹得火冒三丈。"
"UNL_SUPER_SPRINT": "超级冲刺"
"HASH_3708F4B8": "机甲战衣 - 持续时间"
"UNL_HOMIE_CID": "同伴 - C.I.D."
"HASH_40FE2EB9": "据说迈达斯对枪械情有独钟：\n\nZ9 手炮、异星冲击波、重击枪、主宰者。"
"HASH_EA1A87B9": "南市中心已揭晓！"
"HASH_F86A08B9": "激活闪亮践踏"
"HASH_9B6507B9": "病毒注入"
"HASH_48A15BB9": "消灭[format][color:kill]警察[/format]"
"HASH_9BEB72BA": "载具 - 线框维和者"
"HASH_CB3EAABA": "冲击波元素 - 精神控制"
"HASH_8291C0BA": "大幅提升可用念力投掷物体的距离。"
"UNL_DESC_STOMP_3": "最大化践踏的范围与眩晕时间。把整片街区都踏碎！"
"HASH_5A76E5BA": "攀上高塔顶端以获取缓存与经验值。"
"HASH_3958B5BA": "防守[format][color:defend]CID 与钥匙[/format]"
"HASH_4D0C10BA": "[format][color:defend]挺过[/format]伏击"
"HASH_8FCE10BA": "[format][color:use]拾取[/format]金吉的礼物"
"HASH_FFEFB0BA": "消灭[format][color:kill]守卫[/format]"
"UNL_STOMP_HUMAN_DAMAGE": "践踏 - 人类伤害"
"HASH_373CBDBB": "超级跳跃"
"HASH_614F9EBC": "冲击波元素 - 火焰"
"HASH_113A03BC": "你现在可以用能量为身体和武器充能！\n\n使用 {SUPER_QUICK_SHIELD_IMG} 快速切换到增益。"
"HASH_504451BC": "[format][color:use]发电机[/format]已关闭"
"HASH_FE8176BC": "寻找[format][color:location]副总统[/format]"
"HASH_0AB53EBC": "跑酷裂缝银牌"
"HASH_436BFFBD": "冰冻元素会让你的目标僵硬，使你的枪械造成双倍伤害！\n\n在能力菜单中切换元素。你的伙计们可以帮你找到更多冲击波元素！"
"HASH_152E4DBD": "在市中心解锁了新传送门。\n回到飞船，在这里访问你的武器库、服装、载具和帮派自定义。"
"HASH_2182B8BD": "冰冻的载具会失控，即使它们在飞。\n\n用冰冻[format][color:power_blast]冲击波[/format] {ATTACK_SECONDARY_IMG}击中这架UFO来摧毁它。"
"HASH_7C4AD5BD": "青铜"
"HASH_1CEB2BBD": "文字冒险已收集"
"HASH_8DCA55BD": "敌人被分解"
"HASH_08949FBE": "载具 - 线框模型"
"UNL_SPRINT_REDUCED_MANA_3": "冲刺 - 效率3"
"HASH_83AE0BBE": "超级搭档 - 基思·大卫"
"UNL_DESC_HOMIE_SHARP": "威廉·夏普已被重建为盟友，在你的HUB\"手机\"菜单中可以找到他。他会在战斗中帮助圣徒。"
"HASH_395E0EBF": "把你捡起的任何东西变成毁灭性的闪电球！\n\n双击{SUPER_QUICK_TELEKINESIS_IMG}快速切换元素。或在能力菜单中切换元素。"
"HASH_0C05DCBF": "空中时：\n{SUPERJUMP_FORWARD_BOOST_IMG} 向前冲刺"
"HASH_C56A58BF": "前往[format][color:location]军械库[/format]"
"m02_failure_homie_dismissed": "你离开了警长！\n履行你的总统职责！"
"UNL_STOMP_2": "践踏 - 距离2"
"UNL_MECH_SUIT": "机甲"
"UNL_JUMP_3": "跳跃 - 滑翔"
"UNL_DESC_HADOUKEN_2": "核能恢复速度加快50%%"
"HASH_68F39BC0": "冲击波 - 范围3"
"HASH_9F23E9C0": "炮塔控制"
"HASH_2889E7C0": "跑酷裂缝"
"HASH_1455B2C0": "按{JUMP_CLIMB_IMG} 壁跳\n按住{JUMP_CLIMB_IMG} 蓄力壁跳\n沿墙壁跳跃可快速到达顶部。"
"HASH_294966C0": "黑客失败"
"HASH_F73994C0": "念力裂缝银牌"
"HASH_E5695CC0": "用反弹射击击杀很有趣！记住，只有齐恩击杀才算数。"
"HASH_25BB32C0": "斗拳俱乐部"
"UNL_HADOUKEN_SUPPRESSION_3": "核能 - 能力恢复3"
"UNL_DESC_MECHMAYHEM": "模拟世界中有更难的机甲大破坏活动。\n查看你的地图寻找位置。"
"HASH_8C453DC1": "访问[format][color:use]HUB菜单[/format]"
"HASH_E8E08DC1": "进入[format][color:location]教堂[/format]"
"HASH_F68659C1": "这是仅次于亲手揍他一拳的体验。"
"HASH_CD4C7EC2": "能量剑外观"
"HASH_DAA69CC2": "在阿皮斯岛解锁了新传送门。\n回到飞船，在这里访问你的武器库、服装、载具和帮派自定义。"
"HASH_F50C65C2": "增益能量充能更快。"
"m02_failure_car_destroyed": "逃生载具被摧毁了！"
"HASH_3F044CC2": "离开机甲"
"HASH_16CA6AC2": "载具狂暴金牌"
"HASH_B97126C3": "爆破"
"HASH_37C3B1C3": "铁圣徒服装现在可以在你的传送门衣柜中找到了。"
"HASH_6080F7C3": "冲击波 - 充能3"
"HASH_D01F74C3": "{ATTACK_SECONDARY_IMG} [format][color:power_pound]践踏[/format]以解锁其中的数据簇。"
"HASH_C3FD69C3": "机甲击杀"
"HASH_D957DCC3": "杜布步枪击杀"
"HASH_27BD79C4": "皮尔斯"
"HASH_444B01C4": "寻找[format][color:location]盖特的舱[/format]"
"HASH_7C395CC4": "下一次传送"
"HASH_675D7EC4": "完成其他57个挑战"
"HASH_5AB160C5": "生命 - 吸取3"
"UNL_DESC_RELOAD_COOLDOWN_2": "按{PICKUP_RELOAD_IMG}可加快外星武器冷却。"
"HASH_D5CC16C5": "训练你的伙计们被击中时更少退缩。"
"HASH_63537EC5": "摧毁模拟"
"HASH_DDA802C5": "这双靴子就是用来踩的，踩人就是它们要做的。用这双踩人靴踩一堆齐恩人吧，好吗？"
"HASH_6DFA41C6": "念力 - 投掷距离3"
"HASH_96948DC6": "传送门 - 市中心"
"HASH_D63D7EC6": "增益 - 范围"
"HASH_164CEFC6": "冰冻[format][color:power_blast]冲击波[/format]然后收集[format][color:power_blast]数据簇[/format]"
"HASH_377EE6C6": "完成！"
"UNL_VEHICLE_NG_TANK": "载具 - 挑战者"
"HASH_82EBF0C7": "宣传卡车现在可以在你的车库里找到了。"
"HASH_5ABFA4C7": "美国的崇拜已解锁！"
"HASH_9B99CCC8": "奇点枪现在能装两倍数量的黑洞了。"
"HUD_COLLECTION_REWARD_UNLOCKED": "新升级可用"
"HASH_CC3AE6C8": "{SIDESCROLL_GRAB_IMG} 抓取\n{SIDESCROLL_SLAP_IMG} 攻击\n{SIDESCROLL_THROW_IMG} 投掷"
"HASH_1A4F73C8": "用你强大的精神力接住典狱长扔过来的物体！！！"
"HASH_C4BB6EC9": "搭档 - 基思·大卫"
"UNL_DESC_SUPER_JUMP": "你现在可以用壁跳攀爬垂直表面，或用蓄力超级跳跳得比建筑还高！\n\n按住{JUMP_CLIMB_IMG}蓄力跳跃，跳得更高更远。"
"HASH_00EB42C9": "@@STOMP_ROCK^^增加目标被击飞的距离。@@STOMP_GRAVITY^^增加目标受停滞效果影响的时间。@@STOMP_SHRINK^^增加目标保持缩小的时间。"
"HASH_07199FC9": "约翰尼·盖特"
"HASH_4B884CC9": "开始新战役时以休闲难度游玩"
"HASH_A4A77DC9": "启用语音识别并保持开启"
"MOL_JG_01_FAILURE_TIME_UP": "时间到了！"
"HASH_7FABFBC9": "保护[format][color:defend]马特[/format]"
"UNL_STOMP_REDUCED_MANA_3": "践踏 - 充能3"
"UNL_SHIELD_REDUCED_MANA_2": "护盾 - 充能2"
"HASH_6803CDCA": "总统职位解锁"
"UNL_HOMIE_VETERAN_CHILD": "搭档 - DJ 老兵"
"HASH_916036CA": "模拟世界中有更难的念力大破坏活动。\n查看你的地图寻找新位置。"
"HASH_DA6A36CA": "马特·米勒"
"HASH_C0317BCA": "{TANK_FIRE_SECONDARY_IMG} 发射主炮 \n{TANK_FIRE_PRIMARY_IMG} 发射火箭弹"
"HASH_724760CA": "黑洞发射器"
"HASH_5C6517CA": "寻找[format][color:location]数据簇[/format]"
"M22_1_FAIL_CID_DESTROYED": "C.I.D.被击杀！"
"UNL_DESC_SUPPRESS_DURATION_3": "被能力压制手雷击中后，能力恢复速度快得多。"
"HASH_B691C9CB": "{ATTACK_SECONDARY_IMG} [format][color:power_blast]冲击波[/format]目标以解锁其中的数据簇。"
"HASH_B5791CCB": "禁用[format][color:use]压制装置[/format]"
"HASH_647BE7CB": "占领50%%"
"HASH_2A99BACB": "与金吉交谈"
"HASH_E7FBCBCB": "银"
"HASH_9692B4CB": "被所有圣徒评为\"最痛苦的挑战\"。"
"HASH_3F0745CB": "开始斗拳俱乐部"
"HASH_D8942BCC": "激活爆炸念力"
"HASH_E56481CC": "塔"
"HASH_E5A577CC": "C.I.D. 击杀"
"HASH_FA928ECC": "进一步掌控模拟世界，让你用高端座驾娱乐自己更实惠。"
"UNL_HOMIE_JULIUS": "搭档 - 朱利叶斯"
"HASH_DA7334CD": "!!这是一套武器皮肤！"
"HASH_090876CD": "目标受冲击波影响的时间更长。"
"HASH_C25B27CD": "赢得所有跑酷裂缝金牌以解锁滑翔时减速以飞得更远的能力。"
"HASH_416D2DCD": "完成另外六个挑战"
"UNL_SPRINTING_SHIELD": "冲刺 - 护盾"
"HASH_F7C7F1CE": "膨胀射线受害者现在会爆炸，对附近敌人造成伤害。"
"HASH_B39C48CE": "连任内容已解锁！"
"HASH_FB5B3ECE": "{ATTACK_PRIMARY_IMG}, {SHOULDER_CAMERA_IMG}, {MELEE_NUT_SHOT_IMG} 近战攻击\n{SPRINT_IMG} 肩膀冲撞"
"HASH_B59781CE": "禁用装置"
"HASH_350703CE": "欺诈保险银牌"
"HASH_FF83D8CF": "念力元素 - 力量"
"UNL_DESC_HOMIE_ALL_NOTORIETY": "呼叫时清除所有通缉度。"
"HASH_2AFA96CF": "{GRENADE_4_IMG} 选择冰冻[format][color:power_blast]冲击波[/format]  "
"HASH_F6159DCF": "做个[format][color:location]狠角色[/format]"
"UNL_WEP_ANAL_PROBE": "武器 - 校正器"
"HASH_AAA1C9D0": "忠诚任务在你从模拟世界中救出某人后可在任务列表中找到。\n完成这些任务可赋予该人在模拟世界中的超能力。"
"HASH_7529D6D0": "从主菜单打开显示设置"
"HASH_595A3CD0": "摧毁[format][color:kill]门[/format]"
"M10_FAIL_GRAVEYARD": "你离开了墓地！"
"HASH_269920D1": "增益"
"UNL_DESC_SHIELD_REDUCED_MANA_1": "护盾只消耗75%%耐力。"
"HASH_384970D1": "本·金现在拥有超能力了！他已准备好在齐尼亚克的故事里写下最终章。从HUB\"手机\"菜单呼叫本·金，看看他的新装备！"
"HASH_728817D1": "从敌人身上收集[format][color:blue]生命补给[/format]来恢复生命值。"
"HASH_BA46BED1": "接住！"
"HASH_9A5F20D1": "有没有享受过脚趾间泥土的感觉？齐恩人可不会有那种感觉。"
"HASH_9A2596D2": "步行狂暴银牌"
"HASH_AD139FD3": "连杀解锁，约翰尼·盖特现在拥有超能力了！从HUB\"手机\"菜单呼叫盖特，看看他的新装备！"
"HASH_1A783ED3": "MI6特工马特·米勒已被找到，现在在飞船上。去找他了解如何进一步提升你的超能力。"
"HASH_D0E229D3": "模拟世界中有更难的斗技俱乐部活动。\n查看你的地图寻找位置。"
"HASH_2017F5D3": "机甲狂暴"
"UNL_TELEKINESIS_3": "念力 - 特殊载具"
"HASH_AF64F1D4": "超级冲刺不再消耗能量。"
"HASH_9D12F3D4": "稍微降低机甲悬浮的消耗。"
"HASH_EBFB62D4": "{ACTION_IMG} 进入载具\n{ACCELERATE_IMG} 谨慎加速\n{BRAKE_REVERSE_IMG} 停车标志前刹车"
"HASH_56A93BD4": "访问枢纽菜单"
"HASH_B2C5D6D4": "齐尼亚克雕像"
"HASH_A50D05D5": "增益元素 - 生命吸取"
"UNL_DESC_WARDEN_BEATDOWN_2": "终结典狱长现在容易多了。"
"HASH_233CB5D5": "赢得所有保险欺诈金牌以抵抗被载具撞倒。"
"HASH_95C8FFD5": "念力击杀"
"HASH_F05787D5": "进一步控制虚拟斯蒂尔波特将让你对武器店有更多控制权。所有枪械！"
"HASH_F9E0E7D6": "念力投掷物体时消耗更少能量。"
"UNL_DESC_HOMIE_UFO": "在你的HUB\"手机\"菜单中可以找到UFO伙计。他会在战斗中给你送来一架UFO。"
"HASH_B6E3BDD6": "冲击波能量恢复极快。"
"HASH_F102ABD6": "进入主菜单"
"HASH_D1EA94D6": "从选项菜单更改难度"
"HASH_640257D6": "攻击典狱长以帮助终结他。"
"HASH_334147D6": "猫鼠游戏"
"HASH_A07B53D6": "超级践踏"
"HASH_56425AD7": "[format][color:location]离开[/format]教堂"
"HASH_91A5D3D8": "增益元素 - 冰冻"
"UNL_DESC_JUMP_2": "超级跳蓄力更快。"
"HASH_D9ECC9D8": "增益 - 充能2"
"HASH_1D051DD8": "你拥有的任何载具都可以通过HUB菜单 - 手机界面传送到你身边。"
"HASH_93F4D8D8": "摧毁[format][color:kill]发电机[/format]"
"HASH_18A6CCD8": "外星人击杀"
"UNL_WEP_LASER_MINIGUN": "武器 - 杀戮机器人机枪"
"HASH_685691D9": "践踏元素 - 岩石"
"HASH_8E1331D9": "呼叫金吉"
"HASH_39D441D9": "切换增益元素"
"HASH_04B447DA": "阿莎·奥德卡"
"HASH_6020B6DA": "激活爆炸践踏"
"HASH_0FD753DA": "{ATTACK_PRIMARY_IMG} 发射黑洞 \n别靠太近！"
"HASH_7C6650DA": "逃往[format][color:location]金吉的[/format]"
"HASH_DD0C4EDA": "启动[format][color:use]断路器[/format]"
"HASH_29AFCEDA": "敌人被精神控制"
"HASH_E710E7DB": "文字冒险"
"HASH_31DD72DB": "跳跃 - 高度2"
"HASH_1C2548DB": "据说迈达斯热爱枪械：\n\n暴君、弹跳步枪、绑架枪、分解器。"
"HASH_BAC33EDB": "服装 - C.I.D. 套装"
"UNL_AUDIO_LOGS": "音频日志"
"HASH_E2AF74DB": "开始新战役时以普通难度游玩"
"HASH_59F015DB": "通过局域网创建合作会话"
"HASH_FEFE01DB": "呼叫女魔头"
"HASH_B26BCDDB": "冰冻 - 典狱长"
"HASH_696086DB": "切换超能力元素"
"MM_1_1_FAIL_ABANDON_FIGHT": "放弃战斗！"
"HASH_809156DB": "进入[format][color:location]系统[/format]"
"HASH_DE1689DB": "寻找[format][color:location]盖特[/format]"
"HASH_1170EADB": "下一次传送"
"UNL_DESC_SUPER_SHIELD": "冲刺会产生护盾，能挡住所有来袭伤害并反弹子弹！"
"HASH_633D96DC": "力场元素使念力在撞击时对目标造成额外伤害！\n\n你的伙计们可以帮你找到更多念力元素！"
"HASH_073929DC": "打开电子手册"
"HASH_E24C43DC": "{ATTACK_SECONDARY_IMG} 火焰[format][color:power_buff]增益[/format] \n激活火焰增益，包裹在火焰屏障中，伤害附近敌人。\n\n用[format][color:power_buff]增益[/format]来..."
"HASH_9BA138DC": "购买[format][color:use]武器[/format]"
"HASH_DC0E54DC": "前往[format][color:use]地图[/format]"
"HASH_112FF5DC": "与招募到你队伍的伙计们一起玩。质疑他们的时尚选择是可选的。"
"UNL_WEP_GLITCH_GUN": "武器 - 故障大师3000"
"UNL_DESC_SHIELD_3": "对护盾的攻击会恢复你的生命值。"
"HASH_BFF9DDDD": "吸取你抓住的任何生物的数字生命力，加到自己身上！\n\n双击{SUPER_QUICK_TELEKINESIS_IMG}快速切换元素。或在能力菜单中切换元素。"
"HASH_5BF629DD": "服装 - 趣味香蒂套装"
"HASH_43E52ADD": "激活增益"
"HASH_21B96CDD": "跳进机甲"
"HASH_038873DD": "夺取[format][color:use]指挥C.I.D.[/format]"
"HASH_DE2B9CDD": "肖恩蒂"
"HASH_21CEC0DE": "伙计 - 强化2"
"HASH_24F911DE": "瞄准并蓄力绑架枪，召唤一束光把敌人吸上天空。"
"HASH_D46F4FDE": "[format][color:location]逃脱[/format]"
"HASH_B5E409DE": "烈焰银牌"
"UNL_DESC_STOMP_REDUCED_MANA_3": "践踏能量恢复极快。"
"m03_lin": "LIN"
"HASH_B7B764DF": "极速裂缝银牌"
"HASH_24A069E0": "现在可以按住{ATTACK_PRIMARY_IMG}来瞄准天降正义。"
"HASH_28F110E0": "LIN"
"HASH_AD4054E0": "与C.I.D.浪漫互动"
"HASH_90CB2AE0": "弧形闪电命中"
"UNL_UFOMAYHEM": "UFO狂暴"
"HASH_8906BAE1": "超级搭档 - 香蒂"
"HASH_1EBD62E1": "可以使用你的HUB\"手机\"菜单将本·金呼叫到模拟世界中。他会在战斗中帮助圣徒。"
"HASH_F5F8C6E1": "念力集群"
"HASH_A001C9E1": "增益 - 武器"
"M22_1_FAIL_SERVER_DESTROYED": "一个服务器被摧毁了！"
